parnme                      value 
f01_ds2_015     0.9255680010000000
f01_ds2_020     2.0000000000000000
f01_ds1_025     5.0793501299999999
f01_ds2_025     4.0000000000000000
f01_ds1_030     20.000000000000004
f01_ds2_030     7.9999999999999991
f01_ds1_035     29.999999999999996
f01_ds2_035     12.590629069999999
f01_ds1_040     72.959118959999984
f01_ds2_040     21.596885679999996
f01_ds1_045     91.202411589999983
f01_ds2_045     28.467501189999997
f01_ds1_050     1.187318169000e+02
f01_ds2_050     33.365986109999994
f01_ds1_055     1.555649918000e+02
f01_ds2_055     36.455850930000004
f01_ds1_060     2.017195933000e+02
f02_ds2_010     5.649680000000e-04
f02_ds2_015     1.8694199490000001
f02_ds2_020     14.851088519999999
f02_ds1_025     10.035599840000000
f02_ds2_025     23.081302269999995
f02_ds1_030     20.000000000000004
f02_ds2_030     30.450710420000000
f02_ds1_035     29.999999999999996
f02_ds2_035     36.997786829999995
f02_ds1_040     35.000000000000000
f02_ds2_040     42.761005400000009
f02_ds1_045     39.999999999999993
f02_ds2_045     47.778839990000009
f02_ds1_050     49.999999999999993
f02_ds2_050     52.089764480000007
f02_ds1_055     60.000000000000000
f02_ds2_055     55.732252729999985
f02_ds1_060     70.000000000000014
f02_ds2_060     58.744778630000013
f02_ds1_065     83.974614099999997
f02_ds2_065     61.165816049999997
f02_ds1_070     1.365799777000e+02
f02_ds2_070     63.033838869999997
f02_ds1_075     1.983595338000e+02
f02_ds2_075     64.387320950000017
f02_ds1_080     2.693310852000e+02
f02_ds2_080     65.264736179999986
f03_ds2_010     0.2000000000000000
f03_ds2_015     3.4183501170000001
f03_ds1_020     1.0000000000000000
f03_ds2_020     74.010408399999989
f03_ds1_025     10.630700250000000
f03_ds2_025     1.076158409000e+02
f03_ds1_030     20.000000000000004
f03_ds2_030     1.391337233000e+02
f03_ds1_035     25.000000000000007
f03_ds2_035     1.687284346000e+02
f03_ds1_040     29.999999999999996
f03_ds2_040     1.965643539000e+02
f03_ds1_045     35.000000000000000
f03_ds2_045     2.228058602000e+02
f03_ds1_050     39.999999999999993
f03_ds2_050     2.476173325000e+02
f03_ds1_055     45.000000000000007
