name,value,group,weight
l_nrmse,0.085,zball,100
g_4595,0.8,zb003,100
g_7817,0.45,zb007,100
g_55200,0.95,zb005,100
g_58700,0.7,zb005,100
g_58810,0.68,zb005,100
g_58813,0.22,zb003,100
g_58827,0.78,zb001,100
g_70500,0.8,zb002,100
g_70890,0.77,zb006,100
g_70950,0.58,zb006,100
g_70990,0.46,zb006,100
g_71000,0.75,zb004,100
g_71290,0.26,zb004,100
g_71300,0.79,zb002,100
g_71350,0.81,zb002,100
g_71400,-0.02,zb001,100
wp_bp_0001_20150113,400.294,burnin,0
wp_bp_0001_20150218,401.33,burnin,0
wp_bp_0001_20150318,400.827,burnin,0
wp_bp_0001_20150415,400.919,burnin,0
wp_bp_0001_20150524,402.272,burnin,0
wp_bp_0001_20150610,403.372,burnin,0
wp_bp_0001_20150712,402.571,burnin,0
wp_bp_0001_20150819,401.681,burnin,0
wp_bp_0001_20150915,401.476,burnin,0
wp_bp_0001_20151014,401.208,burnin,0
wp_bp_0001_20151118,401.467,burnin,0
wp_bp_0001_20151215,401.65,burnin,0
wp_bp_0001_20160118,401.696,burnin,0
wp_bp_0001_20160216,401.604,burnin,0
wp_bp_0001_20160323,401.659,burnin,0
wp_bp_0001_20160422,401.711,burnin,0
wp_bp_0001_20160517,401.635,burnin,0
wp_bp_0001_20160614,402.77,burnin,0
wp_bp_0001_20160721,401.879,zb007,0.5
wp_bp_0001_20160817,401.559,zb007,0.5
wp_bp_0001_20160912,402.031,zb007,0.5
wp_bp_0001_20161026,401.208,zb007,0.5
wp_bp_0001_20161123,401.178,zb007,0.5
wp_bp_0001_20161222,401.178,zb007,0.5
wp_bp_0001_20170110,401.071,zb007,0.5
wp_bp_0001_20170208,401.095,zb007,0.5
wp_bp_0001_20170317,401.269,zb007,0.5
wp_bp_0001_20170417,401.391,zb007,0.5
wp_bp_0001_20170512,401.361,zb007,0.5
wp_bp_0001_20170613,401.391,zb007,0.5
wp_bp_0001_20170711,401.236,zb007,0.5
wp_bp_0001_20170816,400.934,zb007,0.5
wp_bp_0001_20170915,401.004,zb007,0.5
