parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f01_ds2_015,log,factor,0.925568001,0.5,1.25,zb007,1,0,1
f01_ds2_020,log,factor,2,1.5,2.75,zb007,1,0,1
f01_ds1_025,log,factor,5.07935013,3,8,zb007,1,0,1
f01_ds2_025,log,factor,4,3,5,zb007,1,0,1
f01_ds1_030,log,factor,20,15,24,zb007,1,0,1
f01_ds2_030,log,factor,8,6.5,9.5,zb007,1,0,1
f01_ds1_035,log,factor,30,25,40,zb007,1,0,1
f01_ds2_035,log,factor,12.59062907,10,15,zb007,1,0,1
f01_ds1_040,log,factor,72.95911896,60,80,zb007,1,0,1
f01_ds2_040,log,factor,21.59688568,18,24,zb007,1,0,1
f01_ds1_045,log,factor,91.20241159,82,100,zb007,1,0,1
f01_ds2_045,log,factor,28.46750119,25,30,zb007,1,0,1
f01_ds1_050,log,factor,118.7318169,105,130,zb007,1,0,1
f01_ds2_050,log,factor,33.36598611,31,34.5,zb007,1,0,1
f01_ds1_055,log,factor,155.5649918,135,180,zb007,1,0,1
f01_ds2_055,log,factor,36.45585093,35,38,zb007,1,0,1
f01_ds1_060,log,factor,201.7195933,190,220,zb007,1,0,1
f02_ds2_010,log,factor,0.100564968,0.1,0.6,zb007,1,-0.1,1
f02_ds2_015,log,factor,1.869419949,1,4,zb007,1,0,1
f02_ds2_020,log,factor,14.85108852,10,18,zb007,1,0,1
f02_ds1_025,log,factor,10.03559984,7,13,zb007,1,0,1
f02_ds2_025,log,factor,23.08130227,20,25,zb007,1,0,1
f02_ds1_030,log,factor,20,18,22,zb007,1,0,1
f02_ds2_030,log,factor,30.45071042,27,33,zb007,1,0,1
f02_ds1_035,log,factor,30,28,32,zb007,1,0,1
f02_ds2_035,log,factor,36.99778683,34,39,zb007,1,0,1
f02_ds1_040,log,factor,35,33,37,zb007,1,0,1
f02_ds2_040,log,factor,42.7610054,40,44,zb007,1,0,1
f02_ds1_045,log,factor,40,38,42,zb007,1,0,1
f02_ds2_045,log,factor,47.77883999,45,50,zb007,1,0,1
f02_ds1_050,log,factor,50,46,54,zb007,1,0,1
f02_ds2_050,log,factor,52.08976448,51,53,zb007,1,0,1
f02_ds1_055,log,factor,60,56,64,zb007,1,0,1
f02_ds2_055,log,factor,55.73225273,54,56.5,zb007,1,0,1
f02_ds1_060,log,factor,70,66,74,zb007,1,0,1
f02_ds2_060,log,factor,58.74477863,57,60,zb007,1,0,1
f02_ds1_065,log,factor,83.9746141,77,90,zb007,1,0,1
f02_ds2_065,log,factor,61.16581605,61,62,zb007,1,0,1
f02_ds1_070,log,factor,136.5799777,110,150,zb007,1,0,1
f02_ds2_070,log,factor,63.03383887,62.5,63.5,zb007,1,0,1
f02_ds1_075,log,factor,198.3595338,180,225,zb007,1,0,1
f02_ds2_075,log,factor,64.38732095,64,64.6,zb007,1,0,1
f02_ds1_080,log,factor,269.3310852,245,300,zb007,1,0,1
f02_ds2_080,log,factor,65.26473618,65,65.5,zb007,1,0,1
f03_ds2_010,log,factor,0.3,0.1,1.1,zb006,1,-0.1,1
f03_ds2_015,log,factor,3.418350117,2,6,zb006,1,0,1
f03_ds1_020,log,factor,1,0.5,3,zb006,1,0,1
f03_ds2_020,log,factor,74.0104084,35,90,zb006,1,0,1
f03_ds1_025,log,factor,10.63070025,5,15,zb006,1,0,1
f03_ds2_025,log,factor,107.6158409,95,120,zb006,1,0,1
f03_ds1_030,log,factor,20,16,22,zb006,1,0,1
f03_ds2_030,log,factor,139.1337233,125,152,zb006,1,0,1
f03_ds1_035,log,factor,25,23,27,zb006,1,0,1
f03_ds2_035,log,factor,168.7284346,155,180,zb006,1,0,1
f03_ds1_040,log,factor,30,28,32,zb006,1,0,1
f03_ds2_040,log,factor,196.5643539,185,205,zb006,1,0,1
f03_ds1_045,log,factor,35,33,37,zb006,1,0,1
f03_ds2_045,log,factor,222.8058602,215,230,zb006,1,0,1
f03_ds1_050,log,factor,40,38,42,zb006,1,0,1
f03_ds2_050,log,factor,247.6173325,240,255,zb006,1,0,1
f03_ds1_055,log,factor,45,43,49,zb006,1,0,1
f03_ds2_055,log,factor,271.1631497,260,280,zb006,1,0,1
f03_ds1_060,log,factor,55,50,60,zb006,1,0,1
f03_ds2_060,log,factor,293.6076908,285,301,zb006,1,0,1
f03_ds1_065,log,factor,65,61,70,zb006,1,0,1
f03_ds2_065,log,factor,315.1153349,305,325,zb006,1,0,1
f03_ds1_070,log,factor,78.87927347,72,90,zb006,1,0,1
f03_ds2_070,log,factor,335.850461,330,340,zb006,1,0,1
f03_ds1_075,log,factor,128.2346368,110,140,zb006,1,0,1
f03_ds2_075,log,factor,355.977448,350,360,zb006,1,0,1
f03_ds1_080,log,factor,186.0841827,150,200,zb006,1,0,1
f03_ds2_080,log,factor,375.660675,370,380,zb006,1,0,1
f03_ds1_085,log,factor,252.4456599,225,275,zb006,1,0,1
f03_ds2_085,log,factor,395.064521,390,400,zb006,1,0,1
f03_ds1_090,log,factor,327.3368171,300,350,zb006,1,0,1
f03_ds2_090,log,factor,414.3533649,405,425,zb006,1,0,1
f04_ds2_015,log,factor,2.057409899,1,3,zb006,1,0,1
f04_ds2_020,log,factor,4,3.5,4.5,zb006,1,0,1
f04_ds1_025,log,factor,11.13109984,8,14,zb006,1,0,1
f04_ds1_030,log,factor,20,16,24,zb006,1,0,1
f04_ds1_035,log,factor,30,26,34,zb006,1,0,1
f04_ds1_040,log,factor,247.714619,180,260,zb006,1,0,1
f04_ds1_045,log,factor,277.3981181,265,300,zb006,1,0,1
f04_ds1_050,log,factor,317.5510886,310,335,zb006,1,0,1
f04_ds1_055,log,factor,368.1914441,345,400,zb006,1,0,1
f05_ds2_010,log,factor,0.100521559,0.1,2.1,zb006,1,-0.1,1
f05_ds2_015,log,factor,7.32105,3,11,zb006,1,0,1
f05_ds2_020,log,factor,19.910386,15,21,zb006,1,0,1
f05_ds1_025,log,factor,10.231,8,12,zb006,1,0,1
f05_ds2_025,log,factor,23.40985875,22.5,24.5,zb006,1,0,1
f05_ds1_030,log,factor,20,16,24,zb006,1,0,1
f05_ds2_030,log,factor,26.699148,25,27.5,zb006,1,0,1
f05_ds1_035,log,factor,30,26,40,zb006,1,0,1
f05_ds2_035,log,factor,29.79164725,28,30.5,zb006,1,0,1
f05_ds1_040,log,factor,81.4699248,60,100,zb006,1,0,1
f05_ds2_040,log,factor,32.70075,31,33,zb006,1,0,1
f05_ds1_045,log,factor,109.1572238,105,120,zb006,1,0,1
f05_ds2_045,log,factor,35.43984975,34,36.5,zb006,1,0,1
f05_ds1_050,log,factor,148.1500875,130,165,zb006,1,0,1
f05_ds2_050,log,factor,38.02234,37,39,zb006,1,0,1
f05_ds1_055,log,factor,198.4661565,180,220,zb006,1,0,1
f05_ds2_055,log,factor,40.46161425,39.5,41,zb006,1,0,1
f05_ds1_060,log,factor,260.1230712,240,285,zb006,1,0,1
f05_ds2_060,log,factor,42.771066,42,43,zb006,1,0,1
f06_ds1_025,log,factor,8.2475,5,13,zb004,1,0,1
f06_ds1_030,log,factor,20,16,24,zb004,1,0,1
f06_ds1_035,log,factor,30,25,55,zb004,1,0,1
f06_ds1_040,log,factor,159.1927584,130,179,zb004,1,0,1
f06_ds1_045,log,factor,194.6635603,180,210,zb004,1,0,1
f06_ds1_050,log,factor,241.7117,220,260,zb004,1,0,1
f06_ds1_055,log,factor,300.3548817,280,320,zb004,1,0,1
f07_ds2_015,log,factor,0.823924,0.1,2.1,zb004,1,-0.1,1
f07_ds2_020,log,factor,7.18220032,4,8,zb004,1,0,1
f07_ds1_025,log,factor,8.00642,5,11,zb004,1,0,1
f07_ds2_025,log,factor,8.684750625,8,9,zb004,1,0,1
f07_ds1_030,log,factor,20,16,24,zb004,1,0,1
f07_ds2_030,log,factor,10.08226308,9.5,10.5,zb004,1,0,1
f07_ds1_035,log,factor,30,25,35,zb004,1,0,1
f07_ds2_035,log,factor,11.38081871,10.6,12,zb004,1,0,1
f07_ds1_040,log,factor,55.5801776,45,65,zb004,1,0,1
f07_ds1_045,log,factor,73.73245482,68,85,zb004,1,0,1
f07_ds1_050,log,factor,100.537425,90,110,zb004,1,0,1
f07_ds1_055,log,factor,136.0125207,120,150,zb004,1,0,1
f07_ds1_060,log,factor,180.1751744,160,200,zb004,1,0,1
f07_ds1_065,log,factor,233.0428187,210,250,zb004,1,0,1
f07_ds1_070,log,factor,294.6328862,270,315,zb004,1,0,1
f07_ds1_075,log,factor,364.9628094,340,380,zb004,1,0,1
f08_ds2_010,log,factor,0.10230408,0.1,1.1,zb002,1,-0.1,1
f08_ds1_025,log,factor,16.9083,8,18,zb002,1,0,1
f08_ds1_030,log,factor,20,19,24,zb002,1,0,1
f08_ds1_035,log,factor,30,25,50,zb002,1,0,1
f08_ds1_040,log,factor,289.0906304,180,320,zb002,1,0,1
f08_ds1_045,log,factor,347.3661984,330,390,zb002,1,0,1
f08_ds1_050,log,factor,417.2262625,400,450,zb002,1,0,1
f08_ds1_055,log,factor,498.6893224,460,540,zb002,1,0,1
f08_ds1_060,log,factor,591.7738776,550,640,zb002,1,0,1
f09_ds1_025,log,factor,9.4531,6,14,zb002,1,0,1
f09_ds1_030,log,factor,20,15,24,zb002,1,0,1
f09_ds1_035,log,factor,30,25,150,zb002,1,0,1
f09_ds1_040,log,factor,837.9892192,400,850,zb002,1,0,1
f09_ds1_045,log,factor,896.2379117,860,940,zb002,1,0,1
f09_ds1_050,log,factor,966.0644125,950,1000,zb002,1,0,1
f09_ds1_055,log,factor,1047.486478,1010,1080,zb002,1,0,1
f10_ds1_025,log,factor,0.791999988,0.1,1.1,zb001,1,-0.1,1
f10_ds1_030,log,factor,1.691999988,1.2,2,zb001,1,0,1
f10_ds1_035,log,factor,2.691999988,2.2,4,zb001,1,0,1
f10_ds1_040,log,factor,8.288063265,6,9,zb001,1,0,1
f10_ds1_045,log,factor,9.985452037,9.5,10.5,zb001,1,0,1
f10_ds1_050,log,factor,11.65593211,11,12.2,zb001,1,0,1
f10_ds1_055,log,factor,13.30021549,13,13.8,zb001,1,0,1
f10_ds1_060,log,factor,14.91901417,14.2,15.5,zb001,1,0,1
f10_ds1_065,log,factor,16.51304016,16,17,zb001,1,0,1
f10_ds1_070,log,factor,18.08300545,17.8,18.8,zb001,1,0,1
f10_ds1_075,log,factor,19.62962204,19,20.2,zb001,1,0,1
f10_ds1_080,log,factor,21.15360194,20.8,21.8,zb001,1,0,1
f10_ds1_085,log,factor,22.65565715,22,23.2,zb001,1,0,1
f20_ds2_010,log,factor,0.3,0.1,0.5,zb006,1,-0.1,1
f20_ds2_015,log,factor,0.682505028,0.5,0.8,zb006,1,0,1
f20_ds1_020,log,factor,1.1,0.1,3.1,zb006,1,-0.1,1
f20_ds2_020,log,factor,1,0.9,1.2,zb006,1,0,1
f20_ds1_025,log,factor,6.601820128,4,10,zb006,1,0,1
f20_ds2_025,log,factor,3,2,5,zb006,1,0,1
f20_ds1_030,log,factor,20,16,24,zb006,1,0,1
f20_ds2_030,log,factor,9.25430046,6,12,zb006,1,0,1
f20_ds1_035,log,factor,30,26,34,zb006,1,0,1
f20_ds2_035,log,factor,18.15399075,14,22,zb006,1,0,1
f20_ds1_040,log,factor,40,36,44,zb006,1,0,1
f20_ds2_040,log,factor,24.88535023,23,26,zb006,1,0,1
f20_ds1_045,log,factor,50,46,54,zb006,1,0,1
f20_ds2_045,log,factor,29.61324164,27,31,zb006,1,0,1
f20_ds1_050,log,factor,63.0779602,56,80,zb006,1,0,1
f20_ds1_055,log,factor,101.1614733,90,112,zb006,1,0,1
f20_ds1_060,log,factor,149.2136772,120,180,zb006,1,0,1
f20_ds1_065,log,factor,207.2527665,200,220,zb006,1,0,1
f20_ds1_070,log,factor,275.2969359,240,310,zb006,1,0,1
f20_ds1_075,log,factor,353.3643799,320,385,zb006,1,0,1
f20_ds1_080,log,factor,441.4732933,420,460,zb006,1,0,1
f20_ds1_085,log,factor,539.6418705,500,560,zb006,1,0,1
f21_ds2_015,log,factor,14.9999,7,18,zb006,1,0,1
f21_ds2_020,log,factor,20.24316232,19,25,zb006,1,0,1
f21_ds1_025,log,factor,4.947720187,2,8,zb006,1,0,1
f21_ds2_025,log,factor,32.93052337,28,38,zb006,1,0,1
f21_ds1_030,log,factor,20,15,24,zb006,1,0,1
f21_ds2_030,log,factor,45.04783167,40,50,zb006,1,0,1
f21_ds1_035,log,factor,30,26,30.5,zb006,1,0,1
f21_ds2_035,log,factor,56.61386169,51,61,zb006,1,0,1
f21_ds1_040,log,factor,31,30.6,31.3,zb006,1,0,1
f21_ds2_040,log,factor,67.64738786,65,70,zb006,1,0,1
f21_ds1_045,log,factor,32,31.8,32.3,zb006,1,0,1
f21_ds2_045,log,factor,78.16718465,75,80,zb006,1,0,1
f21_ds1_050,log,factor,33,32.8,33.3,zb006,1,0,1
f21_ds2_050,log,factor,88.19202649,85,90,zb006,1,0,1
f21_ds1_055,log,factor,34,33.8,36,zb006,1,0,1
f21_ds2_055,log,factor,97.74068785,95,100,zb006,1,0,1
f21_ds1_060,log,factor,40,38,42,zb006,1,0,1
f21_ds2_060,log,factor,106.8319432,105,110,zb006,1,0,1
f21_ds1_065,log,factor,45,43,49,zb006,1,0,1
f21_ds2_065,log,factor,115.4845669,112,118,zb006,1,0,1
f21_ds1_070,log,factor,55,52,56,zb006,1,0,1
f21_ds2_070,log,factor,123.7173335,120,125,zb006,1,0,1
f21_ds1_075,log,factor,60,58,64,zb006,1,0,1
f21_ds2_075,log,factor,131.5490174,130,134,zb006,1,0,1
f21_ds1_080,log,factor,70,66,74,zb006,1,0,1
f21_ds2_080,log,factor,138.9983931,135,141,zb006,1,0,1
f21_ds1_085,log,factor,80,76,84,zb006,1,0,1
f21_ds2_085,log,factor,146.0842349,142,148,zb006,1,0,1
f21_ds1_090,log,factor,90,86,94,zb006,1,0,1
f21_ds2_090,log,factor,152.8253175,150,155,zb006,1,0,1
f21_ds1_095,log,factor,100,96,104,zb006,1,0,1
f21_ds2_095,log,factor,159.2404151,156,161,zb006,1,0,1
f21_ds1_100,log,factor,110,106,114,zb006,1,0,1
f21_ds2_100,log,factor,165.3483023,163,169,zb006,1,0,1
f21_ds1_105,log,factor,120,116,124,zb006,1,0,1
f21_ds2_105,log,factor,171.1677536,170,173,zb006,1,0,1
f21_ds1_110,log,factor,140,130,150,zb006,1,0,1
f21_ds2_110,log,factor,176.7175433,174,178,zb006,1,0,1
f21_ds1_115,log,factor,180,160,200,zb006,1,0,1
f21_ds2_115,log,factor,182.0164459,180,183,zb006,1,0,1
f21_ds2_120,log,factor,187.0832359,185,189,zb006,1,0,1
f21_ds2_125,log,factor,191.9366876,190,193,zb006,1,0,1
f30_ds1_195,log,factor,5,2,7,zb002,1,0,1
f30_ds1_200,log,factor,20,15,30,zb002,1,0,1
f30_ds1_205,log,factor,50,40,60,zb002,1,0,1
f30_ds1_210,log,factor,85,70,100,zb002,1,0,1
f30_ds1_215,log,factor,130,120,150,zb002,1,0,1
f30_ds1_220,log,factor,200,170,240,zb002,1,0,1
f30_ds1_225,log,factor,300,270,380,zb002,1,0,1
f30_ds1_230,log,factor,500,400,600,zb002,1,0,1
f30_ds1_235,log,factor,785.485,750,850,zb002,1,0,1
f31_ds2_015,log,factor,14.9999,5,18,zb001,1,0,1
f31_ds1_020,log,factor,1,0.5,3,zb001,1,0,1
f31_ds2_020,log,factor,20,19,22,zb001,1,0,1
f31_ds1_025,log,factor,10.17089953,8,13,zb001,1,0,1
f31_ds2_025,log,factor,23,22.5,23.5,zb001,1,0,1
f31_ds1_030,log,factor,20,16,24,zb001,1,0,1
f31_ds1_035,log,factor,30,26,140,zb001,1,0,1
f31_ds1_040,log,factor,221.1773793,200,240,zb001,1,0,1
f31_ds1_045,log,factor,273.0337327,250,300,zb001,1,0,1
f31_ds1_050,log,factor,336.4667525,320,370,zb001,1,0,1
f31_ds1_055,log,factor,411.4940683,400,430,zb001,1,0,1
f31_ds1_060,log,factor,498.1333096,460,520,zb001,1,0,1
f31_ds1_065,log,factor,596.402106,550,650,zb001,1,0,1
f31_ds1_070,log,factor,706.3180872,680,750,zb001,1,0,1
f40_ds2_015,log,factor,9.995129721,5,10,zb005,1,0,1
f40_ds2_020,log,factor,34.85998732,28,40,zb005,1,0,1
f40_ds1_025,log,factor,3.156170027,1,6,zb005,1,0,1
f40_ds2_025,log,factor,49.25662434,45,55,zb005,1,0,1
f40_ds1_030,log,factor,20,16,24,zb005,1,0,1
f40_ds2_030,log,factor,62.40397807,58,68,zb005,1,0,1
f40_ds1_035,log,factor,30,26,40,zb005,1,0,1
