name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
WA_BS_0001_20160701,279.292,9.33435,252.394,305.288,288.627,269.958,225.01,0.120922,224.681,225.38,225.131,224.889,27.0139
WA_BS_0001_20160801,279.591,9.19944,249.28,304.229,288.791,270.392,225.007,0.124037,224.666,225.385,225.131,224.883,23.895
WA_BS_0001_20160901,278.425,8.41697,257.497,297.806,286.842,270.008,225.005,0.127083,224.652,225.39,225.132,224.878,32.1067
WA_BS_0001_20161001,279.338,8.4942,258.815,303.647,287.833,270.844,225.001,0.130096,224.637,225.395,225.131,224.871,33.4205
WA_BS_0001_20161101,278.922,8.62426,254.298,305.104,287.546,270.298,224.999,0.133048,224.623,225.399,225.132,224.865,28.8991
WA_BS_0001_20161201,278.459,9.17454,254.994,304.428,287.634,269.285,224.996,0.135965,224.609,225.404,225.132,224.86,29.5904
WA_BS_0001_20170101,278.404,9.354,248.189,308.022,287.758,269.05,224.993,0.138884,224.595,225.408,225.132,224.854,22.7806
WA_BS_0001_20170201,278.903,9.3397,254.058,305.137,288.243,269.563,224.99,0.141625,224.583,225.413,225.132,224.849,28.6458
WA_BS_0001_20170301,279.122,9.32867,249.851,304.091,288.451,269.793,224.988,0.144326,224.57,225.416,225.132,224.843,24.4346
WA_BS_0001_20170401,278.896,9.48906,249.755,302.894,288.385,269.407,224.984,0.14708,224.557,225.42,225.131,224.837,24.3345
WA_BS_0001_20170501,278.409,9.41107,254.102,301.378,287.82,268.998,224.98,0.149789,224.543,225.423,225.13,224.831,28.6789
WA_BS_0001_20170601,279.259,8.54583,254.971,303.347,287.805,270.713,224.976,0.152456,224.529,225.425,225.129,224.824,29.5456
WA_BS_0001_20180701,278.369,9.49921,252.471,307.763,287.868,268.87,224.926,0.183615,224.367,225.446,225.109,224.742,27.0248
WA_BS_0001_20180801,275.041,8.45157,250.342,301.805,283.493,266.589,224.918,0.1858,224.352,225.444,225.104,224.733,24.8984
WA_BS_0001_20180901,277.61,8.89848,244.82,305.384,286.508,268.711,224.916,0.187888,224.342,225.446,225.104,224.728,19.3744
WA_BS_0001_20181001,278.398,8.2259,250.488,296.766,286.624,270.172,224.913,0.189979,224.332,225.447,225.103,224.723,25.0408
WA_BS_0001_20181101,278.347,9.09257,248.822,304.098,287.439,269.254,224.909,0.192048,224.322,225.448,225.101,224.717,23.3748
WA_BS_0001_20181201,279.876,9.18814,255.417,307.131,289.064,270.688,224.905,0.194076,224.31,225.447,225.099,224.711,29.9701
WA_BS_0001_20190101,280.054,8.67748,246.311,303.079,288.732,271.377,224.9,0.196099,224.298,225.447,225.096,224.704,20.8647
WA_BS_0001_20190201,279.05,9.69681,254.424,322.319,288.747,269.353,224.895,0.197995,224.287,225.445,225.093,224.697,28.9787
WA_BS_0001_20190301,279.103,9.52664,250.193,304.72,288.63,269.576,224.889,0.199861,224.275,225.444,225.089,224.689,24.7489
WA_BS_0001_20190401,278.807,8.56923,249.85,303.939,287.376,270.238,224.883,0.201773,224.262,225.441,225.084,224.681,24.4089
WA_BS_0001_20190501,280.701,9.2903,255.644,303.551,289.991,271.411,224.877,0.203643,224.25,225.439,225.08,224.673,30.2051
WA_BS_0001_20190601,279.236,8.57024,253.722,299.499,287.806,270.666,224.87,0.205497,224.238,225.437,225.076,224.665,28.2848
WA_BS_0001_20190701,279.312,9.24151,253.746,302.624,288.554,270.071,224.862,0.207332,224.223,225.432,225.069,224.654,28.3134
WA_BS_0001_20190801,278.074,9.45791,252.674,307.614,287.532,268.616,224.852,0.209158,224.208,225.427,225.061,224.643,27.2472
WA_BS_0001_20190901,278.534,9.15054,251.103,310.685,287.685,269.384,224.843,0.210919,224.194,225.422,225.054,224.632,25.6813
WA_BS_0001_20191001,276.576,9.29278,252.662,301.381,285.869,267.284,224.835,0.212661,224.18,225.417,225.048,224.622,27.2457
WA_BS_0001_20191101,275.711,9.15541,252.827,305.376,284.866,266.556,224.83,0.214371,224.169,225.415,225.044,224.615,27.4123
WA_BS_0001_20191201,275.964,8.82774,248.438,303.584,284.792,267.136,224.826,0.216067,224.16,225.414,225.042,224.61,23.0244
WA_BS_0010_20160701,253.159,9.44508,227.539,277.671,262.604,243.714,204.18,0.172574,203.733,204.721,204.352,204.007,22.8179
WA_BS_0010_20160801,247.883,9.04168,216.197,272.282,256.924,238.841,204.194,0.175833,203.741,204.748,204.37,204.019,11.449
WA_BS_0010_20160901,250.635,9.34043,219.449,275.222,259.976,241.295,204.237,0.179231,203.773,204.802,204.416,204.058,14.6472
WA_BS_0010_20161001,250.265,9.6717,228.034,274.003,259.937,240.593,204.19,0.182725,203.711,204.768,204.373,204.007,23.2659
WA_BS_0010_20161101,249.867,8.97417,217.855,273.702,258.842,240.893,204.214,0.186007,203.728,204.803,204.4,204.028,13.0517
WA_BS_0010_20161201,251.4,9.45088,226.997,276.129,260.85,241.949,204.236,0.189416,203.738,204.836,204.425,204.047,22.1603
WA_BS_0010_20170101,253.734,9.60169,229.45,283.687,263.335,244.132,204.234,0.192913,203.726,204.847,204.427,204.042,24.6034
WA_BS_0010_20170201,254.764,8.98805,227.401,284.017,263.752,245.776,204.229,0.196215,203.71,204.852,204.425,204.033,22.5485
WA_BS_0010_20170301,255.25,8.45226,225.795,276.401,263.702,246.798,204.222,0.199468,203.692,204.856,204.422,204.023,20.9383
WA_BS_0010_20170401,254.253,8.33725,228.845,280.26,262.59,245.916,204.214,0.202765,203.674,204.86,204.417,204.011,23.9851
WA_BS_0010_20170501,252.546,8.5092,224.508,281.073,261.055,244.037,204.127,0.206068,203.572,204.786,204.333,203.921,19.7223
WA_BS_0010_20170601,249.115,9.39801,225.525,277.95,258.513,239.717,204.082,0.209188,203.517,204.752,204.291,203.873,20.7727
WA_BS_0010_20170701,244.709,7.75044,223.124,265.042,252.459,236.959,204.052,0.21236,203.475,204.733,204.264,203.84,18.3908
WA_BS_0010_20170801,245.007,9.52798,215.636,270.411,254.535,235.479,204.067,0.215557,203.482,204.758,204.282,203.851,10.8776
WA_BS_0010_20170901,245.067,8.48283,218.204,266.532,253.55,236.584,204.119,0.21874,203.526,204.819,204.337,203.9,13.3855
