parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f01_ds2_015,log,factor,0.882745,0.5,1.25,zb007,1.0,0.0,1
f01_ds2_020,log,factor,1.81983,1.5,2.75,zb007,1.0,0.0,1
f01_ds1_025,log,factor,4.78681,3.0,8.0,zb007,1.0,0.0,1
f01_ds2_025,log,factor,3.53298,3.0,5.0,zb007,1.0,0.0,1
f01_ds1_030,log,factor,18.0769,15.0,24.0,zb007,1.0,0.0,1
f01_ds2_030,log,factor,7.08044,6.5,9.5,zb007,1.0,0.0,1
f01_ds1_035,log,factor,33.0385,25.0,40.0,zb007,1.0,0.0,1
f01_ds2_035,log,factor,12.9998,10.0,15.0,zb007,1.0,0.0,1
f01_ds1_040,log,factor,70.4273,60.0,80.0,zb007,1.0,0.0,1
f01_ds2_040,log,factor,21.8168,18.0,24.0,zb007,1.0,0.0,1
f01_ds1_045,log,factor,87.1391,82.0,100.0,zb007,1.0,0.0,1
f01_ds2_045,log,factor,27.0553,25.0,30.0,zb007,1.0,0.0,1
f01_ds1_050,log,factor,105.0,105.0,130.0,zb007,1.0,0.0,1
f01_ds2_050,log,factor,32.8472,31.0,34.5,zb007,1.0,0.0,1
f01_ds1_055,log,factor,155.463,135.0,180.0,zb007,1.0,0.0,1
f01_ds2_055,log,factor,36.2403,35.0,38.0,zb007,1.0,0.0,1
f01_ds1_060,log,factor,198.146,190.0,220.0,zb007,1.0,0.0,1
f02_ds2_010,log,factor,0.107347,0.1,0.6,zb007,1.0,-0.1,1
f02_ds2_015,log,factor,1.70893,1.0,4.0,zb007,1.0,0.0,1
f02_ds2_020,log,factor,16.2013,10.0,18.0,zb007,1.0,0.0,1
f02_ds1_025,log,factor,10.8937,7.0,13.0,zb007,1.0,0.0,1
f02_ds2_025,log,factor,23.5951,20.0,25.0,zb007,1.0,0.0,1
f02_ds1_030,log,factor,20.5587,18.0,22.0,zb007,1.0,0.0,1
f02_ds2_030,log,factor,31.2944,27.0,33.0,zb007,1.0,0.0,1
f02_ds1_035,log,factor,29.445,28.0,32.0,zb007,1.0,0.0,1
f02_ds2_035,log,factor,34.8914,34.0,39.0,zb007,1.0,0.0,1
f02_ds1_040,log,factor,35.396,33.0,37.0,zb007,1.0,0.0,1
f02_ds2_040,log,factor,44.0,40.0,44.0,zb007,1.0,0.0,1
f02_ds1_045,log,factor,40.6455,38.0,42.0,zb007,1.0,0.0,1
f02_ds2_045,log,factor,46.1061,45.0,50.0,zb007,1.0,0.0,1
f02_ds1_050,log,factor,50.2403,46.0,54.0,zb007,1.0,0.0,1
f02_ds2_050,log,factor,52.1479,51.0,53.0,zb007,1.0,0.0,1
f02_ds1_055,log,factor,58.6756,56.0,64.0,zb007,1.0,0.0,1
f02_ds2_055,log,factor,55.7495,54.0,56.5,zb007,1.0,0.0,1
f02_ds1_060,log,factor,67.5428,66.0,74.0,zb007,1.0,0.0,1
f02_ds2_060,log,factor,58.5865,57.0,60.0,zb007,1.0,0.0,1
f02_ds1_065,log,factor,84.7463,77.0,90.0,zb007,1.0,0.0,1
f02_ds2_065,log,factor,61.1017,61.0,62.0,zb007,1.0,0.0,1
f02_ds1_070,log,factor,146.103,110.0,150.0,zb007,1.0,0.0,1
f02_ds2_070,log,factor,63.0666,62.5,63.5,zb007,1.0,0.0,1
f02_ds1_075,log,factor,191.61,180.0,225.0,zb007,1.0,0.0,1
f02_ds2_075,log,factor,64.3985,64.0,64.6,zb007,1.0,0.0,1
f02_ds1_080,log,factor,263.218,245.0,300.0,zb007,1.0,0.0,1
f02_ds2_080,log,factor,65.4267,65.0,65.5,zb007,1.0,0.0,1
f03_ds2_010,log,factor,0.308207,0.1,1.1,zb006,1.0,-0.1,1
f03_ds2_015,log,factor,3.52512,2.0,6.0,zb006,1.0,0.0,1
f03_ds1_020,log,factor,1.26764,0.5,3.0,zb006,1.0,0.0,1
f03_ds2_020,log,factor,89.14,35.0,90.0,zb006,1.0,0.0,1
f03_ds1_025,log,factor,7.66881,5.0,15.0,zb006,1.0,0.0,1
f03_ds2_025,log,factor,104.964,95.0,120.0,zb006,1.0,0.0,1
f03_ds1_030,log,factor,18.2003,16.0,22.0,zb006,1.0,0.0,1
f03_ds2_030,log,factor,141.078,125.0,152.0,zb006,1.0,0.0,1
f03_ds1_035,log,factor,24.5879,23.0,27.0,zb006,1.0,0.0,1
f03_ds2_035,log,factor,166.759,155.0,180.0,zb006,1.0,0.0,1
