 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
127024     608092.625    3315882.000    19.940599       5.011895        5.457120        0.280590        6.770140        4.118405        11.570499       0.203752        10.914700       3.502450        6.557680        0.313913        32.891251       6.001260        22.348549       0.283727        0.227749        0.825392        0.192019        0.010173        0.010023     
131141     601092.250    3304214.750    47.218300       5.057545        13.931749       0.251904        7.061725        2.023360        5.087775        0.190573        4.210045        2.451650        5.701315        0.377755        6.429040        3.304960        8.745365        0.322519        0.052380        0.371876        0.122211        0.010000        0.009646     
131484     603266.625    3306442.000    55.207748       5.000000        19.135231       0.174709        7.539340        6.857965        5.346965        0.205771        9.651315        16.816450       10.498180       0.359461        13.982550       9.091681        3.787295        0.275234        0.021211        1.119965        0.082085        0.010012        0.018930     
131997     604857.562    3307927.000    32.732948       5.000000        6.957745        0.200409        27.762001       1.562960        2.888280        0.202459        6.993040        2.918275        8.042845        0.353803        11.187300       5.235855        5.210165        0.212259        0.049664        0.268888        0.153125        0.010000        0.012929     
132586     606607.688    3309465.000    28.460251       6.831345        6.216725        0.223935        10.894825       3.430505        15.743500       0.216988        17.164400       24.619850       49.557999       0.255298        31.279251       4.169225        6.426305        0.229856        0.072053        0.512252        0.035944        0.010107        0.009275     
132964     608516.875    3312169.500    21.788200       5.059090        19.429600       0.302794        7.660160        11.023700       4.884395        0.172781        30.009151       5.938270        10.122496       0.218073        28.149450       11.715840       12.272350       0.311130        0.029371        1.388570        0.021684        0.034076        0.018418     
133035     611062.438    3313336.250    13.471800       8.151449        8.959480        0.318459        5.182105        3.150770        17.811451       0.156996        3.566170        10.315889       21.918652       0.192907        15.471400       3.515700        10.368910       0.227754        0.156549        0.715439        0.127573        0.017851        0.009392     
133124     593667.625    3294880.750    60.891201       7.380720        10.303499       0.300866        25.827200       4.939885        3.514860        0.135393        9.513160        3.487920        20.774300       0.264795        42.925751       2.215850        14.451400       0.300386        0.150984        1.827610        0.020085        0.010760        0.009000     
133600     603956.000    3305540.500    57.127350       8.568150        7.862270        0.284515        8.320010        2.299620        7.305535        0.206391        13.437950       2.656420        35.177448       0.207886        30.659599       12.070955       16.234650       0.222016        0.088971        4.404360        0.233015        0.010000        0.021814     
136380     609365.375    3309093.750    25.889301       5.912195        8.748035        0.314030        4.959250        2.882900        3.727120        0.134247        6.700735        1.267980        25.877350       0.252119        16.723650       4.563045        12.491750       0.244802        0.072656        0.972712        0.082404        0.028093        0.022025     
