    C2D             x              y 
104964     580091.188    3303366.000 
104965     580939.688    3304214.750 
104966     581363.938    3305063.250 
104967     581788.250    3305487.500 
104968     581788.250    3304639.000 
104969     582212.500    3305063.250 
104970     582212.500    3305911.750 
104971     582636.750    3306336.000 
104972     582636.750    3305487.500 
104973     583061.000    3305911.750 
104974     583061.000    3306760.250 
104977     583485.312    3306972.250 
104978     583697.438    3307184.500 
104979     583485.312    3306336.000 
104980     583909.562    3306760.250 
104983     583909.562    3307396.500 
104984     584121.688    3307608.750 
104989     584121.688    3307184.500 
104990     584333.812    3307396.500 
104991     584333.812    3306972.250 
104992     584545.938    3307184.500 
104993     584545.938    3307608.750 
104994     584758.062    3307821.000 
104995     584758.062    3307396.500 
104996     584970.188    3307608.750 
105005     584970.188    3308033.000 
105006     585182.312    3308245.250 
105007     585182.312    3307821.000 
105008     585394.500    3308033.000 
105009     585394.500    3308457.250 
105010     585606.625    3308669.500 
105011     585606.625    3308245.250 
105012     585818.750    3308457.250 
105021     585818.750    3308881.500 
105023     586030.875    3308669.500 
105024     586243.000    3308881.500 
105026     586455.125    3309518.000 
105027     586455.125    3309093.750 
105028     586667.250    3309305.750 
105037     586667.250    3309730.000 
105038     586879.375    3309942.250 
105039     586879.375    3309518.000 
105040     587091.500    3309730.000 
105041     587091.500    3310154.250 
105042     587303.688    3310366.500 
105043     587303.688    3309942.250 
105044     587515.812    3310154.250 
105053     587515.812    3310578.500 
105054     587727.938    3310790.750 
105055     587727.938    3310366.500 
105056     587940.062    3310578.500 
105057     587940.062    3311002.750 
105058     588152.188    3311215.000 
105059     588152.188    3310790.750 
105060     588364.312    3311002.750 
105069     588364.312    3311427.000 
105070     588576.438    3311639.250 
105071     588576.438    3311215.000 
105072     588788.562    3311427.000 
105073     588788.562    3311851.500 
105074     589000.688    3312063.500 
105075     589000.688    3311639.250 
105076     589212.875    3311851.500 
105086     589318.938    3312700.000 
105097     589425.000    3312806.000 
105098     589531.062    3312912.000 
105101     589637.125    3313018.000 
105102     589743.188    3313124.250 
105103     589212.875    3312275.750 
105104     589318.938    3312487.750 
105105     589425.000    3312593.750 
105106     589425.000    3312381.750 
105107     589531.062    3312487.750 
105108     589425.000    3312063.500 
105109     589531.062    3312275.750 
105110     589637.125    3312381.750 
105111     589637.125    3312169.500 
105112     589743.188    3312275.750 
105113     589531.062    3312700.000 
105114     589637.125    3312806.000 
105115     589637.125    3312593.750 
105116     589743.188    3312700.000 
105117     589743.188    3312912.000 
105118     589849.250    3313018.000 
105119     589849.250    3312806.000 
105120     589955.312    3312912.000 
105121     589743.188    3312487.750 
105122     589849.250    3312593.750 
105123     589849.250    3312381.750 
105124     589955.312    3312487.750 
105125     589955.312    3312700.000 
105126     590061.375    3312806.000 
105127     590061.375    3312593.750 
105128     590167.438    3312700.000 
105137     589743.188    3313336.250 
105138     589849.250    3313442.500 
105139     589849.250    3313230.250 
105140     589955.312    3313336.250 
105141     589955.312    3313548.500 
105143     590061.375    3313442.500 
105144     590167.438    3313548.500 
105155     590273.500    3313654.500 
105156     590379.562    3313760.500 
105159     590485.625    3313866.750 
105160     590591.688    3313972.750 
105161     589955.312    3313124.250 
105162     590061.375    3313230.250 
105163     590061.375    3313018.000 
105164     590167.438    3313124.250 
105165     590167.438    3313336.250 
105166     590273.500    3313442.500 
105167     590273.500    3313230.250 
105168     590379.562    3313336.250 
105169     590167.438    3312912.000 
105170     590273.500    3313018.000 
105171     590273.500    3312806.000 
105172     590379.562    3312912.000 
105173     590379.562    3313124.250 
105174     590485.625    3313230.250 
105175     590485.625    3313018.000 
105176     590591.688    3313124.250 
105177     590379.562    3313548.500 
105178     590485.625    3313654.500 
105179     590485.625    3313442.500 
105180     590591.688    3313548.500 
105181     590591.688    3313760.500 
105182     590697.750    3313866.750 
105183     590697.750    3313654.500 
105184     590803.812    3313760.500 
105185     590591.688    3313336.250 
105186     590697.750    3313442.500 
105187     590697.750    3313230.250 
105188     590803.812    3313336.250 
105189     590803.812    3313548.500 
105190     590909.875    3313654.500 
105191     590909.875    3313442.500 
105192     591016.000    3313548.500 
105203     590697.750    3314078.750 
105204     590803.812    3314184.750 
105207     590909.875    3314291.000 
105231     590803.812    3313972.750 
105232     590909.875    3314078.750 
105233     590909.875    3313866.750 
105234     591016.000    3313972.750 
105235     591016.000    3314184.750 
105236     591122.062    3314291.000 
105237     591122.062    3314078.750 
105238     591228.125    3314184.750 
105239     591016.000    3313760.500 
105240     591122.062    3313866.750 
105241     591122.062    3313654.500 
105242     591228.125    3313760.500 
105243     591228.125    3313972.750 
105244     591334.188    3314078.750 
105245     591334.188    3313866.750 
105246     591440.250    3313972.750 
105247     591228.125    3314397.000 
105248     591334.188    3314503.000 
105249     591334.188    3314291.000 
105250     591440.250    3314397.000 
105251     591440.250    3314609.000 
105252     591493.250    3314715.250 
105253     591546.312    3314768.250 
105254     591546.312    3314662.250 
105255     591599.312    3314715.250 
105256     591546.312    3314503.000 
105257     591599.312    3314609.000 
105258     591652.375    3314662.250 
105259     591652.375    3314556.000 
105260     591705.375    3314609.000 
105261     591440.250    3314184.750 
105262     591546.312    3314291.000 
105263     591546.312    3314078.750 
105264     591652.375    3314184.750 
105265     591652.375    3314397.000 
105266     591705.375    3314503.000 
105267     591758.438    3314556.000 
105268     591758.438    3314450.000 
105269     591811.438    3314503.000 
105270     591758.438    3314291.000 
105271     591811.438    3314397.000 
105272     591864.500    3314450.000 
105273     591864.500    3314344.000 
105274     591917.500    3314397.000 
105405     591652.375    3314768.250 
105406     591705.375    3314821.250 
105409     591758.438    3314874.250 
105411     591705.375    3314715.250 
105412     591758.438    3314768.250 
105413     591758.438    3314662.250 
105414     591811.438    3314715.250 
105415     591811.438    3314821.250 
105416     591864.500    3314874.250 
105417     591864.500    3314768.250 
105418     591917.500    3314821.250 
105427     591917.500    3314927.250 
105428     591970.562    3314980.250 
105429     591970.562    3314874.250 
105430     592023.625    3314927.250 
105433     592076.625    3314980.250 
105434     592129.688    3315033.250 
105435     591811.438    3314609.000 
105436     591864.500    3314662.250 
105437     591864.500    3314556.000 
105438     591917.500    3314609.000 
105439     591917.500    3314715.250 
105440     591970.562    3314768.250 
105441     591970.562    3314662.250 
105442     592023.625    3314715.250 
105443     591917.500    3314503.000 
105444     591970.562    3314556.000 
105445     591970.562    3314450.000 
105446     592023.625    3314503.000 
105447     592023.625    3314609.000 
105448     592076.625    3314662.250 
105449     592076.625    3314556.000 
105450     592129.688    3314609.000 
105451     592023.625    3314821.250 
105452     592076.625    3314874.250 
105453     592076.625    3314768.250 
105454     592129.688    3314821.250 
105455     592129.688    3314927.250 
105456     592182.688    3314980.250 
105457     592182.688    3314874.250 
105458     592235.750    3314927.250 
105459     592129.688    3314715.250 
105460     592182.688    3314768.250 
105461     592182.688    3314662.250 
105462     592235.750    3314715.250 
105463     592235.750    3314821.250 
105464     592288.750    3314874.250 
105465     592288.750    3314768.250 
105466     592341.812    3314821.250 
105477     592182.688    3315086.500 
105499     592235.750    3315033.250 
105500     592288.750    3315086.500 
105501     592288.750    3314980.250 
105502     592341.812    3315033.250 
105503     592341.812    3315139.500 
105504     592394.812    3315192.500 
105505     592394.812    3315086.500 
105506     592447.875    3315139.500 
105507     592341.812    3314927.250 
105508     592394.812    3314980.250 
105509     592394.812    3314874.250 
105510     592447.875    3314927.250 
105511     592447.875    3315033.250 
105512     592500.875    3315086.500 
105513     592500.875    3314980.250 
105514     592553.938    3315033.250 
105517     592500.875    3315192.500 
105518     592553.938    3315245.500 
105521     592606.938    3315298.500 
105523     592553.938    3315139.500 
105524     592606.938    3315192.500 
105525     592606.938    3315086.500 
105526     592660.000    3315139.500 
105527     592660.000    3315245.500 
105528     592713.000    3315298.500 
105529     592713.000    3315192.500 
105530     592766.062    3315245.500 
105699     592766.062    3315351.500 
105700     592819.062    3315404.500 
105701     592819.062    3315298.500 
105702     592872.125    3315351.500 
105705     592925.188    3315404.500 
105706     592978.188    3315457.750 
105717     593031.250    3315510.750 
108964     579242.625    3300820.500 
108965     580091.188    3301669.000 
108966     580939.688    3302517.500 
108967     581788.250    3303366.000 
108968     582212.500    3304214.750 
108969     582636.750    3304639.000 
108970     582636.750    3303790.250 
108971     583061.000    3304214.750 
108972     583061.000    3305063.250 
108973     583485.312    3305487.500 
108974     583485.312    3304639.000 
108975     583909.562    3305063.250 
108976     583909.562    3305911.750 
108977     584333.812    3306336.000 
108978     584333.812    3305487.500 
108979     584758.062    3305911.750 
108980     584758.062    3306760.250 
108981     584970.188    3307184.500 
108982     585182.312    3307396.500 
108983     585182.312    3306972.250 
108984     585394.500    3307184.500 
108985     585182.312    3306336.000 
108986     585606.625    3306760.250 
108987     585394.500    3307608.750 
108988     585606.625    3307821.000 
108989     585606.625    3307396.500 
108990     585818.750    3307608.750 
108991     585818.750    3308033.000 
108992     586030.875    3308245.250 
108993     586030.875    3307821.000 
108994     586243.000    3308033.000 
108995     585818.750    3307184.500 
108996     586030.875    3307396.500 
108997     586030.875    3306972.250 
108998     586243.000    3307184.500 
108999     586243.000    3307608.750 
109000     586455.125    3307821.000 
109001     586455.125    3307396.500 
109002     586667.250    3307608.750 
109003     586243.000    3308457.250 
109004     586455.125    3308669.500 
109005     586455.125    3308245.250 
109006     586667.250    3308457.250 
109007     586667.250    3308881.500 
109008     586879.375    3309093.750 
109009     586879.375    3308669.500 
109010     587091.500    3308881.500 
109011     586667.250    3308033.000 
109012     586879.375    3308245.250 
109013     586879.375    3307821.000 
109014     587091.500    3308033.000 
109015     587091.500    3308457.250 
109016     587303.688    3308669.500 
109017     587303.688    3308245.250 
109018     587515.812    3308457.250 
109019     587091.500    3309305.750 
109020     587303.688    3309518.000 
109021     587303.688    3309093.750 
109022     587515.812    3309305.750 
109023     587515.812    3309730.000 
109024     587727.938    3309942.250 
109025     587727.938    3309518.000 
109026     587940.062    3309730.000 
109027     587515.812    3308881.500 
109028     587727.938    3309093.750 
109029     587727.938    3308669.500 
109030     587940.062    3308881.500 
109031     587940.062    3309305.750 
109032     588152.188    3309518.000 
109033     588152.188    3309093.750 
109034     588364.312    3309305.750 
109035     587940.062    3310154.250 
109036     588152.188    3310366.500 
109037     588152.188    3309942.250 
109038     588364.312    3310154.250 
109039     588364.312    3310578.500 
109040     588576.438    3310790.750 
109041     588576.438    3310366.500 
109042     588788.562    3310578.500 
109043     588364.312    3309730.000 
109044     588576.438    3309942.250 
109045     588576.438    3309518.000 
109046     588788.562    3309730.000 
109047     588788.562    3310154.250 
109048     589000.688    3310366.500 
109049     589000.688    3309942.250 
109050     589212.875    3310154.250 
109051     588788.562    3311002.750 
109052     589000.688    3311215.000 
109053     589000.688    3310790.750 
109054     589212.875    3311002.750 
109055     589212.875    3311427.000 
109056     589425.000    3311639.250 
109057     589425.000    3311215.000 
109058     589637.125    3311427.000 
109059     589212.875    3310578.500 
109060     589425.000    3310790.750 
109061     589425.000    3310366.500 
109062     589637.125    3310578.500 
109063     589637.125    3311002.750 
109064     589849.250    3311215.000 
109065     589849.250    3310790.750 
