 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
104965     580939.688    3304214.750    45.512497       5.016385        15.842000       0.346516        10.567650       2.313210        17.025949       0.194572        13.580410       1.699000        18.800550       0.239207        9.244805        8.691925        9.914050        0.214711        0.208739        0.015334     
105058     588152.188    3311215.000    30.712601       7.384180        9.366230        0.175030        12.263900       3.057735        17.508450       0.323503        7.309870        14.296000       6.670125        0.238061        34.418648       2.145130        8.165291        0.258372        0.738828        0.011713     
109042     588788.562    3310578.500    42.452999       5.000000        6.732090        0.225910        21.214600       1.795655        2.059365        0.229513        31.550850       5.055295        5.508645        0.286945        34.976398       11.822580       20.312851       0.228564        1.164130        0.023244     
109656     593720.625    3315033.250    100.755997      6.401640        9.533205        0.228087        11.744150       1.893875        3.216320        0.213164        7.703680        7.266830        13.293674       0.182962        17.383551       4.120145        11.336415       0.323992        0.770579        0.009000     
110367     596213.188    3317950.250    17.072399       5.000000        38.258499       0.246875        7.394765        5.334380        16.197000       0.159665        8.066885        14.993700       19.163000       0.308201        45.376602       4.046500        15.145149       0.375020        0.673124        0.041848     
114520     599766.438    3320336.750    97.238007       5.054330        17.443100       0.336929        10.890249       1.005980        18.417000       0.214152        43.441299       4.191000        3.423150        0.225313        17.123600       5.316000        4.680605        0.179249        0.720878        0.009000     
115002     602046.812    3322245.750    17.041800       5.000515        7.227400        0.222787        4.574905        2.457475        10.554029       0.213278        24.537048       3.096730        27.028851       0.237508        20.231600       11.511150       19.397350       0.251880        0.938152        0.010776     
117754     603425.688    3321927.750    21.379650       5.782885        8.651435        0.247708        18.879051       4.943810        2.107690        0.166573        6.566145        4.302140        3.015240        0.188846        6.984330        7.106055        10.778350       0.225966        2.047310        0.062384     
118800     595470.750    3312700.000    48.178101       5.614910        5.318260        0.289893        13.817850       1.947800        4.862795        0.191900        16.410599       8.995445        6.513490        0.309588        6.203880        5.050145        13.290455       0.183839        2.940880        0.009172     
119784     605547.000    3321397.250    35.308502       5.002930        5.008495        0.211879        10.250750       2.523895        4.026805        0.236133        16.758650       2.582005        11.386950       0.217507        14.249750       5.846620        6.553390        0.318919        0.306631        0.009000     
120490     599607.312    3314184.750    25.466049       5.005315        28.199451       0.279475        19.301701       2.946990        7.513510        0.204437        18.151451       4.247400        9.973115        0.228117        14.014576       2.843335        18.793699       0.247558        0.864098        0.009160     
121189     606819.812    3321397.250    40.059151       12.107650       8.605130        0.217120        4.554195        11.826000       1.525100        0.208636        7.676450        6.429690        10.632800       0.197745        22.221500       3.252155        6.235320        0.195992        0.924757        0.073503     
121632     594304.000    3306760.250    60.145599       8.817230        17.360750       0.185794        10.341145       2.447720        15.202600       0.200475        26.476151       18.687950       8.704240        0.208879        9.084749        2.393405        17.969799       0.204967        2.531340        0.037009     
122570     606395.562    3320124.500    47.404503       5.000000        8.198580        0.207809        13.180099       3.453260        19.994450       0.176536        18.305149       2.560575        7.967880        0.182848        30.287449       6.012720        4.638080        0.216799        0.284912        0.009909     
122895     598970.938    3310154.250    48.217251       13.228355       21.415751       0.335626        29.989950       4.851760        3.057150        0.211602        18.935501       8.626340        25.290100       0.209972        13.167400       3.425350        19.380850       0.298420        1.289770        0.009216     
123319     604751.500    3316306.250    29.627150       6.363700        7.402550        0.328671        9.113436        1.689945        15.149450       0.153078        4.554810        4.924485        8.893660        0.270633        22.513451       1.003600        16.181351       0.343454        0.384240        0.010204     
123940     608941.125    3320761.000    28.427950       6.319090        15.683900       0.172269        6.819355        3.852900        2.623310        0.209930        37.778847       4.963330        8.305120        0.167095        18.570999       1.304905        14.620750       0.276586        3.600285        0.013199     
124274     602577.188    3312806.000    15.851350       5.201850        20.759850       0.282665        9.704080        3.475585        15.476450       0.146222        12.252200       8.493944        3.998015        0.393708        18.020750       2.249625        8.220815        0.288701        3.455530        0.011402     
125414     608092.625    3318003.250    73.666245       5.000000        7.692400        0.236557        16.991100       3.008180        2.794840        0.160551        37.546303       7.941820        8.779805        0.251449        23.704849       6.029635        18.025551       0.254993        2.749755        0.020165     
125521     590273.500    3298275.000    33.918949       5.426055        15.484650       0.203256        10.383810       3.829380        6.964315        0.200530        14.499050       8.896635        8.717655        0.152946        13.290390       4.567775        11.153666       0.258020        1.173110        0.009000     
127021     607880.438    3315775.750    18.877251       5.001855        7.407745        0.196539        7.222690        20.063049       6.267865        0.201121        17.414351       5.867170        18.249300       0.239118        13.080400       2.823990        17.268000       0.288836        1.265274        0.033488     
127160     597486.000    3303366.000    71.010200       6.052615        22.143551       0.274911        12.067249       1.296245        6.296275        0.203515        8.169750        5.746200        3.339780        0.226034        14.647850       8.701340        14.808701       0.277995        1.143516        0.016779     
128812     608092.625    3314291.000    31.580299       8.206295        8.097075        0.345483        3.937410        1.723045        10.851550       0.201059        19.010849       14.175350       7.215930        0.222516        48.812450       2.280930        15.180050       0.279118        2.696004        0.009002     
129037     601622.562    3306336.000    14.128500       5.000000        14.910350       0.298616        12.546400       8.714251        19.352501       0.223441        35.701752       2.418005        9.769090        0.224939        16.191050       3.976055        7.839035        0.209496        0.851776        0.012517     
129801     604327.250    3308563.250    14.609600       5.010585        12.671050       0.312022        2.282335        2.139705        18.440601       0.180634        11.133900       8.584255        4.253940        0.414353        9.119245        4.438590        8.003215        0.247530        0.391813        0.043507     
130429     606342.500    3311427.000    22.793150       5.397405        7.094235        0.216311        8.098320        2.386745        16.910351       0.239963        21.367199       2.954870        31.557850       0.171573        22.202749       13.871420       11.937901       0.212200        1.039675        0.020801     
130941     608304.750    3312806.000    25.191450       5.000000        12.358875       0.165871        8.224751        8.492145        4.967430        0.242546        57.628098       15.312901       8.538284        0.262831        5.101635        3.507535        8.077250        0.269049        1.291660        0.009000     
