    C2D             x              y 
1041       563969.125    3348338.000 
1042       564817.688    3349186.500 
1043       565666.188    3350035.250 
1044       566514.750    3350883.750 
1198       564817.688    3347489.500 
1199       565666.188    3348338.000 
1200       566514.750    3349186.500 
1201       567363.250    3350035.250 
1202       568211.750    3350883.750 
1376       564817.688    3345792.500 
1377       565666.188    3346641.000 
1378       566514.750    3347489.500 
1379       567363.250    3348338.000 
1380       568211.750    3349186.500 
1381       569060.312    3350035.250 
1382       569908.812    3350883.750 
1383       570757.375    3351732.250 
1638       565666.188    3345368.250 
1639       565666.188    3344519.750 
1640       566090.438    3344944.000 
1641       566090.438    3345792.500 
1642       566514.750    3346216.750 
1643       566514.750    3345368.250 
1644       566939.000    3345792.500 
1645       567363.250    3346641.000 
1646       568211.750    3347489.500 
1647       569060.312    3348338.000 
1648       569908.812    3349186.500 
1649       570757.375    3350035.250 
1650       571605.875    3350883.750 
1651       572454.438    3351732.250 
1652       573302.938    3352580.750 
1654       575848.500    3355126.250 
1655       576697.062    3355974.750 
1656       577545.562    3356823.500 
1657       578394.125    3357672.000 
1658       579242.625    3358520.500 
1659       580091.188    3359369.000 
1660       580939.688    3360217.500 
2050       566090.438    3344095.500 
2051       566514.750    3344519.750 
2052       566514.750    3343671.250 
2053       566939.000    3344095.500 
2054       566939.000    3344944.000 
2055       567363.250    3345368.250 
2056       567363.250    3344519.750 
2057       567787.500    3344944.000 
2058       567787.500    3345792.500 
2059       568211.750    3346216.750 
2060       568211.750    3345368.250 
2061       568636.062    3345792.500 
2062       568636.062    3346641.000 
2063       569060.312    3347065.250 
2064       569060.312    3346216.750 
2065       569484.562    3346641.000 
2066       569908.812    3347489.500 
2067       570757.375    3348338.000 
2068       571605.875    3349186.500 
2069       572454.438    3350035.250 
2070       573302.938    3350883.750 
2071       574151.500    3351732.250 
2072       575000.000    3352580.750 
2073       575848.500    3353429.250 
2074       576697.062    3354277.750 
2075       577545.562    3355126.250 
2076       578394.125    3355974.750 
2077       579242.625    3356823.500 
2078       580091.188    3357672.000 
2079       580939.688    3358520.500 
2080       581788.250    3359369.000 
2622       566514.750    3342822.750 
2624       566939.000    3342398.500 
2625       566939.000    3343247.000 
2626       567363.250    3343671.250 
2627       567363.250    3342822.750 
2628       567787.500    3343247.000 
2629       567787.500    3344095.500 
2630       568211.750    3344519.750 
2631       568211.750    3343671.250 
2632       568636.062    3344095.500 
2633       568636.062    3344944.000 
2634       569060.312    3345368.250 
2635       569060.312    3344519.750 
2636       569484.562    3344944.000 
2637       569484.562    3345792.500 
2638       569908.812    3346216.750 
2639       569908.812    3345368.250 
2640       570333.125    3345792.500 
2641       570333.125    3346641.000 
2642       570757.375    3347065.250 
2643       570757.375    3346216.750 
2644       571181.625    3346641.000 
2645       571181.625    3347489.500 
2646       571605.875    3347913.750 
2647       571605.875    3347065.250 
2648       572030.125    3347489.500 
2649       572454.438    3348338.000 
2650       573302.938    3349186.500 
2651       574151.500    3350035.250 
2652       575000.000    3350883.750 
2653       575848.500    3351732.250 
2654       576697.062    3352580.750 
2655       577545.562    3353429.250 
2656       578394.125    3354277.750 
2657       579242.625    3355126.250 
2658       580091.188    3355974.750 
2659       580939.688    3356823.500 
2660       581788.250    3357672.000 
2661       582636.750    3358520.500 
2662       583485.312    3359369.000 
2663       584333.812    3360217.500 
2664       585182.312    3361066.000 
2665       586030.875    3361914.500 
3650       567363.250    3341974.250 
3652       567787.500    3341549.750 
3653       567787.500    3342398.500 
3654       568211.750    3342822.750 
3655       568211.750    3341974.250 
3656       568636.062    3342398.500 
3657       568636.062    3343247.000 
3658       569060.312    3343671.250 
3659       569060.312    3342822.750 
3660       569484.562    3343247.000 
3661       569484.562    3344095.500 
3662       569908.812    3344519.750 
3663       569908.812    3343671.250 
3664       570333.125    3344095.500 
3665       570333.125    3344944.000 
3666       570757.375    3345368.250 
3667       570757.375    3344519.750 
3668       571181.625    3344944.000 
3669       571181.625    3345792.500 
3670       571605.875    3346216.750 
3671       571605.875    3345368.250 
3672       572030.125    3345792.500 
3673       572030.125    3346641.000 
3674       572454.438    3347065.250 
3675       572454.438    3346216.750 
3676       572878.688    3346641.000 
3677       572878.688    3347489.500 
3678       573302.938    3347913.750 
3679       573302.938    3347065.250 
3680       573727.188    3347489.500 
3681       573727.188    3348338.000 
3682       574151.500    3348762.250 
3683       574151.500    3347913.750 
3684       574575.750    3348338.000 
3685       574575.750    3349186.500 
3686       575000.000    3349611.000 
3687       575000.000    3348762.250 
3688       575424.250    3349186.500 
3689       575848.500    3350035.250 
3690       576697.062    3350883.750 
3691       577545.562    3351732.250 
3692       578394.125    3352580.750 
3693       579242.625    3353429.250 
3694       580091.188    3354277.750 
3695       580939.688    3355126.250 
3696       581788.250    3355974.750 
3697       582636.750    3356823.500 
3698       583485.312    3357672.000 
3699       584333.812    3358520.500 
3700       585182.312    3359369.000 
3701       586030.875    3360217.500 
3702       586879.375    3361066.000 
3703       587727.938    3361914.500 
4949       568211.750    3341125.500 
4951       568636.062    3340701.250 
4952       568636.062    3341549.750 
4953       569060.312    3341974.250 
4954       569060.312    3341125.500 
4955       569484.562    3341549.750 
4956       569484.562    3342398.500 
4957       569908.812    3342822.750 
4958       569908.812    3341974.250 
4959       570333.125    3342398.500 
4960       570333.125    3343247.000 
4961       570757.375    3343671.250 
4962       570757.375    3342822.750 
4963       571181.625    3343247.000 
4964       571181.625    3344095.500 
4965       571605.875    3344519.750 
4966       571605.875    3343671.250 
4967       572030.125    3344095.500 
4968       572030.125    3344944.000 
4969       572454.438    3345368.250 
4970       572454.438    3344519.750 
4971       572878.688    3344944.000 
4972       572878.688    3345792.500 
4973       573302.938    3346216.750 
4974       573302.938    3345368.250 
4975       573727.188    3345792.500 
4976       573727.188    3346641.000 
4977       574151.500    3347065.250 
4978       574151.500    3346216.750 
4979       574575.750    3346641.000 
4980       574575.750    3347489.500 
4981       575000.000    3347913.750 
