 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
34677      590273.500    3347277.500    11.802990       4.111745        6.238215        0.212368        16.108900       10.395400       4.863230        0.212389        38.588402       3.260080        9.400545        0.361383        0.964746        0.020263        0.010000        0.011426     
48643      593667.625    3346429.000    7.585195        3.387950        3.379645        0.159189        4.737465        5.021990        4.994140        0.206160        19.787550       4.627660        17.490450       0.161307        0.917432        0.048840        0.010974        0.009296     
48663      596213.188    3348762.250    3.387395        2.328210        20.000000       0.215993        23.558050       12.751050       14.056601       0.197378        24.997000       16.300900       8.145945        0.242622        1.689605        0.088599        0.024077        0.053354     
59898      595152.562    3341549.750    8.001220        3.342425        1.761245        0.301692        8.532545        4.028025        17.570400       0.221840        4.613870        17.131199       13.466450       0.270853        1.186180        0.055401        0.188568        0.049881     
1650       571605.875    3350883.750    10.078150       7.105950        8.441865        0.199958        7.353805        2.379250        13.117050       0.406155        29.603199       10.159975       7.949125        0.233896        1.507003        0.422573        0.054971        0.014457     
2628       567787.500    3343247.000    11.769501       2.079055        11.077510       0.230649        8.419436        8.405500        8.087285        0.205756        38.695801       3.581440        6.890055        0.169818        1.038860        0.053854        0.025710        0.025197     
6424       582636.750    3353429.250    10.022900       6.960075        2.282340        0.142247        7.147360        13.013350       10.922939       0.265151        19.036049       2.843315        6.866675        0.339321        0.943213        0.043365        0.010000        0.009000     
6427       585182.312    3355974.750    16.232151       2.508140        2.969185        0.165333        22.629724       2.627380        18.997400       0.154274        31.022249       8.785290        19.510200       0.276392        3.063725        0.206581        0.010000        0.009000     
8137       568211.750    3336670.750    16.333250       3.115565        19.397350       0.270980        8.587126        4.948880        3.012375        0.223167        13.619650       3.949550        13.299750       0.249538        2.810580        0.234131        0.025635        0.025368     
10866      566939.000    3334231.250    14.027151       3.147625        2.169985        0.195944        77.995499       1.318000        26.919151       0.221418        10.043995       4.039370        12.427219       0.201439        1.465190        0.158981        0.037426        0.086370     
11190      580515.438    3348338.000    16.363600       2.772805        19.966600       0.226649        3.130805        16.686199       13.018035       0.184490        8.776880        4.654595        19.453150       0.211646        0.874194        0.175243        0.010238        0.042094     
14556      574681.812    3340701.250    8.986900        1.017345        6.409985        0.271907        44.284653       4.168640        8.918890        0.230493        34.339401       6.191665        9.700445        0.174268        0.849670        0.411420        0.018211        0.034700     
14695      580091.188    3346216.750    19.232929       1.607960        5.789030        0.199670        18.028950       16.422800       18.462151       0.285024        3.863695        4.560835        4.190320        0.191049        4.927645        0.085217        0.034156        0.009138     
18059      575954.625    3340701.250    7.176330        3.714410        1.049377        0.196834        52.000603       5.336065        5.804295        0.276006        28.738949       16.626751       8.864605        0.203081        0.917266        0.897495        0.010000        0.036514     
18324      584333.812    3348762.250    20.539949       3.342760        5.485355        0.131181        4.338895        3.331305        4.300745        0.176401        12.131950       3.982215        8.099870        0.327674        3.147010        1.109402        0.036255        0.020024     
