 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
86915      592394.812    3326594.500    20.930351       7.993335        9.147760        0.254899        20.570950       1.008300        10.193745       0.201738        45.140049       4.630820        11.069805       0.221629        15.651501       11.032700       15.069450       0.248369        0.027262        2.575210        0.100869        0.023342        0.083515     
87165      594569.188    3327867.250    42.107597       5.000000        5.666435        0.205460        3.344635        3.836525        1.848225        0.271479        19.833851       10.069785       5.015035        0.182568        13.588750       16.412201       11.481600       0.284804        0.053078        0.359960        0.842232        0.019237        0.010164     
91117      593773.688    3325374.750    30.237450       5.245675        5.353005        0.341102        20.556700       6.218525        6.178440        0.207905        14.267150       11.322750       13.634950       0.235613        14.714400       1.832970        9.330709        0.267941        0.024710        0.872030        0.069107        0.010024        0.010894     
83301      594834.375    3330306.750    35.406998       6.470300        5.209845        0.206730        12.102850       1.167260        2.025825        0.187270        19.567051       4.994945        6.220965        0.359757        9.760546        2.192890        11.154250       0.221321        0.070637        0.764183        0.232520        0.010334        0.009000     
87666      596107.125    3329405.250    52.383350       12.270349       7.144490        0.253329        18.065500       1.741740        8.194099        0.216012        40.820049       10.122810       33.642647       0.319211        14.704956       4.910595        6.268110        0.227066        0.134400        1.056182        0.093232        0.010000        0.010587     
88240      600455.875    3333276.750    52.973049       5.131495        5.804860        0.305627        9.735280        4.552870        2.523520        0.202396        44.924049       21.637051       3.300270        0.226135        26.209999       7.828530        20.950649       0.269931        0.020020        1.680710        0.045902        0.010765        0.009363     
92354      598970.938    3331261.500    10.862900       8.217520        5.100645        0.192892        6.354850        3.565910        1.841965        0.174092        25.763451       2.381600        4.793275        0.259108        8.827365        8.999146        22.158800       0.212920        0.022355        0.261178        0.065457        0.029186        0.030072     
94729      594834.375    3324844.500    76.400398       5.001085        5.935945        0.319254        10.198605       2.254135        8.280900        0.175427        13.195601       16.037951       19.120949       0.283446        27.236801       5.097760        20.649599       0.187015        0.052053        1.195525        0.254145        0.010134        0.013543     
98674      598334.500    3327496.000    42.327751       5.000000        11.517179       0.263604        3.924110        6.593955        2.633040        0.221312        7.729830        9.126230        3.311955        0.207305        14.192350       9.336610        26.694801       0.291084        0.026030        0.450146        0.115522        0.011155        0.010370     
101232     597910.250    3323836.750    52.919701       6.917075        8.020250        0.270398        11.794250       2.715915        4.649720        0.224312        3.238255        19.124750       24.557751       0.250074        4.201435        3.373940        6.162395        0.385369        0.024074        0.470125        0.047040        0.010008        0.009701     
104414     601834.688    3326329.500    37.284550       5.226985        8.066175        0.372837        3.381810        2.613760        4.266475        0.249100        5.127745        18.848801       9.355465        0.181354        13.038450       2.332285        11.097450       0.263453        0.021132        2.271725        0.045491        0.018510        0.013976     
104455     601834.688    3326700.750    49.737049       10.614325       22.884899       0.264049        5.677450        3.632485        4.429815        0.214855        13.785650       14.460649       9.869890        0.210669        31.948299       4.651270        5.343055        0.259620        0.022511        0.394199        0.052770        0.071936        0.099262     
107418     600880.125    3324314.250    37.919952       5.000000        7.625710        0.307900        10.516200       3.078610        8.985725        0.210460        10.850800       8.204400        7.860335        0.208273        12.894250       13.456700       11.911036       0.323829        0.020111        0.777228        0.046786        0.026263        0.009000     
111612     600774.062    3322882.250    91.283203       19.473555       5.203230        0.230689        5.807940        7.285620        3.455520        0.187250        5.130025        6.610205        4.829940        0.250622        23.580601       2.946840        5.765995        0.261422        0.020001        0.514913        0.028724        0.027299        0.009033     
112758     605971.250    3327602.250    25.743752       5.000000        18.872250       0.222566        7.216740        3.063040        4.572095        0.267342        8.772240        18.727150       5.281400        0.294456        17.121300       8.137400        11.384100       0.198033        0.028739        1.229780        0.067172        0.010009        0.010747     
115003     602152.875    3322352.000    11.463250       5.000000        11.683041       0.218353        4.013030        6.351345        7.522565        0.260210        5.425110        9.305120        5.261670        0.202157        48.415951       6.332235        12.430685       0.257607        0.101664        0.589406        0.043391        0.020216        0.013075     
117757     603531.750    3322033.750    64.389252       5.000000        8.147660        0.245612        5.474240        4.240735        8.136820        0.159860        7.172435        4.511675        11.577000       0.284853        6.125810        2.991015        15.125000       0.262361        0.088036        0.270535        0.052139        0.010785        0.029752     
84032      604274.250    3339004.250    30.906549       6.399070        7.143195        0.317366        6.411640        3.287345        3.191850        0.176327        12.122550       3.311835        16.930599       0.250605        10.523149       2.992185        11.570010       0.185902        0.022817        2.159820        0.067874        0.010065        0.009061     
99251      605122.750    3333064.500    16.438549       5.003450        6.127995        0.291772        7.587250        5.476390        3.898440        0.250085        47.755997       4.389295        7.060880        0.245454        8.869715        1.823005        5.755380        0.199868        0.035462        0.153050        0.267853        0.030984        0.012928     
99263      607668.312    3335610.250    65.734848       5.000000        7.648095        0.258312        5.951410        2.806125        5.382325        0.195235        11.007875       2.770290        10.040525       0.274732        11.182045       6.454815        12.764950       0.411727        0.362087        0.634382        0.136840        0.010000        0.009063     
104919     607244.062    3331579.750    47.267750       7.123770        28.665150       0.198204        7.547150        3.128310        5.678720        0.195538        12.773100       5.159940        2.787635        0.200729        12.713500       13.360850       22.606850       0.257764        0.020000        2.181430        0.099396        0.010000        0.009000     
115669     607244.062    3326753.750    85.452454       6.961885        12.150365       0.256766        20.134300       3.066255        5.502240        0.168594        29.792801       8.431820        4.872005        0.228741        40.071301       2.852480        4.955730        0.282082        0.020000        1.994710        0.192180        0.035947        0.182443     
116149     611911.000    3331155.500    17.464901       6.221205        7.664645        0.246416        9.623905        3.567110        2.773870        0.183686        30.942501       11.310600       3.502840        0.302692        6.019500        10.120735       11.393050       0.264322        0.022736        1.109215        0.111206        0.031823        0.009396     
118305     609365.375    3327655.250    58.346901       6.127170        25.711151       0.178454        25.824001       3.154300        12.037476       0.230815        34.138550       7.419430        8.055740        0.271592        13.047951       7.056545        8.942915        0.195084        0.070173        0.465803        0.097401        0.010000        0.009004     
118340     610001.812    3327655.250    33.563351       5.059435        13.800400       0.319597        7.729665        2.551155        2.636320        0.161565        17.624950       22.331100       5.307585        0.290044        14.338800       5.496075        9.167805        0.211061        0.136008        0.820821        0.057469        0.010000        0.019511     
119785     605759.125    3321609.500    44.941101       5.122850        12.171200       0.216292        5.827035        3.734300        4.683500        0.120796        9.598725        4.210675        4.647965        0.234174        25.837749       1.141860        14.839300       0.302504        0.020085        0.689319        0.503867        0.010200        0.011148     
119819     607668.312    3323943.000    16.851200       10.355200       5.235110        0.216454        9.502460        2.037770        2.463145        0.194170        19.255449       1.559460        4.620045        0.209520        42.013397       3.131895        5.999270        0.179788        0.093425        0.663311        0.168806        0.013963        0.022467     
121183     606607.688    3321609.500    95.702896       20.470800       11.375950       0.217902        11.129100       2.039975        8.778885        0.223022        5.714370        5.332275        2.387775        0.177350        24.631300       3.964360        19.462650       0.265624        0.039611        0.294821        0.126759        0.010000        0.024692     
123946     609365.375    3321185.250    13.943951       5.004025        7.853320        0.285244        18.711449       2.497460        17.960449       0.212391        24.702301       2.503790        23.396999       0.262475        11.201150       2.794915        6.676380        0.220553        0.047811        1.492207        0.097467        0.020890        0.097058     
