 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
406        522391.250    3316942.500    8.901795        7.631940        2.977060        0.155672        8.216085        6.783310        14.290600       0.273489        10.157630       29.422600       9.147930        0.385251        1.799265        0.015689     
714        528330.938    3316094.000    11.019501       5.846095        2.565590        0.189351        10.307790       7.265330        3.493265        0.354495        3.424745        9.476910        16.692400       0.254997        2.172415        0.009000     
1396       536816.250    3316094.000    6.210845        15.202551       13.968269       0.232383        2.695610        3.155140        39.765602       0.227832        22.928001       20.192801       10.660350       0.279879        1.327950        0.051168     
2689       543604.438    3318215.250    4.970020        15.910905       2.388270        0.193444        6.254435        22.581451       14.125350       0.318843        6.289340        5.373455        10.531045       0.221583        5.453120        0.009013     
2772       551029.062    3325427.750    8.617085        6.135105        4.764680        0.229272        58.669800       9.188060        11.601336       0.175557        5.226890        11.344815       7.830025        0.268165        1.420545        0.011938     
2836       553574.688    3328079.500    4.746200        3.271750        3.058100        0.227214        16.750851       7.013295        49.816849       0.195094        13.516900       5.830525        8.326660        0.262868        1.461905        0.023994     
6454       546574.312    3315245.500    5.028175        2.728275        8.876855        0.193490        8.167250        5.704935        13.338000       0.253526        13.627970       4.404670        8.860525        0.304123        0.902277        0.009000     
6976       556438.438    3325056.500    3.099270        3.266810        1.942380        0.192384        5.472255        7.628680        10.261370       0.237870        9.553730        30.439251       23.690849       0.211565        2.862160        0.022165     
8274       542755.938    3310154.250    3.494770        4.902505        1.461970        0.213297        8.125854        8.852575        6.912300        0.248098        19.382599       4.406835        5.853755        0.200361        1.239349        0.012061     
9739       560203.812    3328185.500    11.188681       2.565535        5.488625        0.234484        4.993125        5.596675        9.811445        0.232942        12.341900       7.782090        4.883240        0.265579        0.820732        0.010554     
11456      554635.312    3319806.250    12.418620       7.628700        20.000000       0.190530        6.080830        3.888775        23.753000       0.223675        29.536301       3.786890        20.406200       0.322460        1.611365        0.015790     
12026      557711.250    3323253.500    3.424055        4.914055        12.656700       0.147190        17.608250       21.434000       14.805450       0.209612        14.230104       34.270302       17.418650       0.229604        1.800530        0.017236     
18540      556332.375    3319170.000    3.802055        7.227915        2.601880        0.177147        14.346260       13.742001       8.711081        0.284711        13.532025       8.207129        25.148500       0.253897        3.121915        0.016799     
18692      557233.938    3319170.000    5.773820        5.289585        9.204124        0.210768        8.564410        11.990854       29.641850       0.316436        9.836010        3.424845        15.602751       0.258327        2.203490        0.016192     
29908      556756.625    3314609.000    8.279181        5.936920        2.574050        0.249861        22.795950       12.316549       27.661865       0.326177        21.574749       12.089550       8.589211        0.288947        1.549555        0.009921     
48682      554635.312    3305063.250    6.906385        6.219870        14.789700       0.175150        3.767440        6.913420        10.726100       0.263801        11.427700       6.299050        20.141600       0.252616        2.226985        0.013243     
51         518997.156    3332216.000    2.048620        4.998035        9.359985        0.171527        4.909395        12.490200       3.396070        0.211693        9.088215        21.355350       17.449949       0.208748        0.377531        0.009000     
76         526633.875    3338155.750    6.087125        3.511050        2.007490        0.211284        4.928965        8.143970        13.884315       0.226480        10.841949       11.527599       10.641650       0.352015        1.494326        0.073972     
198        527482.438    3330519.000    6.875560        7.568430        6.626020        0.177135        4.489740        3.759755        14.496450       0.249598        8.377350        8.547995        3.727525        0.236485        0.317264        0.011224     
271        524936.812    3324579.250    5.546785        3.258860        15.624750       0.293676        12.966351       17.489151       3.615640        0.303584        7.104585        24.603350       6.152085        0.334211        5.287440        0.009389     
332        541907.375    3339852.750    6.981440        13.432350       7.574830        0.148663        6.116190        17.418171       29.136850       0.221335        8.495805        5.644475        25.674999       0.309814        1.460085        0.067409     
391        547847.125    3344095.500    4.124300        7.966400        8.932850        0.249871        23.931650       13.606600       6.878075        0.195783        23.697250       5.729170        25.107300       0.250729        1.825475        0.039427     
538        558877.938    3351732.250    3.564420        9.490311        7.567155        0.197313        7.824610        4.756870        10.535250       0.221094        18.274601       6.087605        7.590520        0.312793        2.685040        0.018163     
724        536816.250    3324579.250    13.000950       9.258240        10.651350       0.193631        14.607349       4.727300        12.644140       0.330721        8.350494        3.829915        8.019810        0.445342        0.532823        0.009004     
972        546786.438    3330519.000    5.510965        19.524151       5.423895        0.178846        5.846325        27.184151       21.196251       0.298802        4.980345        24.011850       8.150180        0.250608        1.607885        0.009666     
1036       559726.500    3344095.500    9.525560        4.510720        8.031390        0.196736        14.257450       10.373050       10.189800       0.204791        9.492815        13.285500       23.533300       0.373416        4.090235        0.023155     
1347       558453.688    3339004.250    5.803795        12.534494       15.196001       0.289015        7.412370        1.330065        7.904520        0.267498        20.683500       14.410151       14.404751       0.198929        2.012860        0.031972     
2049       566090.438    3343247.000    2.267185        8.353080        12.508949       0.169980        16.533100       6.139125        12.641550       0.203622        24.484800       11.008250       17.535301       0.209557        1.579265        0.021938     
2908       554635.312    3329564.500    10.637660       4.079300        8.282736        0.244980        13.267159       12.474450       6.307715        0.211700        8.225281        6.700085        11.028549       0.288548        1.547715        0.009109     
4241       556120.250    3328769.000    1.063860        6.148830        19.103649       0.189656        23.482000       9.477310        4.751745        0.196680        13.260050       3.321865        5.898705        0.209074        0.556132        0.032975     
4822       559302.250    3332428.250    4.241425        5.783255        4.177470        0.180530        12.572750       20.664902       21.695499       0.238212        6.863330        7.422250        10.443155       0.262425        1.106550        0.009022     
