    C2D             x              y 
406        522391.250    3316942.500 
714        528330.938    3316094.000 
1396       536816.250    3316094.000 
2689       543604.438    3318215.250 
2772       551029.062    3325427.750 
2836       553574.688    3328079.500 
6454       546574.312    3315245.500 
6976       556438.438    3325056.500 
8274       542755.938    3310154.250 
9739       560203.812    3328185.500 
11456      554635.312    3319806.250 
12026      557711.250    3323253.500 
18540      556332.375    3319170.000 
18692      557233.938    3319170.000 
29908      556756.625    3314609.000 
48682      554635.312    3305063.250 
51         518997.156    3332216.000 
76         526633.875    3338155.750 
198        527482.438    3330519.000 
271        524936.812    3324579.250 
332        541907.375    3339852.750 
391        547847.125    3344095.500 
538        558877.938    3351732.250 
724        536816.250    3324579.250 
972        546786.438    3330519.000 
1036       559726.500    3344095.500 
1347       558453.688    3339004.250 
2049       566090.438    3343247.000 
2908       554635.312    3329564.500 
4241       556120.250    3328769.000 
4822       559302.250    3332428.250 
