 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
29913      557180.938    3314609.000    3.956005        6.276965        7.101420        0.196227        6.659020        2.198110        14.241600       0.287266        13.403749       12.724331       20.948849       0.206192        1.560805        0.020014     
12125      558453.688    3323677.750    7.428230        3.004100        5.846215        0.203519        9.533350        4.585965        6.984715        0.284344        18.563850       4.511495        5.267675        0.223797        1.906830        0.009631     
18718      557393.062    3319223.000    4.493755        10.339951       1.535930        0.165582        75.504601       3.395475        12.368851       0.194031        7.754190        33.682800       6.906195        0.189492        0.979144        0.009037     
26234      560256.812    3319647.250    12.363450       2.916050        8.617555        0.165288        33.290398       8.330595        5.577745        0.178476        12.190550       4.363625        9.248660        0.312235        1.928385        0.012932     
35614      566302.562    3321450.250    3.005930        4.597750        2.625195        0.198308        13.875900       16.011900       6.119830        0.238701        8.397900        7.183635        15.309950       0.233927        2.075585        0.049337     
9640       559938.625    3326647.500    3.970755        8.878070        1.677985        0.204219        16.543200       21.254250       19.178001       0.323273        6.084395        16.342001       14.975800       0.237205        2.048615        0.009000     
10780      564181.250    3332110.000    7.155990        4.312240        18.887051       0.271780        10.654699       7.532395        10.232600       0.262953        14.420750       7.567570        24.826651       0.291840        0.978531        0.009039     
16203      563385.750    3328079.500    20.474949       15.605150       7.513320        0.122560        11.506950       28.009750       9.405849        0.376781        15.185050       28.563549       14.380850       0.265396        1.292985        0.009793     
16902      566514.750    3330413.000    10.915300       6.008360        1.482125        0.211547        5.168470        16.420799       7.817415        0.373991        4.890200        8.499940        9.551835        0.352735        1.103992        0.021274     
32156      566992.000    3324155.000    7.820275        11.362141       16.823400       0.276737        2.311875        3.485105        4.173195        0.148782        18.509750       18.191349       5.515030        0.276120        1.299355        0.009000     
36319      568901.188    3324897.500    4.069470        23.366951       4.914225        0.167005        43.448551       8.718210        7.397815        0.240416        33.592651       13.400345       4.894620        0.308695        0.677300        0.009590     
36940      572666.562    3328503.750    17.747952       5.835120        5.940050        0.254182        7.121655        14.977700       10.754250       0.234318        14.554500       10.788900       29.885200       0.216476        0.380127        0.028460     
44917      571446.812    3323200.500    12.052151       4.155615        11.879061       0.204729        19.945751       4.868605        25.746380       0.200086        10.695840       7.681070        4.581510        0.235659        1.157087        0.042287     
40649      571605.875    3326170.250    25.039650       4.472220        7.705075        0.188384        27.768299       9.859751        4.619415        0.227310        27.751999       12.854350       7.748665        0.226260        2.485380        0.009254     
45366      573409.000    3325852.000    3.951795        5.386720        4.366525        0.302130        4.787280        7.871140        10.419350       0.352176        11.735300       15.070600       17.251699       0.240089        1.721910        0.009008     
49531      573143.875    3323624.750    10.483800       6.514071        5.461040        0.230628        19.519749       4.630645        3.942025        0.211242        13.756985       22.026699       13.541900       0.258866        0.535083        0.025512     
49663      573674.188    3323306.500    5.798520        2.557205        8.113705        0.179289        4.579220        23.631550       6.654100        0.335342        6.730150        21.122250       5.043160        0.296495        3.128465        0.010453     
53362      574310.562    3323730.750    4.891345        4.332085        9.755455        0.266886        6.480940        7.296800        5.453715        0.331976        18.479750       3.451620        12.729500       0.256878        0.602820        0.016090     
53502      574946.938    3323306.500    2.042025        6.655585        8.645145        0.242498        7.693450        3.604895        16.017700       0.228900        19.412500       11.850000       27.082401       0.256464        1.463570        0.027642     
54306      579136.562    3328185.500    6.638330        20.041000       8.987855        0.190619        44.722599       18.828550       18.399250       0.287188        30.702499       20.578949       9.917700        0.277758        1.327920        0.028136     
57401      577121.312    3324526.250    18.602400       6.317205        14.991450       0.220684        6.532605        3.906250        15.229799       0.236448        5.474545        5.421175        6.068435        0.283706        1.372940        0.022274     
60520      575901.562    3320654.750    3.458915        4.590045        2.628580        0.236342        19.695801       31.288200       8.311470        0.348258        7.858985        6.942175        5.314310        0.299438        1.585805        0.011899     
61897      583167.062    3328609.750    10.428420       6.225055        12.743401       0.193339        21.549950       29.652149       10.529184       0.248433        7.292505        11.121450       7.721515        0.204926        1.315484        0.009000     
63810      576591.000    3320495.750    2.761565        24.450399       4.182015        0.219975        12.906300       9.728070        4.749335        0.302729        8.571825        19.108900       8.662495        0.287005        0.953714        0.009341     
64632      581470.000    3325693.000    9.693815        2.202610        3.831425        0.156978        13.260150       40.637199       6.060445        0.266053        9.347350        11.421966       10.336370       0.260777        0.465097        0.009990     
66755      573939.312    3316518.250    11.692900       3.688370        1.609925        0.282552        6.878475        4.425685        16.178249       0.180087        9.625280        9.428625        5.671475        0.274629        1.476205        0.009479     
67046      576378.875    3318056.250    8.320620        2.540130        9.810775        0.211041        29.463551       7.806190        18.921501       0.297593        6.296635        9.441015        9.347870        0.233433        0.720417        0.011529     
67278      576909.188    3318798.750    6.018020        3.941240        19.937250       0.183008        3.928225        10.467501       5.597390        0.307350        22.235352       3.540395        7.678565        0.277942        0.529086        0.012678     
67371      577015.250    3319223.000    2.553520        4.280455        3.939665        0.201316        5.649310        9.301476        8.787655        0.228916        21.085501       23.703651       8.809680        0.266244        0.214538        0.009000     
67616      578606.250    3320867.000    5.265930        16.545849       5.249040        0.181288        19.236200       11.419400       11.635450       0.360031        13.920700       17.050949       12.488950       0.136461        3.057345        0.009001     
