 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
79513      591016.000    3327337.000    29.124950       5.000000        6.455195        0.227114        14.136050       4.055275        11.295450       0.213966        31.242950       1.769285        6.071670        0.343735        16.392750       8.268900        22.952499       0.341275        0.415961        0.021202     
81891      585182.312    3320920.000    35.423149       5.353280        11.247999       0.268440        7.789060        5.581950        9.267260        0.249480        21.953165       3.379155        3.877480        0.298463        17.883701       2.048695        20.942350       0.212901        4.792190        0.014041     
82670      588470.375    3323518.750    43.200100       5.000000        11.703825       0.260605        17.318199       4.245870        14.236350       0.250475        22.429501       3.370210        9.838890        0.284887        29.499550       3.241335        17.432800       0.257949        0.606351        0.052639     
86186      586455.125    3320708.000    21.456650       5.000000        7.383765        0.246711        7.369175        4.034785        1.810055        0.202005        14.270600       6.479865        16.539848       0.258880        12.618185       3.033685        3.863800        0.209024        0.446801        0.009000     
86204      586508.188    3320230.500    25.697849       9.146935        17.365999       0.198279        6.903520        6.743220        2.908115        0.215342        17.594749       2.583390        5.525910        0.239296        5.972290        13.862950       12.600651       0.274657        1.465985        0.030721     
86916      592394.812    3326382.500    19.054600       5.168485        6.383845        0.199457        10.975400       2.170245        19.913700       0.222879        6.652210        19.805700       20.543701       0.261954        12.505100       14.021851       9.293525        0.260944        0.607411        0.069561     
90175      587356.688    3319594.250    47.714447       5.008490        26.733551       0.259750        24.057800       2.674660        6.542115        0.231375        35.044250       17.941399       6.467465        0.201438        22.902248       1.634205        12.892000       0.233912        1.982260        0.009000     
90554      588788.562    3319753.250    51.846451       10.981400       15.564600       0.300300        26.005699       1.389050        8.789314        0.173739        6.928610        2.776685        13.548600       0.256440        21.893600       6.162240        5.445910        0.258099        1.180845        0.025001     
90889      592925.188    3323890.000    27.702999       8.794400        12.489800       0.314281        19.081600       6.319210        13.472151       0.232146        27.339649       3.729790        8.816905        0.202544        39.373001       3.014300        19.770451       0.251162        1.385650        0.019453     
91074      593720.625    3325321.750    24.349449       9.109325        6.183155        0.187700        6.567290        4.853815        12.158055       0.137215        4.783745        3.910325        13.841801       0.256320        8.502135        4.550135        8.387475        0.292809        0.888159        0.020219     
93297      586932.438    3317473.000    33.304398       5.653115        9.309690        0.287674        5.812715        1.691070        17.492199       0.259541        14.966950       11.708300       10.334070       0.317616        29.411100       8.533686        7.228420        0.238088        1.446040        0.019393     
94043      590591.688    3319912.500    13.667200       7.056965        5.769070        0.206526        7.577410        2.244250        8.860060        0.168537        5.004490        4.015640        5.883070        0.185407        7.538895        3.445370        2.485060        0.211127        0.266442        0.041033     
94713      594622.188    3324632.250    55.934700       11.430490       5.321820        0.244545        22.100750       3.533035        4.875560        0.191311        5.620555        16.064400       24.549500       0.281671        15.402250       3.525440        20.874451       0.357242        0.791559        0.009003     
96790      588788.562    3317950.250    29.775600       5.000485        7.473375        0.215560        5.291440        5.562130        16.637800       0.151957        7.266820        7.034910        2.542225        0.269036        17.250801       3.029585        7.789290        0.250555        3.116290        0.032186     
97374      592925.188    3320973.000    8.195435        7.210865        18.692249       0.197443        8.428440        3.559930        3.981395        0.218069        28.624550       7.947655        16.781750       0.258444        9.711350        1.979170        6.753155        0.157766        1.037805        0.009000     
100677     594197.938    3321609.500    18.768200       5.000000        15.557131       0.171782        6.173930        1.162065        1.724812        0.156140        21.612598       8.834145        7.566385        0.356562        9.269529        9.774019        13.149099       0.220140        0.810272        0.009000     
102353     590273.500    3314715.250    24.519199       5.012545        8.989975        0.331462        13.954950       2.786385        2.594425        0.169333        18.064751       7.119870        3.243920        0.197150        21.764450       10.191401       5.396330        0.224814        0.626932        0.034098     
102581     591281.125    3316942.500    11.989050       6.292560        8.560900        0.333554        11.829450       7.180985        9.619835        0.189983        6.112410        4.765030        17.360939       0.247312        7.954095        7.782140        10.877145       0.335211        1.109209        0.009000     
102956     593031.250    3318056.250    31.872049       5.040825        12.426240       0.320101        23.442699       1.374025        6.098905        0.281684        6.064720        4.729065        7.694065        0.310916        23.004150       4.517965        14.888050       0.306445        1.276575        0.009000     
103320     594304.000    3318957.750    19.337349       5.000000        9.235875        0.256761        10.185500       10.223036       1.600200        0.194189        10.449600       7.530655        12.185684       0.224707        21.358150       1.963660        10.490700       0.259221        0.232790        0.016110     
103440     595364.688    3319859.250    42.776649       5.002320        8.428775        0.193102        4.124175        3.162350        2.371740        0.170379        20.398251       4.993415        12.905900       0.221837        12.305550       1.464790        4.574925        0.180307        0.816947        0.013017     
103598     597167.812    3321821.500    8.785015        5.000000        7.988215        0.194425        10.144850       1.845440        4.173850        0.222580        9.783030        4.101390        4.927645        0.316927        19.645050       2.268655        13.770000       0.217866        0.941009        0.009986     
103743     598758.812    3323200.500    28.293900       6.482140        13.136650       0.261562        7.947330        4.170710        10.187469       0.168727        40.286148       9.817394        20.199699       0.211436        21.982349       7.273245        8.658445        0.257767        0.416977        0.014293     
106103     594357.062    3317791.000    40.236752       8.644090        15.052200       0.411070        19.948399       3.138020        1.929026        0.196409        9.959459        1.633175        13.403200       0.221098        6.007510        5.027060        5.139025        0.269672        1.348160        0.009000     
106281     595046.500    3317526.000    20.728750       7.626560        5.755585        0.278996        3.729385        4.220515        6.802165        0.166120        11.828830       15.443335       6.286685        0.252357        50.000000       3.034400        14.339450       0.196755        0.333521        0.009387     
106611     595948.062    3319382.000    38.551949       7.444995        8.293116        0.224393        12.188400       1.004925        8.933704        0.170145        11.340450       3.486735        8.407580        0.232332        35.956802       5.430220        12.057500       0.278374        0.333977        0.009000     
110534     596478.375    3318851.750    14.596050       5.000000        8.889910        0.245962        27.875198       4.201105        10.437984       0.172188        18.531065       4.601165        6.620020        0.179037        29.742599       3.230780        26.641701       0.229493        1.062258        0.034677     
111537     600349.750    3322458.000    49.630550       5.184740        12.437349       0.293484        14.300449       1.358195        0.964074        0.170922        37.884102       9.760255        10.699530       0.261679        17.548800       1.690695        20.034901       0.263229        1.101234        0.011969     
66742      573515.062    3315669.750    16.579651       10.542920       15.631300       0.290873        7.336505        1.794275        9.047035        0.205747        6.808351        3.368980        7.129810        0.304878        18.921900       4.668390        4.157410        0.352065        1.403190        0.009169     
70844      576591.000    3317419.750    20.640650       11.519100       6.226390        0.385275        6.364560        2.536730        4.772160        0.210939        8.620945        4.308860        12.622601       0.292539        14.290950       2.811945        8.691460        0.168432        0.774442        0.022100     
71473      579030.500    3318533.500    82.003296       5.146380        8.677170        0.277522        2.539990        2.564695        12.764450       0.182304        17.601400       2.933170        6.417900        0.308867        8.401740        2.813465        6.726535        0.241357        0.567110        0.061062     
74395      577174.375    3315882.000    42.773499       7.178585        9.536865        0.390159        7.743675        2.937720        3.963810        0.240501        45.001503       14.236650       8.490100        0.149050        10.077200       1.589420        17.982101       0.219508        1.104800        0.009003     
77698      578500.188    3315086.500    30.898750       5.043585        8.663865        0.230184        10.144856       1.328690        3.289830        0.234434        27.954552       4.791455        8.365325        0.306241        15.948200       6.556030        15.153400       0.241998        1.901105        0.017517     
78109      581682.188    3318639.500    23.279202       5.000000        11.548650       0.276486        19.783501       4.574740        3.960200        0.187017        3.114990        10.217899       3.961905        0.260936        11.604300       2.392295        20.008551       0.199135        2.360130        0.020663     
80479      576272.812    3312063.500    33.998299       5.010330        5.149275        0.345969        6.371950        1.685895        18.207100       0.240150        10.968300       5.220430        5.551690        0.302781        11.555750       7.689565        7.794280        0.276778        1.324020        0.015599     
80756      579348.688    3314131.750    21.640049       5.256610        15.384800       0.218281        11.863795       3.530640        3.717040        0.239909        5.706105        37.506802       9.278905        0.357490        39.266899       4.385190        10.148350       0.216643        1.106125        0.013344     
81095      580515.438    3315988.000    30.272900       5.013590        10.656000       0.266665        12.609115       2.119555        11.546350       0.205678        16.506599       2.522120        10.732876       0.245381        7.582525        3.437825        29.913300       0.216213        1.837780        0.042465     
84405      580780.625    3313548.500    7.961045        9.497675        7.848670        0.242130        6.828240        3.007355        15.318700       0.248278        9.769230        9.810135        11.389050       0.206348        13.389200       13.963350       10.612950       0.214872        1.520825        0.009234     
85620      584599.000    3317260.750    41.508903       15.791320       11.475000       0.224854        9.527349        4.850960        9.702565        0.253550        36.390053       4.433645        9.037840        0.200674        8.739330        8.271730        14.078635       0.258504        0.243143        0.009000     
92632      583697.438    3313230.250    6.911585        18.227800       8.395041        0.328303        12.132650       2.651860        19.351002       0.222217        14.578850       12.547600       7.079685        0.308250        6.903720        2.114350        6.914975        0.190237        0.824333        0.037725     
96140      580727.562    3309730.000    40.754250       13.259750       9.546770        0.297630        13.176001       1.436025        4.339895        0.246893        10.290850       1.611710        8.728636        0.288468        15.884750       5.561525        20.687750       0.288446        1.180770        0.009000     
99295      579242.625    3305487.500    44.775902       5.000000        10.720449       0.235990        17.450050       1.795275        20.000000       0.215525        8.146030        12.011800       14.765409       0.311655        8.479685        3.779190        10.318649       0.318557        1.423965        0.012569     
