    C2D             x              y 
113206     615305.062    3336458.750 
113209     615729.375    3336883.000 
113210     616153.625    3337307.250 
113212     616577.875    3338580.000 
113213     616577.875    3337731.500 
113214     617002.125    3338155.750 
116176     613183.750    3332852.500 
116178     613395.875    3332640.250 
116179     613395.875    3333064.500 
116180     613608.062    3333276.750 
116181     613608.062    3332852.500 
116182     613820.188    3333064.500 
116185     613608.062    3333701.000 
116186     613820.188    3333913.000 
116187     614032.312    3334337.500 
116188     614032.312    3333488.750 
116189     614456.562    3333913.000 
116190     614456.562    3334761.750 
116191     614880.812    3335186.000 
116192     614880.812    3334337.500 
116193     615305.062    3334761.750 
116194     615305.062    3335610.250 
116195     615729.375    3336034.500 
116196     615729.375    3335186.000 
116197     616153.625    3335610.250 
116198     616153.625    3336458.750 
116199     616577.875    3336883.000 
116200     616577.875    3336034.500 
116201     617002.125    3336458.750 
116202     617002.125    3337307.250 
116203     617426.438    3337731.500 
116204     617426.438    3336883.000 
116205     617850.688    3337307.250 
118470     611804.938    3329246.250 
118481     611911.000    3329352.250 
118482     612017.062    3329458.250 
118483     612017.062    3329670.500 
118484     612123.125    3329776.500 
118485     612123.125    3329564.500 
118486     612229.188    3329670.500 
118509     612123.125    3329988.750 
118510     612229.188    3330094.750 
118512     612335.250    3330413.000 
118513     612335.250    3330200.750 
118514     612441.312    3330306.750 
118515     612229.188    3329882.500 
118516     612335.250    3329988.750 
118517     612335.250    3329776.500 
118518     612441.312    3329882.500 
118519     612441.312    3330094.750 
118520     612547.375    3330200.750 
118521     612547.375    3329988.750 
118522     612653.438    3330094.750 
118523     612547.375    3330519.000 
118524     612759.500    3330731.250 
118525     612759.500    3330306.750 
118526     612971.625    3330519.000 
118529     612759.500    3331155.500 
118530     612971.625    3331367.500 
118531     612971.625    3331791.750 
118532     613183.750    3332004.000 
118533     613183.750    3331579.750 
118534     613395.875    3331791.750 
118535     612971.625    3330943.250 
118536     613183.750    3331155.500 
118537     613183.750    3330731.250 
118538     613395.875    3330943.250 
118539     613395.875    3331367.500 
118540     613608.062    3331579.750 
118541     613608.062    3331155.500 
118542     613820.188    3331367.500 
118543     613395.875    3332216.000 
118544     613608.062    3332428.250 
118545     613608.062    3332004.000 
118546     613820.188    3332216.000 
118547     613820.188    3332640.250 
118548     614032.312    3332852.500 
118549     614032.312    3332428.250 
118550     614244.438    3332640.250 
118551     613820.188    3331791.750 
118552     614032.312    3332004.000 
118553     614032.312    3331579.750 
118554     614244.438    3331791.750 
118555     614244.438    3332216.000 
118556     614456.562    3332428.250 
118557     614456.562    3332004.000 
118558     614668.688    3332216.000 
118559     614456.562    3333064.500 
118560     614880.812    3333488.750 
118561     614880.812    3332640.250 
118562     615305.062    3333064.500 
118563     615305.062    3333913.000 
118564     615729.375    3334337.500 
118565     615729.375    3333488.750 
118566     616153.625    3333913.000 
118567     616153.625    3334761.750 
118568     616577.875    3335186.000 
118569     616577.875    3334337.500 
118570     617002.125    3334761.750 
118571     617002.125    3335610.250 
118572     617426.438    3336034.500 
118573     617426.438    3335186.000 
118574     617850.688    3335610.250 
118575     617850.688    3336458.750 
118576     618274.938    3336883.000 
118577     618274.938    3336034.500 
118578     618699.188    3336458.750 
120050     610850.312    3326806.750 
120051     610850.312    3326594.500 
120052     610956.375    3326700.750 
120056     610956.375    3327125.000 
120059     611062.438    3327231.000 
120060     611168.500    3327337.000 
120061     610956.375    3326912.750 
120062     611062.438    3327018.750 
120063     611062.438    3326806.750 
120064     611168.500    3326912.750 
120065     611168.500    3327125.000 
120066     611274.562    3327231.000 
120067     611274.562    3327018.750 
120068     611380.625    3327125.000 
120083     611274.562    3327867.250 
120084     611380.625    3327973.500 
120092     611592.750    3328609.750 
120093     611380.625    3328185.500 
120094     611486.688    3328291.500 
120095     611486.688    3328079.500 
120096     611592.750    3328185.500 
