 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
86915      592394.812    3326594.500    47.074623       13.574175       12.181854       0.150000        24.685139       1.209960        14.030000       0.150000        56.299999       4.630820        17.532400       0.150000        17.051975       12.269900       17.079426       0.150000        0.032715        2.775450        0.121043        0.028011        0.104801     
87165      594569.188    3327867.250    50.756050       6.000000        6.799722        0.150000        3.586660        3.976420        2.022760        0.268283        21.062200       15.562775       9.983490        0.150000        13.856700       18.232599       12.125575       0.150000        0.063693        0.746148        0.938086        0.023084        0.012197     
91117      593773.688    3325374.750    32.703175       6.294810        6.423606        0.324153        22.804201       6.988385        14.030000       0.150000        16.640850       11.649000       13.920800       0.150000        17.612675       1.865900        10.386095       0.150000        0.029652        1.154436        0.082928        0.012028        0.013073     
83301      594834.375    3330306.750    40.049700       7.764360        6.251813        0.206658        21.299999       1.400712        3.388565        0.150000        21.908875       6.842237        9.987781        0.150000        20.698725       2.685860        10.968000       0.150000        0.084765        0.719920        0.169289        0.012401        0.010800     
87666      596107.125    3329405.250    55.538998       12.128400       11.288025       0.150000        21.678600       2.033370        8.060300        0.150000        56.299999       11.681499       40.371178       0.318339        27.263474       4.830890        9.271730        0.150000        0.086317        1.570210        0.111879        0.012000        0.012705     
88240      600455.875    3333276.750    85.487000       6.157794        6.965832        0.150000        12.120175       4.007080        2.310810        0.150000        45.032900       22.636700       3.300270        0.150000        26.180800       15.753725       24.955400       0.150000        0.024024        1.787260        0.055083        0.012918        0.011236     
92354      598970.938    3331261.500    14.431775       9.358357        6.120774        0.150000        8.463096        6.317772        2.063490        0.150000        25.831900       2.381600        4.191040        0.150000        7.732970        9.838910        18.796000       0.210914        0.026826        0.232807        0.078548        0.035023        0.036086     
94729      594834.375    3324844.500    141.500000      6.001302        7.123134        0.150000        11.489600       3.134055        8.842987        0.176538        15.889174       25.398975       19.482475       0.150000        35.299999       8.884146        24.779518       0.150000        0.062464        1.280805        0.370950        0.012161        0.016252     
98674      598334.500    3327496.000    43.304600       6.000000        29.188299       0.150000        3.738650        8.632217        4.066265        0.150000        10.720275       9.436990        8.338255        0.207804        12.669500       22.203300       29.526525       0.150000        0.031236        0.450146        0.138626        0.013386        0.012444     
101232     597910.250    3323836.750    54.027374       8.300490        11.774600       0.263672        12.556625       2.809810        10.922319       0.150000        1.928100        30.093376       35.240002       0.150000        5.137370        3.510560        6.881642        0.150000        0.028889        1.362247        0.056448        0.012010        0.011642     
104414     601834.688    3326329.500    38.198925       6.272382        10.943080       0.366729        3.321830        6.415672        6.541052        0.150000        8.078547        27.749199       12.506075       0.150000        31.055347       2.142800        11.429800       0.150000        0.025359        2.280440        0.054590        0.022212        0.016771     
104455     601834.688    3326700.750    51.988728       14.083450       28.119926       0.150000        7.051533        3.839250        14.030000       0.150000        17.460300       21.001051       11.328951       0.150000        33.822449       5.111350        5.495440        0.260162        0.027013        0.336095        0.063324        0.086324        0.186234     
107418     600880.125    3324314.250    48.725498       6.000000        11.293300       0.150000        11.030550       9.156370        14.030000       0.150000        11.615900       9.735265        11.822701       0.150000        12.073900       22.522024       21.299999       0.150000        0.024134        0.811687        0.056143        0.031516        0.010800     
111612     600774.062    3322882.250    141.500000      15.863200       6.243876        0.150000        5.947585        7.658450        3.833845        0.150000        7.306075        7.065170        6.897220        0.263324        23.726800       6.888060        7.211300        0.150000        0.024002        0.505670        0.034469        0.032759        0.010839     
112758     605971.250    3327602.250    25.743800       6.000000        16.349200       0.150000        7.394120        3.548648        14.030000       0.150000        10.371858       18.855202       5.303230        0.150000        16.400200       9.626218        12.217400       0.150000        0.034487        1.340255        0.080606        0.012011        0.012896     
115003     602152.875    3322352.000    10.830900       6.000000        22.721600       0.150000        6.094700        6.551817        8.381372        0.150000        19.680824       11.991600       5.660105        0.150000        48.480700       8.168850        17.095675       0.150000        0.121997        1.618613        0.052069        0.024260        0.015690     
117757     603531.750    3322033.750    78.369049       6.000000        6.049190        0.150000        8.409183        4.810340        10.734200       0.161944        18.368500       4.310350        9.282520        0.150000        6.118160        2.930880        21.299999       0.150000        0.105643        0.250097        0.062566        0.012941        0.035703     
84032      604274.250    3339004.250    31.691900       7.678884        10.145147       0.150000        6.396810        4.882220        6.574772        0.182041        15.185250       5.359350        18.543726       0.222751        8.748540        5.739532        14.669100       0.184663        0.027380        2.470027        0.081448        0.012078        0.010873     
99251      605122.750    3333064.500    16.340800       6.004140        10.184625       0.150000        12.422025       5.811920        7.211537        0.150000        57.307198       11.500387       8.352245        0.150000        10.802628       2.259910        5.907990        0.150000        0.042554        0.183660        0.284954        0.037181        0.015514     
99263      607668.312    3335610.250    71.161354       6.000000        7.374220        0.150000        7.849460        2.828240        9.052665        0.150000        18.972349       2.876380        10.243400       0.150000        20.128174       9.592163        12.111000       0.150000        0.502143        0.925607        0.571096        0.012000        0.010875     
