 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
29913      557180.938    3314609.000    4.750850        4.583260        10.927999       0.196829        5.898560        5.726522        18.070000       0.150000        13.371800       22.724575       24.738426       0.150000        1.871778        0.024017     
12125      558453.688    3323677.750    10.461238       7.155357        9.606450        0.150000        14.537849       4.354950        10.416651       0.150000        19.241650       7.906113        5.529780        0.150000        7.030000        0.011558     
18718      557393.062    3319223.000    4.894853        10.782150       1.807240        0.150000        79.426949       4.235480        14.421150       0.150000        8.035510        37.947075       13.106800       0.150000        0.981191        0.010845     
26234      560256.812    3319647.250    13.369274       3.459000        9.041063        0.167224        56.299999       8.207280        7.190583        0.180775        35.299999       6.544120        11.604725       0.290546        2.769962        0.015519     
35614      566302.562    3321450.250    5.697242        21.299999       2.556140        0.150000        23.909149       19.507626       5.926320        0.150000        8.050640        8.702152        15.712725       0.234076        1.922430        0.059205     
9640       559938.625    3326647.500    4.121590        8.898660        1.915140        0.150000        11.199500       30.061275       30.236650       0.150000        5.982140        35.299999       13.824500       0.150000        2.184130        0.010800     
10780      564181.250    3332110.000    7.639293        4.339240        20.000000       0.150000        11.189400       7.412670        10.264400       0.150000        14.778825       7.567570        26.331425       0.150000        0.984276        0.010847     
16203      563385.750    3328079.500    21.339149       16.206974       7.525425        0.150000        12.561300       31.688026       7.486220        0.150000        16.022400       35.299999       21.299999       0.150000        1.507535        0.011751     
16902      566514.750    3330413.000    11.736525       10.665951       3.619195        0.210304        5.833650        19.242426       7.314070        0.150000        6.684020        8.187020        10.186425       0.150000        1.913067        0.025528     
32156      566992.000    3324155.000    8.429757        21.299999       19.716724       0.150000        2.923680        3.426920        5.701085        0.158816        17.659000       19.458025       6.372683        0.150000        1.058770        0.010800     
36319      568901.188    3324897.500    6.405675        28.040340       5.939902        0.150000        56.299999       7.972770        7.182830        0.237529        40.311180       32.739273       3.368840        0.150000        0.684367        0.011508     
36940      572666.562    3328503.750    17.223200       7.831858        6.917277        0.150000        12.005625       16.886351       9.327980        0.150000        16.786526       10.676300       30.000000       0.150000        0.917843        0.034152     
44917      571446.812    3323200.500    15.079650       4.257520        14.254873       0.187729        20.558376       9.433175        35.240002       0.150000        35.299999       14.044050       4.638750        0.246652        1.224190        0.050744     
40649      571605.875    3326170.250    29.987850       4.485180        9.105690        0.150000        35.630249       24.707651       4.391110        0.150000        30.902225       12.897275       15.279449       0.150000        4.125795        0.011105     
45366      573409.000    3325852.000    5.542152        5.900780        4.395470        0.306967        4.492770        10.308800       12.844800       0.150000        13.452675       15.552400       21.299999       0.239979        2.040855        0.010810     
49531      573143.875    3323624.750    11.464451       9.043180        5.052840        0.229417        21.933125       4.753650        7.166042        0.150000        19.240326       27.476051       13.898500       0.150000        1.160990        0.030614     
49663      573674.188    3323306.500    7.228252        2.901657        8.731293        0.150000        5.533440        23.988300       8.093010        0.150000        12.367545       26.812376       5.378985        0.150000        3.475650        0.012543     
53362      574310.562    3323730.750    4.883310        8.723085        10.017282       0.150000        8.661242        8.125740        5.904135        0.150000        19.845249       3.104460        16.282625       0.150000        0.872861        0.019308     
53502      574946.938    3323306.500    1.901200        11.466275       8.479640        0.150000        8.055733        3.561470        18.236326       0.150000        22.882225       11.230200       30.000000       0.259829        2.665537        0.033171     
