    C2D             x              y 
79513      591016.000    3327337.000 
81891      585182.312    3320920.000 
82670      588470.375    3323518.750 
86186      586455.125    3320708.000 
86204      586508.188    3320230.500 
86916      592394.812    3326382.500 
90175      587356.688    3319594.250 
90554      588788.562    3319753.250 
90889      592925.188    3323890.000 
91074      593720.625    3325321.750 
93297      586932.438    3317473.000 
94043      590591.688    3319912.500 
94713      594622.188    3324632.250 
96790      588788.562    3317950.250 
97374      592925.188    3320973.000 
100677     594197.938    3321609.500 
102353     590273.500    3314715.250 
102581     591281.125    3316942.500 
102956     593031.250    3318056.250 
103320     594304.000    3318957.750 
103440     595364.688    3319859.250 
103598     597167.812    3321821.500 
103743     598758.812    3323200.500 
106103     594357.062    3317791.000 
106281     595046.500    3317526.000 
106611     595948.062    3319382.000 
110534     596478.375    3318851.750 
111537     600349.750    3322458.000 
66742      573515.062    3315669.750 
70844      576591.000    3317419.750 
71473      579030.500    3318533.500 
74395      577174.375    3315882.000 
77698      578500.188    3315086.500 
78109      581682.188    3318639.500 
80479      576272.812    3312063.500 
80756      579348.688    3314131.750 
81095      580515.438    3315988.000 
84405      580780.625    3313548.500 
85620      584599.000    3317260.750 
92632      583697.438    3313230.250 
96140      580727.562    3309730.000 
99295      579242.625    3305487.500 
