obsnme                             value 
l_nrmse                   5.81158505E-02 
g_4595                    5.73334752E-01 
g_7817                    2.05646481E-01 
g_55200                   8.33898558E-01 
g_58700                   6.58991372E-01 
g_58810                   6.63722441E-01 
g_58813                   3.20389670E-01 
g_58827                   6.57022324E-01 
g_70500                   3.57235802E-01 
g_70890                   9.12666044E-02 
g_70950                   5.21631566E-01 
g_70990                   6.45586290E-01 
g_71000                   6.18479165E-01 
g_71290                   6.72162666E-01 
g_71300                   5.71387868E-01 
g_71350                   5.07982813E-01 
g_71400                   3.03246985E-01 
wp_bp_0001_20150113       3.97464966E+02 
wp_bp_0001_20150218       3.96336564E+02 
wp_bp_0001_20150318       3.95983069E+02 
wp_bp_0001_20150415       3.95781770E+02 
wp_bp_0001_20150524       3.95932877E+02 
wp_bp_0001_20150610       3.96318337E+02 
wp_bp_0001_20150712       3.96666322E+02 
wp_bp_0001_20150819       3.96102116E+02 
wp_bp_0001_20150915       3.95509372E+02 
wp_bp_0001_20151014       3.95026825E+02 
wp_bp_0001_20151118       3.95711421E+02 
wp_bp_0001_20151215       3.96327747E+02 
wp_bp_0001_20160118       3.96497365E+02 
wp_bp_0001_20160216       3.96052862E+02 
wp_bp_0001_20160323       3.95751095E+02 
wp_bp_0001_20160422       3.95967904E+02 
wp_bp_0001_20160517       3.96333512E+02 
wp_bp_0001_20160614       3.96575820E+02 
wp_bp_0001_20160721       3.96287674E+02 
wp_bp_0001_20160817       3.95656726E+02 
wp_bp_0001_20160912       3.95505262E+02 
wp_bp_0001_20161026       3.95126971E+02 
wp_bp_0001_20161123       3.95053525E+02 
wp_bp_0001_20161222       3.95535766E+02 
wp_bp_0001_20170110       3.95543013E+02 
wp_bp_0001_20170208       3.95453868E+02 
wp_bp_0001_20170317       3.95430437E+02 
wp_bp_0001_20170417       3.95163614E+02 
wp_bp_0001_20170512       3.94957251E+02 
wp_bp_0001_20170613       3.94474585E+02 
wp_bp_0001_20170711       3.94127372E+02 
wp_bp_0001_20170816       3.93733463E+02 
wp_bp_0001_20170915       3.93504637E+02 
wp_bp_0001_20171017       3.93472428E+02 
wp_bp_0001_20171114       3.93306480E+02 
wp_bp_0001_20171218       3.92973115E+02 
wp_bp_0001_20180112       3.92853320E+02 
wp_bp_0001_20180216       3.92578827E+02 
wp_bp_0001_20180313       3.92385265E+02 
wp_bp_0001_20180418       3.92131017E+02 
wp_bp_0001_20180515       3.91953417E+02 
wp_bp_0001_20180618       3.91742152E+02 
wp_bp_0001_20181014       3.92956760E+02 
wp_bp_0001_20181109       3.94340600E+02 
wp_bp_0001_20181221       3.94831678E+02 
wp_bp_0001_20190220       3.95388405E+02 
wp_bp_0001_20190319       3.94896875E+02 
wp_bp_0001_20190409       3.94400255E+02 
wp_bp_0001_20190506       3.94179165E+02 
wp_bp_0001_20190606       3.95383372E+02 
wp_bp_0001_20190711       3.95310898E+02 
wp_bp_0001_20190814       3.94550378E+02 
wp_bp_0001_20190911       3.93921602E+02 
wp_bp_0001_20191015       3.93334809E+02 
wp_bp_0001_20191120       3.92845161E+02 
wp_bp_0001_20191218       3.92522190E+02 
wp_bp_0001_20200114       3.92243746E+02 
wp_bp_0001_20200219       3.91934690E+02 
wp_bp_0001_20200317       3.92166520E+02 
wp_bp_0001_20200429       3.92731094E+02 
wp_bp_0001_20200520       3.92566517E+02 
wp_bp_0001_20200622       3.94213560E+02 
wp_bp_0001_20200709       3.94348286E+02 
wp_bp_0001_20200811       3.93507895E+02 
wp_bp_0001_20200924       3.92837169E+02 
wp_bp_0001_20201026       3.92753968E+02 
wp_bp_0001_20201124       3.92213007E+02 
wp_bp_0001_20210118       3.91471558E+02 
wp_bp_0001_20210225       3.91079411E+02 
wp_bp_0001_20210324       3.90841312E+02 
