    C2D             x              y 
127024     608092.625    3315882.000 
131141     601092.250    3304214.750 
131484     603266.625    3306442.000 
131997     604857.562    3307927.000 
132586     606607.688    3309465.000 
132964     608516.875    3312169.500 
133035     611062.438    3313336.250 
133124     593667.625    3294880.750 
133600     603956.000    3305540.500 
136380     609365.375    3309093.750 
136918     605494.000    3303684.250 
138542     608251.688    3303684.250 
138921     593667.625    3288092.500 
138942     601728.625    3295729.250 
140035     606819.812    3299759.750 
140817     614880.812    3308033.000 
142596     613608.000    3302729.750 
142743     603849.938    3291062.500 
116190     614456.562    3334761.750 
122664     612547.375    3325003.500 
122750     616577.875    3329246.250 
130988     610001.812    3314821.250 
131015     611486.688    3315669.750 
136497     625063.188    3324155.000 
141751     625487.438    3316942.500 
