    C2D             x              y 
104965     580939.688    3304214.750 
105058     588152.188    3311215.000 
109042     588788.562    3310578.500 
109656     593720.625    3315033.250 
110367     596213.188    3317950.250 
114520     599766.438    3320336.750 
115002     602046.812    3322245.750 
117754     603425.688    3321927.750 
118800     595470.750    3312700.000 
119784     605547.000    3321397.250 
120490     599607.312    3314184.750 
121189     606819.812    3321397.250 
121632     594304.000    3306760.250 
122570     606395.562    3320124.500 
122895     598970.938    3310154.250 
123319     604751.500    3316306.250 
123940     608941.125    3320761.000 
124274     602577.188    3312806.000 
125414     608092.625    3318003.250 
125521     590273.500    3298275.000 
127021     607880.438    3315775.750 
127160     597486.000    3303366.000 
128812     608092.625    3314291.000 
129037     601622.562    3306336.000 
129801     604327.250    3308563.250 
130429     606342.500    3311427.000 
130941     608304.750    3312806.000 
