 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
34677      590273.500    3347277.500    11.917675       3.762700        9.218042        0.200000        16.173900       9.786066        9.351480        0.198247        39.138331       2.804490        8.974778        0.200000        1.133774        0.022290        0.011000        0.012569     
48643      593667.625    3346429.000    9.143139        3.669171        3.376134        0.200000        10.470475       5.766980        7.643130        0.200000        25.735056       5.157982        17.269054       0.200000        1.018898        0.053724        0.012071        0.010225     
48663      596213.188    3348762.250    3.957360        2.821893        19.873556       0.200000        30.070444       12.820394       9.369760        0.197659        25.202100       11.659600       7.626276        0.200000        1.771211        0.089647        0.026484        0.058690     
59898      595152.562    3341549.750    9.806310        4.701413        2.280377        0.200000        8.253387        5.466676        20.962786       0.200000        2.842280        17.595800       19.117674       0.200000        0.978154        0.060941        0.262877        0.054869     
1650       571605.875    3350883.750    10.068600       6.406216        9.082782        0.197813        12.670418       3.143450        11.214500       0.200000        29.848047       11.215952       9.015770        0.236636        2.172118        1.267599        0.060468        0.015902     
2628       567787.500    3343247.000    12.442581       3.114766        10.800243       0.200000        17.706075       8.405500        11.068783       0.200000        41.470276       3.639720        8.370219        0.161039        1.025061        0.059240        0.028281        0.027716     
6424       582636.750    3353429.250    10.353071       5.910363        2.369752        0.139633        30.391102       22.578718       11.592396       0.200000        19.049200       2.632970        11.230164       0.313528        1.075600        0.047701        0.011000        0.009900     
6427       585182.312    3355974.750    16.211300       4.223471        2.285820        0.200000        27.979694       2.453320        19.027800       0.173599        30.126274       7.458905        19.707920       0.200000        2.824136        0.270500        0.011000        0.009900     
8137       568211.750    3336670.750    16.034400       3.281800        17.351500       0.200000        7.712206        5.919540        4.046554        0.200000        13.200130       4.810300        12.556384       0.252144        3.213070        0.234131        0.028199        0.027904     
10866      566939.000    3334231.250    14.955469       2.765383        2.583570        0.200000        66.154775       1.449800        29.574512       0.200000        13.993270       4.039370        12.725112       0.200000        1.409039        0.158981        0.041169        0.124347     
11190      580515.438    3348338.000    19.677256       2.857180        18.217893       0.200000        3.123170        18.812138       25.058158       0.200000        12.023624       4.561670        20.069354       0.218909        1.424042        0.175243        0.011261        0.046303     
14556      574681.812    3340701.250    11.520384       1.119079        6.810984        0.200000        48.082449       3.983330        9.252190        0.200000        33.671800       6.032594        14.936141       0.172361        0.716576        0.511552        0.020032        0.038170     
14695      580091.188    3346216.750    18.976569       2.662253        11.617195       0.200000        17.899500       17.245088       28.093319       0.200000        2.371930        4.930499        5.736767        0.194849        5.558669        0.093739        0.037571        0.010052     
18059      575954.625    3340701.250    8.242388        3.853853        0.859430        0.200000        53.835923       5.238209        6.196530        0.200000        28.446500       16.802713       9.249916        0.200000        1.266009        0.840278        0.011000        0.040166     
18324      584333.812    3348762.250    21.312770       3.353730        5.418560        0.200000        7.326277        3.614530        3.958070        0.200000        11.556600       3.827260        9.647830        0.200000        5.408810        1.762025        0.039881        0.022026     
18345      588576.438    3352156.500    16.996942       7.986146        0.878306        0.214276        6.426970        13.204854       3.679327        0.200000        22.446057       3.330290        13.686600       0.200000        2.938721        1.236214        0.014972        0.009907     
21734      578606.250    3340171.000    4.003360        2.820931        11.827456       0.200000        63.959487       3.604576        12.857605       0.379814        43.198382       12.863772       8.419727        0.200000        1.148485        0.064198        0.049115        0.009908     
23859      569484.562    3329458.250    17.819500       9.992839        15.975244       0.200000        45.903781       9.630080        14.229664       0.200000        10.631500       6.707688        8.432371        0.200000        2.446692        0.027488        0.054061        0.017158     
24086      574151.500    3335292.000    11.840700       2.997370        0.678278        0.200000        21.842193       4.131897        19.416344       0.200000        21.380300       5.838226        12.806400       0.200000        0.990363        0.066797        0.011098        0.012493     
28770      578606.250    3336777.000    17.371068       3.066430        11.856989       0.200000        6.003670        12.739730       2.133230        0.200000        19.476200       4.058830        8.696947        0.200000        0.414453        0.532572        0.011000        0.035500     
29747      583909.562    3343034.750    17.206699       1.749820        6.244138        0.200000        6.206850        4.243230        18.822663       0.200000        21.427489       27.665288       18.180655       0.200000        0.715142        0.054644        0.026805        0.010016     
34198      583008.000    3339534.500    16.636851       2.833190        18.163025       0.200000        8.708323        8.131814        4.656953        0.233450        27.029137       2.431380        14.070300       0.200000        0.722000        0.130813        0.030625        0.034300     
37054      574045.438    3329882.500    8.263873        4.018414        7.529409        0.185596        13.662507       10.215000       24.979156       0.200000        10.097953       4.883550        16.602112       0.325540        0.976458        0.049917        0.012517        0.044367     
38941      585712.688    3340648.250    4.249340        4.878240        11.415815       0.200000        3.427640        1.836863        9.094213        0.200000        15.365555       7.081524        15.806180       0.242439        1.649267        0.097174        0.011000        0.043496     
43166      584758.062    3338049.750    9.161858        1.594560        6.360290        0.200000        43.487936       2.421890        8.116763        0.200000        27.280065       4.337977        9.617762        0.257804        0.376806        0.161995        0.011000        0.019450     
43992      592182.688    3346641.000    7.551180        2.500530        4.640646        0.273356        28.025644       8.800758        6.812738        0.200000        10.821500       6.215922        11.775800       0.200000        4.047234        1.384896        0.011013        0.022414     
45739      576803.125    3329246.250    10.049110       3.356160        10.932282       0.217462        40.195300       7.570709        12.059642       0.200000        19.832300       6.587076        15.799237       0.200000        2.750512        0.301690        0.011898        0.168184     
50965      583167.062    3333488.750    20.590991       5.031330        5.463047        0.200000        16.342000       6.762809        43.257400       0.200000        8.614430        3.114941        18.356136       0.200000        0.705564        0.113484        0.019454        0.014434     
51628      586136.938    3336936.000    11.132782       7.011159        12.923600       0.200000        12.057200       4.018003        34.880931       0.191788        30.514713       3.740650        11.806305       0.200942        2.017308        0.174747        0.011000        0.009919     
51857      586879.375    3337996.750    6.858936        3.235580        4.611611        0.138665        20.039407       4.344300        22.673468       0.200000        6.233770        4.419583        9.495029        0.246671        1.216370        0.164769        0.032168        0.119891     
54365      579985.125    3329246.250    12.795500       9.177885        3.848538        0.191706        31.277400       11.455415       12.309000       0.200000        21.565116       20.798500       16.475486       0.200000        0.268000        2.130147        0.015073        0.009925     
55651      587993.062    3336140.500    14.261018       2.839840        1.377990        0.203755        45.331649       3.697060        8.912070        0.281727        21.376157       4.573320        8.283463        0.302584        0.322768        0.198884        0.020383        0.009972     
56037      589212.875    3338102.750    10.965000       2.629279        10.845036       0.181165        18.808700       10.021721       6.948330        0.200000        14.547900       3.237130        18.881038       0.200000        1.129340        1.027059        0.011000        0.013213     
56264      590061.375    3338474.000    6.629999        7.108910        7.298851        0.200000        5.725244        2.031080        13.406585       0.200000        11.236820       1.636110        8.735397        0.236751        1.275788        0.683594        0.012504        0.009912     
58582      586243.000    3332958.500    6.083400        2.494259        4.880260        0.232567        11.418800       9.191218        9.979670        0.200000        29.773300       7.134250        2.045870        0.246763        2.051922        0.118115        0.012756        0.010490     
58907      587356.688    3335186.000    7.908471        3.135138        11.428014       0.200000        11.121297       4.328560        2.437130        0.194773        35.285300       8.932186        17.887349       0.309660        1.752171        0.026229        0.013692        0.009911     
59770      591334.188    3339110.250    12.112511       2.209341        3.614973        0.200000        9.576720        43.057409       18.219966       0.200000        38.790835       10.344304       16.858616       0.200000        0.938435        0.091664        0.035120        0.023663     
59905      595364.688    3342610.500    23.825356       3.829337        1.465130        0.162372        20.186564       1.291086        5.479510        0.200000        14.731626       10.119619       9.574510        0.339963        0.716865        0.112858        0.011302        0.009929     
62032      584970.188    3330837.250    6.722625        1.100544        5.995381        0.200000        13.970138       6.864400        7.926788        0.200000        10.397900       13.510618       6.427185        0.281040        0.971915        0.108819        0.011769        0.009918     
74066      603425.688    3344095.500    9.945014        9.848045        11.017987       0.200000        7.801510        4.746040        30.308062       0.211358        33.644899       4.507079        17.868757       0.217639        1.188640        0.071088        0.038965        0.062617     
