    C2D             x              y 
86915      592394.812    3326594.500 
87165      594569.188    3327867.250 
91117      593773.688    3325374.750 
83301      594834.375    3330306.750 
87666      596107.125    3329405.250 
88240      600455.875    3333276.750 
92354      598970.938    3331261.500 
94729      594834.375    3324844.500 
98674      598334.500    3327496.000 
101232     597910.250    3323836.750 
104414     601834.688    3326329.500 
104455     601834.688    3326700.750 
107418     600880.125    3324314.250 
111612     600774.062    3322882.250 
112758     605971.250    3327602.250 
115003     602152.875    3322352.000 
117757     603531.750    3322033.750 
84032      604274.250    3339004.250 
99251      605122.750    3333064.500 
99263      607668.312    3335610.250 
104919     607244.062    3331579.750 
115669     607244.062    3326753.750 
116149     611911.000    3331155.500 
118305     609365.375    3327655.250 
118340     610001.812    3327655.250 
119785     605759.125    3321609.500 
119819     607668.312    3323943.000 
121183     606607.688    3321609.500 
123946     609365.375    3321185.250 
84056      609365.375    3344095.500 
96101      610638.188    3340277.000 
104952     612759.500    3338155.750 
113183     612335.250    3334337.500 
113205     614880.812    3336034.500 
