    C2D             x              y 
66717      569060.312    3310578.500 
66718      569484.562    3311002.750 
66721      569908.812    3311427.000 
66722      570333.125    3311851.500 
66725      570757.375    3312275.750 
66726      571181.625    3312700.000 
66729      571605.875    3313124.250 
66730      572030.125    3313548.500 
66733      572454.438    3313972.750 
66734      572878.688    3314397.000 
66738      573090.812    3315245.500 
66741      573302.938    3315457.750 
66742      573515.062    3315669.750 
66743      573090.812    3314821.250 
66744      573302.938    3315033.250 
66745      573302.938    3314609.000 
66746      573515.062    3314821.250 
66747      573515.062    3315245.500 
66748      573727.188    3315457.750 
66749      573727.188    3315033.250 
66750      573939.312    3315245.500 
66753      573727.188    3315882.000 
66754      573939.312    3316094.000 
66757      574151.500    3316306.250 
66762      573939.312    3315669.750 
66763      574151.500    3315882.000 
66764      574151.500    3315457.750 
66765      574363.625    3315669.750 
66766      574363.625    3316094.000 
66767      574469.688    3316306.250 
66768      574575.750    3316412.250 
66769      574575.750    3316200.000 
66770      574681.812    3316306.250 
66771      574469.688    3315882.000 
66772      574575.750    3315988.000 
66773      574575.750    3315775.750 
66774      574681.812    3315882.000 
66775      574681.812    3316094.000 
66776      574787.875    3316200.000 
66777      574787.875    3315988.000 
66778      574893.938    3316094.000 
66808      574681.812    3316518.250 
66810      574787.875    3316412.250 
66811      574893.938    3316518.250 
66814      575000.000    3316624.250 
66815      575106.062    3316730.500 
66816      574893.938    3316306.250 
66817      575000.000    3316412.250 
66818      575000.000    3316200.000 
66819      575106.062    3316306.250 
66820      575106.062    3316518.250 
66821      575212.125    3316624.250 
66822      575212.125    3316412.250 
66823      575318.188    3316518.250 
66835      575318.188    3316730.500 
66836      575424.250    3316836.500 
66837      575424.250    3316624.250 
66838      575477.312    3316730.500 
66839      575530.312    3316783.500 
66840      575530.312    3316677.500 
66841      575583.375    3316730.500 
66842      575477.312    3316942.500 
66843      575530.312    3316995.500 
66844      575530.312    3316889.500 
66845      575583.375    3316942.500 
66846      575583.375    3317048.500 
66848      575636.375    3316995.500 
66849      575689.438    3317048.500 
66850      575583.375    3316836.500 
66851      575636.375    3316889.500 
66852      575636.375    3316783.500 
66853      575689.438    3316836.500 
66854      575689.438    3316942.500 
66855      575742.438    3316995.500 
66856      575742.438    3316889.500 
66857      575795.500    3316942.500 
66987      575742.438    3317101.750 
66988      575795.500    3317154.750 
66993      575795.500    3317048.500 
66994      575848.500    3317101.750 
66995      575848.500    3316995.500 
66996      575901.562    3317048.500 
66997      575901.562    3317154.750 
66998      575954.625    3317207.750 
66999      575954.625    3317101.750 
67000      576007.625    3317154.750 
67009      576007.625    3317260.750 
67011      576060.688    3317207.750 
67012      576113.688    3317260.750 
67015      576166.750    3317313.750 
70474      567363.250    3307608.750 
