 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
127024     608092.625    3315882.000    20.418327       5.011895        5.457120        0.298237        9.327449        4.105918        9.121346        0.201459        9.801004        5.415458        6.422210        0.250000        30.628401       6.865903        16.612932       0.284177        0.227749        0.824999        0.192019        0.010173        0.010023     
131141     601092.250    3304214.750    47.572400       5.057545        18.843292       0.250000        6.559390        2.301110        7.492986        0.183809        10.000300       2.451650        3.905330        0.250000        13.559700       3.016570        9.209184        0.322812        0.052380        0.436887        0.174578        0.010000        0.009646     
131484     603266.625    3306442.000    50.938574       5.000000        31.367745       0.174573        8.903010        10.456723       8.091599        0.250000        11.686000       13.868546       9.371454        0.250000        12.309453       9.210180        3.567920        0.279999        0.021211        1.169550        0.082085        0.010012        0.018930     
131997     604857.562    3307927.000    29.456950       5.000000        7.133378        0.250000        21.859188       1.922120        4.145134        0.250000        7.381160        3.262650        7.598279        0.250000        9.329351        7.513055        4.749015        0.250000        0.049664        0.220309        0.153125        0.010000        0.012929     
132586     606607.688    3309465.000    23.543815       6.831345        6.144887        0.250000        11.895830       4.173320        11.953584       0.273258        11.600677       20.019790       49.979800       0.264889        22.976738       4.165390        8.916600        0.250000        0.072053        0.512252        0.035944        0.010107        0.009275     
132964     608516.875    3312169.500    27.210025       5.059090        22.269925       0.325757        8.804024        9.636060        3.879524        0.250000        30.537011       5.349900        10.158984       0.250000        21.930274       21.271933       8.840852        0.250000        0.029371        1.117104        0.021684        0.034076        0.018418     
133035     611062.438    3313336.250    17.394300       8.953309        8.892766        0.250000        5.988354        2.806580        15.793363       0.250000        3.952565        10.390917       25.044626       0.250000        15.535900       3.360584        13.753914       0.250000        0.131451        1.089422        0.127573        0.017851        0.009392     
133124     593667.625    3294880.750    77.240311       7.379641        9.521303        0.250000        22.148463       3.578539        3.437180        0.250000        9.518840        3.029060        21.477675       0.250000        33.134563       2.266308        14.090837       0.302535        0.150984        2.361169        0.020085        0.010760        0.009000     
133600     603956.000    3305540.500    63.602001       8.696899        8.153250        0.281237        8.293290        3.197667        8.885352        0.250000        15.300100       3.436630        21.936686       0.250000        23.635647       12.710525       12.803784       0.250000        0.088971        3.384416        0.170776        0.010000        0.021814     
136380     609365.375    3309093.750    27.204400       5.912195        10.740968       0.250000        5.957741        2.794147        4.080098        0.250000        6.519287        1.267980        22.466887       0.250000        17.376987       4.717257        10.761735       0.250000        0.072656        1.058190        0.082404        0.028093        0.022025     
136918     605494.000    3303684.250    19.019638       5.205315        15.390912       0.237881        13.424912       1.615550        7.134716        0.132090        37.960712       8.024710        5.979860        0.250000        36.324499       5.176150        9.752910        0.246327        0.117276        0.516505        0.099983        0.010076        0.018363     
138542     608251.688    3303684.250    42.302813       5.000000        9.899544        0.250000        5.525330        2.905470        10.400683       0.195522        22.311487       3.187540        5.578620        0.250000        28.420850       2.933798        5.505780        0.250000        0.041162        0.789943        0.065668        0.015265        0.009564     
138921     593667.625    3288092.500    37.469751       5.035790        18.037300       0.250000        5.809107        1.757665        14.485259       0.250000        13.045319       7.210453        3.906360        0.185337        8.768450        7.167983        13.563996       0.250000        0.030484        0.343324        0.023975        0.010008        0.009000     
138942     601728.625    3295729.250    30.868300       11.080861       23.528142       0.229792        13.234444       2.511971        17.659000       0.170388        13.720379       1.767545        12.325508       0.250000        18.539837       4.258543        2.527350        0.250000        0.024207        0.398247        0.043670        0.027288        0.021345     
140035     606819.812    3299759.750    39.555874       5.010235        23.059060       0.250000        15.624294       3.819423        5.445404        0.213912        19.919206       6.415030        5.754229        0.250000        8.767060        11.281600       7.968894        0.250000        0.139560        1.462020        0.203267        0.010002        0.009000     
140817     614880.812    3308033.000    83.630823       5.000000        12.596230       0.250000        14.885800       1.750164        15.871300       0.250000        31.127740       12.822963       5.558750        0.250000        9.544070        4.711990        14.681103       0.250000        0.038010        1.314234        0.029886        0.010000        0.058117     
142596     613608.000    3302729.750    69.146896       5.362780        10.666900       0.250000        5.655890        9.285181        6.753626        0.191266        31.768350       5.007170        1.746090        0.250000        26.506421       6.449124        12.230945       0.250000        0.195647        0.399155        0.070871        0.013873        0.009148     
142743     603849.938    3291062.500    40.098736       5.000000        28.579551       0.250000        11.572400       3.003861        2.759379        0.250000        12.775278       10.358207       12.289714       0.343906        24.552975       4.622290        9.043784        0.250000        0.029575        1.824567        0.103145        0.011267        0.009655     
116190     614456.562    3334761.750    42.168076       5.000000        5.034315        0.250000        14.118100       1.784894        4.066986        0.250000        49.713563       9.250159        4.374820        0.142457        15.212450       4.065260        9.334300        0.250000        0.020110        4.815027        0.291545        0.010105        0.009824     
122664     612547.375    3325003.500    11.111939       5.358020        9.611200        0.250000        8.361256        5.529490        8.103491        0.250000        57.183289       10.083712       22.564794       0.252659        4.077302        7.234534        8.177021        0.250000        0.056328        0.594145        0.105824        0.013921        0.009003     
122750     616577.875    3329246.250    32.514161       5.109220        5.006600        0.250000        7.958420        7.429441        3.165350        0.296663        8.228916        7.021770        11.204451       0.208825        25.426018       3.418765        16.248950       0.231559        0.178321        0.514432        0.126268        0.010000        0.013654     
130988     610001.812    3314821.250    24.251987       5.000000        13.112400       0.250000        13.790917       2.216310        14.624900       0.250000        33.659631       8.893593        15.367325       0.250000        9.876510        3.935902        19.002210       0.250000        0.155520        1.387046        0.097790        0.014038        0.070588     
131015     611486.688    3315669.750    56.631102       5.005380        8.576630        0.250000        7.292545        2.970480        11.946489       0.211404        11.971800       3.170690        5.715760        0.250000        12.407940       17.082475       15.342224       0.250000        0.035328        1.273454        0.435398        0.010000        0.013110     
136497     625063.188    3324155.000    35.782505       5.037540        7.423765        0.250000        14.954700       3.326888        3.041325        0.231715        31.120600       1.479370        13.212876       0.240929        12.964245       3.946520        6.343980        0.250000        0.035013        0.562776        0.055725        0.012079        0.009000     
141751     625487.438    3316942.500    45.162624       9.197381        8.485120        0.277952        6.094336        2.128490        7.609261        0.250000        6.713496        4.792677        38.379650       0.256477        31.915522       3.329280        16.141589       0.399428        0.204880        0.226746        0.092469        0.029365        0.018839     
