    C2D             x              y 
79518      591334.188    3327655.250 
79520      591440.250    3327549.250 
79529      591440.250    3327761.250 
79530      591546.312    3327867.250 
79531      591546.312    3327655.250 
79532      591652.375    3327761.250 
79533      591652.375    3327973.500 
79534      591758.438    3328079.500 
79535      591758.438    3327867.250 
79536      591864.500    3327973.500 
79579      591970.562    3328079.500 
79580      592076.625    3328185.500 
79583      592182.688    3328291.500 
79584      592288.750    3328397.750 
79595      592394.812    3328503.750 
79596      592500.875    3328609.750 
79599      592606.938    3328716.000 
79600      592713.000    3328822.000 
79643      592819.062    3328928.000 
79644      592925.188    3329034.000 
79647      593031.250    3329140.250 
79648      593137.312    3329246.250 
82895      591546.312    3327443.000 
82897      591652.375    3327337.000 
82903      591758.438    3327231.000 
82905      591864.500    3327125.000 
82906      591652.375    3327549.250 
82907      591758.438    3327655.250 
82908      591758.438    3327443.000 
82909      591864.500    3327549.250 
82910      591864.500    3327761.250 
82911      591970.562    3327867.250 
82912      591970.562    3327655.250 
82913      592076.625    3327761.250 
82914      591864.500    3327337.000 
82915      591970.562    3327443.000 
82916      591970.562    3327231.000 
82917      592076.625    3327337.000 
82918      592076.625    3327549.250 
82919      592182.688    3327655.250 
82920      592182.688    3327443.000 
82921      592288.750    3327549.250 
82927      591970.562    3327018.750 
82929      592076.625    3326912.750 
82935      592182.688    3326806.750 
82937      592288.750    3326700.750 
82938      592076.625    3327125.000 
82939      592182.688    3327231.000 
82940      592182.688    3327018.750 
82941      592288.750    3327125.000 
82942      592288.750    3327337.000 
82943      592394.812    3327443.000 
82944      592394.812    3327231.000 
82945      592500.875    3327337.000 
82946      592288.750    3326912.750 
82947      592394.812    3327018.750 
82948      592394.812    3326806.750 
82949      592500.875    3326912.750 
82950      592500.875    3327125.000 
82951      592606.938    3327231.000 
82952      592606.938    3327018.750 
82953      592713.000    3327125.000 
82954      592076.625    3327973.500 
82955      592182.688    3328079.500 
82956      592182.688    3327867.250 
82957      592288.750    3327973.500 
82958      592288.750    3328185.500 
82959      592394.812    3328291.500 
82960      592394.812    3328079.500 
82961      592500.875    3328185.500 
82962      592288.750    3327761.250 
82963      592394.812    3327867.250 
82964      592394.812    3327655.250 
82965      592500.875    3327761.250 
82966      592500.875    3327973.500 
82967      592606.938    3328079.500 
82968      592606.938    3327867.250 
82969      592713.000    3327973.500 
82970      592500.875    3328397.750 
82971      592606.938    3328503.750 
82972      592606.938    3328291.500 
82973      592713.000    3328397.750 
82974      592713.000    3328609.750 
82975      592819.062    3328716.000 
82976      592819.062    3328503.750 
82977      592925.188    3328609.750 
82978      592713.000    3328185.500 
