 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
406        522391.250    3316942.500    6.162777        7.042287        3.681626        0.300000        9.342461        6.884720        14.992300       0.300000        6.520545        30.050800       5.675615        0.385705        1.361072        0.014120     
714        528330.938    3316094.000    9.691747        4.855871        3.143506        0.300000        14.517700       7.520140        3.493270        0.300000        5.325160        9.258260        15.335263       0.253332        1.467369        0.008100     
1396       536816.250    3316094.000    6.458911        9.215861        8.374804        0.300000        3.448290        3.155140        23.850537       0.300000        20.386081       20.538100       10.655100       0.276299        0.794479        0.046051     
2689       543604.438    3318215.250    4.970020        8.391727        2.217050        0.300000        5.665685        20.470631       10.572307       0.300000        6.420859        3.353856        8.936831        0.221583        3.760883        0.008112     
2772       551029.062    3325427.750    5.358219        5.685720        3.130157        0.300000        36.099787       4.973158        7.083942        0.177860        5.619026        5.395443        6.366670        0.300000        0.638278        0.010744     
2836       553574.688    3328079.500    4.767412        3.603677        3.231360        0.300000        8.842697        7.013300        41.444600       0.194303        13.201437       5.644018        8.259630        0.300000        0.924164        0.021594     
6454       546574.312    3315245.500    4.573322        2.728280        7.189460        0.300000        7.288700        6.893250        13.629200       0.253751        9.876286        4.349101        4.870466        0.300000        0.722314        0.008100     
6976       556438.438    3325056.500    2.958174        3.475930        2.094020        0.300000        5.472250        8.100080        7.459370        0.300000        6.584452        30.531600       14.325604       0.300000        1.898150        0.019948     
8274       542755.938    3310154.250    3.152410        3.803396        2.532170        0.300000        14.916900       8.788990        3.448629        0.300000        13.042451       5.539070        4.324570        0.300000        1.096095        0.010855     
9739       560203.812    3328185.500    7.609466        2.416325        5.564630        0.300000        3.027188        5.407032        6.489830        0.300000        12.288400       5.754140        5.342089        0.300000        0.487744        0.009499     
11456      554635.312    3319806.250    9.092743        7.818495        9.147239        0.300000        5.838370        2.201210        19.967207       0.300000        16.630628       3.561080        17.970670       0.300000        1.698220        0.014211     
12026      557711.250    3323253.500    2.987168        4.880615        4.506088        0.147246        16.308800       10.231910       15.732800       0.300000        8.819926        15.345284       9.275053        0.229200        1.541426        0.015513     
18540      556332.375    3319170.000    3.556310        8.193093        2.339260        0.300000        11.276567       14.320938       4.580710        0.271422        10.748002       11.120242       18.103968       0.300000        3.002124        0.015120     
18692      557233.938    3319170.000    4.321936        5.273360        9.588849        0.210254        6.891020        9.373703        25.834956       0.300000        7.500507        3.676080        8.368894        0.300000        1.516313        0.014573     
29908      556756.625    3314609.000    8.201736        5.526153        2.630360        0.300000        12.682897       9.309742        11.960520       0.326432        14.792912       17.409800       8.056306        0.300000        0.878866        0.008929     
48682      554635.312    3305063.250    7.160478        4.969185        7.385402        0.300000        3.767440        6.913420        8.896595        0.300000        9.377027        4.686860        12.404394       0.300000        1.506120        0.013618     
51         518997.156    3332216.000    1.890600        4.707920        7.700008        0.300000        4.144846        12.646800       3.365688        0.300000        7.250158        12.660347       16.532488       0.208094        0.404962        0.008100     
76         526633.875    3338155.750    5.445428        3.511050        2.054093        0.300000        4.625019        7.248107        10.404761       0.224139        8.892096        9.081490        10.397600       0.300000        1.111999        0.040413     
198        527482.438    3330519.000    4.500017        7.720140        4.791584        0.300000        2.905196        3.355731        10.241873       0.300000        5.780793        5.682710        3.419800        0.300000        0.236960        0.010102     
271        524936.812    3324579.250    5.675029        2.934906        9.374908        0.300000        12.966400       15.348462       3.358960        0.300000        8.497140        21.682131       6.359760        0.300000        4.384423        0.008450     
332        541907.375    3339852.750    6.729800        8.518523        7.400510        0.300000        5.138198        12.594548       11.439471       0.300000        8.380661        5.562096        18.702625       0.300000        1.450630        0.067409     
391        547847.125    3344095.500    4.219140        9.512710        7.182063        0.252766        23.679100       9.668334        6.534750        0.300000        15.684989       5.073941        21.354537       0.300000        1.036832        0.035484     
538        558877.938    3351732.250    3.398470        6.457008        7.671061        0.300000        8.355757        4.733170        10.172100       0.197396        16.293025       6.054659        7.442050        0.300000        1.757592        0.016347     
724        536816.250    3324579.250    7.513340        9.074859        7.416517        0.300000        15.442900       4.192225        8.506090        0.328906        5.784685        3.768080        6.146550        0.300000        0.389323        0.008104     
972        546786.438    3330519.000    5.382681        12.742037       5.254683        0.178796        6.602890        27.189763       18.791263       0.300000        4.575015        25.051100       6.425108        0.300000        1.649470        0.008700     
1036       559726.500    3344095.500    9.504010        3.860251        6.770499        0.300000        16.831074       13.504312       10.373800       0.201367        8.936100        13.524000       13.806773       0.300000        1.284669        0.020840     
1347       558453.688    3339004.250    5.612020        11.037600       12.088519       0.290406        7.734076        1.197058        6.602391        0.300000        15.230807       14.898300       13.618800       0.199644        1.833811        0.028775     
2049       566090.438    3343247.000    2.648200        7.294532        9.415470        0.300000        9.554150        6.335260        10.139632       0.198172        20.529594       8.403186        13.807445       0.300000        1.094872        0.019744     
2908       554635.312    3329564.500    8.256275        3.534627        7.893206        0.300000        10.732213       11.976900       5.891490        0.300000        9.673618        6.723330        10.911062       0.300000        1.570410        0.008198     
4241       556120.250    3328769.000    0.957474        3.708381        9.280790        0.198169        21.045169       8.134270        4.367104        0.300000        10.451320       3.548830        5.995708        0.300000        0.537291        0.029678     
4822       559302.250    3332428.250    4.241430        5.388810        2.489038        0.300000        6.827067        17.497182       11.067233       0.300000        5.582444        6.483736        9.896130        0.300000        1.009650        0.008120     
