    C2D             x              y 
29913      557180.938    3314609.000 
12125      558453.688    3323677.750 
18718      557393.062    3319223.000 
26234      560256.812    3319647.250 
35614      566302.562    3321450.250 
9640       559938.625    3326647.500 
10780      564181.250    3332110.000 
16203      563385.750    3328079.500 
16902      566514.750    3330413.000 
32156      566992.000    3324155.000 
36319      568901.188    3324897.500 
36940      572666.562    3328503.750 
44917      571446.812    3323200.500 
40649      571605.875    3326170.250 
45366      573409.000    3325852.000 
49531      573143.875    3323624.750 
49663      573674.188    3323306.500 
53362      574310.562    3323730.750 
53502      574946.938    3323306.500 
54306      579136.562    3328185.500 
57401      577121.312    3324526.250 
60520      575901.562    3320654.750 
61897      583167.062    3328609.750 
63810      576591.000    3320495.750 
64632      581470.000    3325693.000 
66755      573939.312    3316518.250 
67046      576378.875    3318056.250 
67278      576909.188    3318798.750 
67371      577015.250    3319223.000 
67616      578606.250    3320867.000 
67628      578394.125    3319806.250 
68101      581417.000    3323836.750 
68357      582265.500    3324685.250 
71353      578182.000    3318904.750 
71593      580515.438    3320442.750 
71958      582265.500    3322139.750 
72107      582689.812    3323306.500 
72264      582954.938    3323783.750 
75084      582265.500    3321609.500 
75306      583114.062    3322033.750 
75567      584121.688    3323041.250 
75727      584758.062    3323253.500 
76014      586136.938    3324367.250 
76239      588894.625    3327761.250 
