 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
79513      591016.000    3327337.000    25.007661       4.500000        8.097730        0.300000        13.794700       4.623663        6.857161        0.300000        25.472000       1.592356        3.540916        0.300000        15.138400       5.649581        14.905140       0.348976        0.374878        0.019081     
81891      585182.312    3320920.000    35.344200       4.817952        11.248000       0.268406        6.280135        3.709194        6.248819        0.244344        16.019521       1.869758        5.119226        0.300000        18.442800       2.802040        18.814431       0.211212        2.234150        0.012637     
82670      588470.375    3323518.750    45.607730       4.500000        9.601100        0.254285        15.527925       4.350160        9.261412        0.300000        15.007587       3.370210        9.838890        0.300000        25.731859       3.312300        10.126813       0.260062        0.472048        0.047375     
86186      586455.125    3320708.000    22.038593       4.500000        8.253976        0.300000        5.087231        3.499844        1.682129        0.300000        16.320500       3.766121        16.195900       0.300000        12.581081       2.184394        3.895177        0.210646        0.340208        0.008100     
86204      586508.188    3320230.500    21.655187       9.318680        11.941440       0.300000        6.797757        6.220981        1.514721        0.300000        8.223674        3.343440        5.368486        0.235711        5.972290        13.906500       12.843200       0.300000        1.565770        0.027649     
86916      592394.812    3326382.500    19.054600       4.651637        7.136142        0.300000        8.450674        1.958380        19.179700       0.223557        4.910840        19.468144       7.300358        0.300000        11.335700       12.301775       4.736623        0.300000        0.910090        0.069561     
90175      587356.688    3319594.250    40.847970       4.507641        24.321037       0.300000        24.103400       2.255339        3.590713        0.300000        20.509365       10.289430       4.047098        0.300000        14.655301       1.321716        10.043835       0.300000        1.611022        0.008100     
90554      588788.562    3319753.250    53.312800       7.617835        11.736425       0.300000        24.467500       1.523520        8.807600        0.300000        7.641960        2.680550        9.030800        0.300000        22.640600       4.486069        3.956931        0.300000        1.182738        0.022501     
90889      592925.188    3323890.000    27.336800       7.679879        12.498200       0.315982        10.331777       5.798895        11.820103       0.224553        14.826673       2.200024        6.074858        0.300000        28.837595       3.195085        15.500356       0.300000        1.260570        0.020099     
91074      593720.625    3325321.750    23.661081       6.882834        5.725321        0.300000        6.050655        2.960459        4.801439        0.300000        3.274070        3.479579        6.951293        0.300000        6.501230        4.968268        6.551079        0.300000        0.877760        0.018197     
93297      586932.438    3317473.000    33.482700       5.087804        8.153631        0.300000        5.769136        1.968590        8.902415        0.300000        21.898737       11.309559       8.251919        0.300000        16.635069       7.315525        6.885382        0.238088        1.223573        0.017453     
94043      590591.688    3319912.500    15.039856       7.056960        5.192163        0.300000        5.057528        2.069155        9.046489        0.300000        5.416441        3.986550        5.549428        0.185407        5.478329        3.445370        3.235400        0.300000        0.266442        0.036930     
94713      594622.188    3324632.250    66.557200       9.346123        4.789638        0.300000        18.772143       2.678323        3.829484        0.300000        3.250895        13.804268       20.009919       0.300000        15.239900       4.069530        13.252588       0.300000        0.791232        0.008103     
96790      588788.562    3317950.250    24.586663       4.500437        6.565410        0.300000        5.152945        3.984640        13.195984       0.148253        7.191750        6.136019        3.497000        0.300000        17.943000       2.644610        8.842750        0.300000        1.796311        0.028967     
97374      592925.188    3320973.000    7.865730        6.243500        17.063265       0.208841        8.628180        2.400600        4.090140        0.300000        31.576700       5.368130        13.552779       0.300000        5.553206        1.497584        7.055340        0.170027        0.831874        0.008100     
100677     594197.938    3321609.500    14.990814       4.500000        11.113369       0.300000        6.110860        1.045859        1.049770        0.300000        12.344412       7.421333        7.056570        0.300000        9.908450        7.875070        13.221000       0.228609        0.678614        0.008100     
