 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
104965     580939.688    3304214.750    46.921200       4.789870        14.933500       0.362423        14.701900       3.912660        16.213700       0.175463        12.474200       1.749950        21.564000       0.239036        8.276420        9.631220        9.914050        0.228620        0.231530        0.013745     
105058     588152.188    3311215.000    19.545400       7.384180        9.457830        0.175136        12.413700       2.866010        16.231700       0.330887        6.279430        11.321900       6.982990        0.236127        31.583900       2.090640        6.662100        0.251379        0.741847        0.010804     
109042     588788.562    3310578.500    42.462400       5.696630        6.721220        0.216035        21.654400       1.951550        1.961650        0.236794        49.178200       4.970300        5.228530        0.291357        30.620600       15.034700       19.601300       0.224447        0.997356        0.023301     
109656     593720.625    3315033.250    105.233000      6.596300        10.218700       0.219101        9.817000        1.787480        3.490220        0.156637        6.839630        6.965000        8.502000        0.191122        10.783100       3.699920        14.841600       0.321439        0.770579        0.010043     
110367     596213.188    3317950.250    17.860100       5.321750        40.764500       0.246374        7.241670        8.125320        10.049200       0.159065        6.481510        14.775800       16.592300       0.339022        44.562500       4.055550        15.921500       0.324034        0.673124        0.039451     
114520     599766.438    3320336.750    102.051000      4.668000        19.286400       0.297130        12.179800       1.077160        16.982100       0.250505        43.078600       3.331270        4.360660        0.224470        17.185800       4.435400        3.296200        0.174995        0.717601        0.009430     
115002     602046.812    3322245.750    16.463500       4.575780        7.361210        0.225811        5.221430        2.330980        14.030000       0.216265        18.249300       4.218340        24.566600       0.255496        16.243200       11.204800       18.898100       0.252161        1.435440        0.012001     
117754     603425.688    3321927.750    23.488100       6.385450        9.014820        0.244632        18.696600       3.771770        2.237490        0.161431        5.836960        5.040980        4.827380        0.252414        8.160360        6.926060        10.221700       0.244410        1.492520        0.062384     
118800     595470.750    3312700.000    39.021900       6.465250        5.356060        0.323016        14.102400       1.890010        3.187480        0.196916        16.842300       8.013540        6.328350        0.283826        5.651510        4.983830        15.970400       0.173652        3.173220        0.009381     
119784     605547.000    3321397.250    38.484000       4.753500        5.231940        0.232701        10.745900       2.495390        3.965450        0.236140        16.136000       2.740610        11.213500       0.215675        12.637600       5.839230        9.634090        0.338772        0.280915        0.008756     
120490     599607.312    3314184.750    25.434300       5.345190        28.168700       0.276776        21.017300       2.987630        9.040860        0.205953        9.254200        6.766060        9.889680        0.171833        11.773700       3.078270        13.913700       0.248163        1.030130        0.008362     
121189     606819.812    3321397.250    39.961300       11.577400       8.614880        0.217305        4.333790        10.980200       1.639090        0.206067        5.353900        4.263410        10.408100       0.200055        23.004000       3.114500        6.961240        0.202724        0.867105        0.087076     
121632     594304.000    3306760.250    61.525200       7.922550        17.046900       0.189614        10.457100       2.424490        17.731600       0.214937        42.171200       17.647900       8.712670        0.241281        7.985110        2.393400        19.265500       0.206157        3.414600        0.037067     
122570     606395.562    3320124.500    37.756700       5.118020        8.342480        0.209199        15.109200       3.736210        19.994400       0.174016        16.844700       2.543170        9.275430        0.175573        26.518800       8.012300        4.478040        0.213080        0.284912        0.010223     
122895     598970.938    3310154.250    47.849000       7.227190        20.946800       0.341511        29.791900       10.747700       3.026420        0.217222        21.104000       8.644300        23.101600       0.189170        12.818000       2.928940        17.616700       0.323639        0.833350        0.008397     
123319     604751.500    3316306.250    33.501600       5.733070        6.738250        0.360821        10.838900       1.586080        15.364000       0.154007        5.861980        5.190260        5.447020        0.270237        20.552700       1.030490        17.305500       0.304658        0.449685        0.011304     
123940     608941.125    3320761.000    31.327200       6.948890        14.097600       0.239040        7.025660        3.852900        3.046790        0.211214        35.695200       4.515780        9.391840        0.167852        18.208000       1.120460        14.264300       0.276947        3.882800        0.012239     
124274     602577.188    3312806.000    17.567900       5.082920        28.016100       0.280927        9.647250        3.882110        15.753300       0.146431        11.369000       9.766980        4.470740        0.351624        19.759400       2.022430        7.947640        0.282608        4.244190        0.011780     
125414     608092.625    3318003.250    70.933700       5.533220        9.162620        0.232493        17.079400       4.250050        2.804820        0.169242        38.564400       7.258460        8.724640        0.249883        24.949400       4.936530        18.284100       0.253963        2.848710        0.016759     
125521     590273.500    3298275.000    37.403000       5.891240        14.602500       0.201040        7.066850        3.930970        6.348500        0.205872        14.161400       7.350150        9.493080        0.152089        10.668800       4.567770        13.230800       0.247427        1.174910        0.010563     
127021     607880.438    3315775.750    18.910400       4.390510        7.807010        0.202396        6.472070        17.259900       7.300820        0.244063        16.974400       6.380020        24.391000       0.236398        13.277600       2.691400        17.683100       0.290334        1.598320        0.031195     
127160     597486.000    3303366.000    74.281300       6.290380        19.747700       0.269584        12.317700       1.383220        6.148190        0.207190        12.797500       2.954250        3.231890        0.209067        13.563100       8.729880        14.764300       0.267261        1.159080        0.016868     
128812     608092.625    3314291.000    23.593300       9.049550        7.899500        0.308322        5.238810        1.711500        8.884870        0.222829        17.357000       14.769700       7.447050        0.228242        47.807200       2.429930        14.105800       0.278695        2.129750        0.009924     
129037     601622.562    3306336.000    13.898700       4.700210        14.725800       0.317103        12.880800       9.848710        12.992600       0.227227        35.802900       2.002710        8.584880        0.228278        16.239700       4.313250        5.920010        0.218828        0.796329        0.013121     
129801     604327.250    3308563.250    18.232200       4.790030        13.597700       0.317133        2.545300        2.911490        20.000000       0.180634        10.946600       9.762900        4.253940        0.405429        12.475900       5.633810        9.484300        0.261879        0.547820        0.038778     
130429     606342.500    3311427.000    23.510000       6.176740        6.934320        0.218947        7.617120        2.218790        12.719300       0.239825        27.399600       3.454070        25.466500       0.162763        23.110000       14.170600       10.132400       0.281528        1.613980        0.017090     
130941     608304.750    3312806.000    24.909600       4.495080        12.000200       0.173106        7.987860        8.518940        5.251430        0.218751        57.762000       14.686400       8.286210        0.262363        5.454560        2.747940        8.133920        0.266988        1.263500        0.008890     
