    C2D             x              y 
1          518997.156    3342398.500 
2          519845.688    3343247.000 
3          520694.188    3344095.500 
4          518997.156    3340701.250 
5          519845.688    3341549.750 
6          520694.188    3342398.500 
7          521542.719    3343247.000 
8          522391.250    3344095.500 
9          518997.156    3339004.250 
10         519845.688    3339852.750 
11         520694.188    3340701.250 
12         521542.719    3341549.750 
13         522391.250    3342398.500 
14         523239.781    3343247.000 
15         524088.312    3344095.500 
16         518997.156    3337307.250 
17         519845.688    3338155.750 
18         520694.188    3339004.250 
19         521542.719    3339852.750 
20         522391.250    3340701.250 
21         523239.781    3341549.750 
22         524088.312    3342398.500 
23         524936.812    3343247.000 
24         525785.375    3344095.500 
25         518997.156    3335610.250 
26         519845.688    3336458.750 
27         520694.188    3337307.250 
28         521542.719    3338155.750 
29         522391.250    3339004.250 
30         523239.781    3339852.750 
31         524088.312    3340701.250 
32         524936.812    3341549.750 
33         525785.375    3342398.500 
34         526633.875    3343247.000 
35         527482.438    3344095.500 
36         528330.938    3344944.000 
37         518997.156    3333913.000 
38         519845.688    3334761.750 
39         520694.188    3335610.250 
40         521542.719    3336458.750 
41         522391.250    3337307.250 
42         523239.781    3338155.750 
43         524088.312    3339004.250 
44         524936.812    3339852.750 
45         525785.375    3340701.250 
46         526633.875    3341549.750 
47         527482.438    3342398.500 
48         528330.938    3343247.000 
49         529179.500    3344095.500 
50         530028.000    3344944.000 
51         518997.156    3332216.000 
52         519845.688    3333064.500 
53         520694.188    3333913.000 
54         521542.719    3334761.750 
55         522391.250    3335610.250 
56         523239.781    3336458.750 
57         524088.312    3337307.250 
58         524936.812    3338155.750 
59         525785.375    3339004.250 
60         526633.875    3339852.750 
61         527482.438    3340701.250 
62         528330.938    3341549.750 
63         529179.500    3342398.500 
64         530028.000    3343247.000 
65         530876.562    3344095.500 
66         531725.062    3344944.000 
67         518997.156    3330519.000 
68         519845.688    3331367.500 
69         520694.188    3332216.000 
70         521542.719    3333064.500 
71         522391.250    3333913.000 
72         523239.781    3334761.750 
73         524088.312    3335610.250 
74         524936.812    3336458.750 
75         525785.375    3337307.250 
76         526633.875    3338155.750 
77         527482.438    3339004.250 
78         528330.938    3339852.750 
79         529179.500    3340701.250 
80         530028.000    3341549.750 
81         530876.562    3342398.500 
82         531725.062    3343247.000 
83         532573.625    3344095.500 
84         533422.125    3344944.000 
85         518997.156    3328822.000 
86         519845.688    3329670.500 
87         520694.188    3330519.000 
88         521542.719    3331367.500 
89         522391.250    3332216.000 
90         523239.781    3333064.500 
91         524088.312    3333913.000 
92         524936.812    3334761.750 
93         525785.375    3335610.250 
94         526633.875    3336458.750 
95         527482.438    3337307.250 
96         528330.938    3338155.750 
97         529179.500    3339004.250 
98         530028.000    3339852.750 
99         530876.562    3340701.250 
100        531725.062    3341549.750 
101        532573.625    3342398.500 
102        533422.125    3343247.000 
103        534270.625    3344095.500 
104        535119.188    3344944.000 
105        518997.156    3327125.000 
106        519845.688    3327973.500 
107        520694.188    3328822.000 
108        521542.719    3329670.500 
109        522391.250    3330519.000 
110        523239.781    3331367.500 
111        524088.312    3332216.000 
112        524936.812    3333064.500 
113        525785.375    3333913.000 
114        526633.875    3334761.750 
115        527482.438    3335610.250 
116        528330.938    3336458.750 
117        529179.500    3337307.250 
118        530028.000    3338155.750 
119        530876.562    3339004.250 
120        531725.062    3339852.750 
121        532573.625    3340701.250 
122        533422.125    3341549.750 
123        534270.625    3342398.500 
124        535119.188    3343247.000 
125        535967.688    3344095.500 
126        536816.250    3344944.000 
127        537664.750    3345792.500 
128        538513.312    3346641.000 
129        518997.156    3325427.750 
130        519845.688    3326276.250 
131        520694.188    3327125.000 
132        521542.719    3327973.500 
133        522391.250    3328822.000 
134        523239.781    3329670.500 
135        524088.312    3330519.000 
136        524936.812    3331367.500 
137        525785.375    3332216.000 
138        526633.875    3333064.500 
139        527482.438    3333913.000 
140        528330.938    3334761.750 
141        529179.500    3335610.250 
142        530028.000    3336458.750 
143        530876.562    3337307.250 
144        531725.062    3338155.750 
145        532573.625    3339004.250 
146        533422.125    3339852.750 
147        534270.625    3340701.250 
148        535119.188    3341549.750 
149        535967.688    3342398.500 
150        536816.250    3343247.000 
151        537664.750    3344095.500 
152        538513.312    3344944.000 
153        539361.812    3345792.500 
154        540210.375    3346641.000 
155        541058.875    3347489.500 
156        541907.375    3348338.000 
157        518997.156    3323730.750 
158        519845.688    3324579.250 
159        520694.188    3325427.750 
160        521542.719    3326276.250 
161        522391.250    3327125.000 
162        523239.781    3327973.500 
163        524088.312    3328822.000 
164        524936.812    3329670.500 
165        525785.375    3330519.000 
166        526633.875    3331367.500 
167        527482.438    3332216.000 
