obsnme,obsval,weight,standard_deviation,obgnme
l_nrmse,0.085,100.0,0.04,zball
g_4595,0.8,100.0,2.0,zb003
g_7817,0.45,100.0,2.0,zb007
g_55200,0.95,100.0,2.0,zb005
g_58700,0.7,100.0,2.0,zb005
g_58810,0.68,100.0,2.0,zb005
g_58813,0.22,100.0,2.0,zb003
g_58827,0.78,100.0,2.0,zb001
g_70500,0.8,100.0,2.0,zb002
g_70890,0.77,100.0,2.0,zb006
g_70950,0.58,100.0,2.0,zb006
g_70990,0.46,100.0,2.0,zb006
g_71000,0.75,100.0,2.0,zb004
g_71290,0.26,100.0,2.0,zb004
g_71300,0.79,100.0,2.0,zb002
g_71350,0.81,100.0,2.0,zb002
g_71400,-0.02,100.0,2.0,zb001
wp_bp_0001_20150113,400.2938421,0.0,9.144,burnin
wp_bp_0001_20150218,401.3301323,0.0,9.144,burnin
wp_bp_0001_20150318,400.8272421,0.0,9.144,burnin
wp_bp_0001_20150415,400.9186597,0.0,9.144,burnin
wp_bp_0001_20150524,402.271991,0.0,9.144,burnin
wp_bp_0001_20150610,403.3723145,0.0,9.144,burnin
wp_bp_0001_20150712,402.5706891,0.0,9.144,burnin
wp_bp_0001_20150819,401.6806597,0.0,9.144,burnin
wp_bp_0001_20150915,401.4764675,0.0,9.144,burnin
wp_bp_0001_20151014,401.208242,0.0,9.144,burnin
wp_bp_0001_20151118,401.4673146,0.0,9.144,burnin
wp_bp_0001_20151215,401.6501871,0.0,9.144,burnin
wp_bp_0001_20160118,401.6959146,0.0,9.144,burnin
wp_bp_0001_20160216,401.6044597,0.0,9.144,burnin
wp_bp_0001_20160323,401.6593401,0.0,9.144,burnin
wp_bp_0001_20160422,401.7111323,0.0,9.144,burnin
wp_bp_0001_20160517,401.6349323,0.0,9.144,burnin
wp_bp_0001_20160614,402.770342,0.0,9.144,burnin
wp_bp_0001_20160721,401.8787871,0.5,9.144,zb007
wp_bp_0001_20160817,401.5587323,0.5,9.144,zb007
wp_bp_0001_20160912,402.0311871,0.5,9.144,zb007
wp_bp_0001_20161026,401.208242,0.5,9.144,zb007
wp_bp_0001_20161123,401.1777323,0.5,9.144,zb007
wp_bp_0001_20161222,401.1777323,0.5,9.144,zb007
wp_bp_0001_20170110,401.0710597,0.5,9.144,zb007
wp_bp_0001_20170208,401.0954675,0.5,9.144,zb007
wp_bp_0001_20170317,401.2691872,0.5,9.144,zb007
wp_bp_0001_20170417,401.3911146,0.5,9.144,zb007
wp_bp_0001_20170512,401.360642,0.5,9.144,zb007
wp_bp_0001_20170613,401.3911146,0.5,9.144,zb007
wp_bp_0001_20170711,401.2356636,0.5,9.144,zb007
