obsnme                             value 
l_nrmse                   5.80467936E-02 
g_4595                    5.73328469E-01 
g_7817                    1.91614837E-01 
g_55200                   8.33898558E-01 
g_58700                   6.59155948E-01 
g_58810                   6.63722441E-01 
g_58813                   3.20389670E-01 
g_58827                   6.56893814E-01 
g_70500                   3.63281400E-01 
g_70890                   9.12666044E-02 
g_70950                   5.31945720E-01 
g_70990                   6.41336391E-01 
g_71000                   6.18987730E-01 
g_71290                   6.62439500E-01 
g_71300                   5.73850602E-01 
g_71350                   5.10171592E-01 
g_71400                   3.24977826E-01 
wp_bp_0001_20150113       3.97541265E+02 
wp_bp_0001_20150218       3.96394111E+02 
wp_bp_0001_20150318       3.96038483E+02 
wp_bp_0001_20150415       3.95840169E+02 
wp_bp_0001_20150524       3.96003407E+02 
wp_bp_0001_20150610       3.96392122E+02 
wp_bp_0001_20150712       3.96741880E+02 
wp_bp_0001_20150819       3.96169495E+02 
wp_bp_0001_20150915       3.95571760E+02 
wp_bp_0001_20151014       3.95087991E+02 
wp_bp_0001_20151118       3.95793100E+02 
wp_bp_0001_20151215       3.96412620E+02 
wp_bp_0001_20160118       3.96585278E+02 
wp_bp_0001_20160216       3.96132162E+02 
wp_bp_0001_20160323       3.95841000E+02 
wp_bp_0001_20160422       3.96054014E+02 
wp_bp_0001_20160517       3.96422534E+02 
wp_bp_0001_20160614       3.96666036E+02 
wp_bp_0001_20160721       3.96374593E+02 
wp_bp_0001_20160817       3.95741159E+02 
wp_bp_0001_20160912       3.95603922E+02 
wp_bp_0001_20161026       3.95238134E+02 
wp_bp_0001_20161123       3.95175833E+02 
wp_bp_0001_20161222       3.95659998E+02 
wp_bp_0001_20170110       3.95660584E+02 
wp_bp_0001_20170208       3.95579511E+02 
wp_bp_0001_20170317       3.95566218E+02 
wp_bp_0001_20170417       3.95313572E+02 
wp_bp_0001_20170512       3.95122113E+02 
wp_bp_0001_20170613       3.94652756E+02 
wp_bp_0001_20170711       3.94319702E+02 
wp_bp_0001_20170816       3.93943112E+02 
wp_bp_0001_20170915       3.93732448E+02 
wp_bp_0001_20171017       3.93728949E+02 
wp_bp_0001_20171114       3.93578966E+02 
