 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
127024     608092.625    3315882.000    15.813300       5.083960        4.956080        0.298237        5.227110        5.278390        10.316400       0.201459        10.608100       5.260350        6.422210        0.307876        32.401000       6.200110        24.833100       0.284177        0.227749        1.143630        0.192019        0.009530        0.010243     
131141     601092.250    3304214.750    47.572400       5.400180        17.260500       0.253458        6.559390        2.301110        2.606070        0.183809        10.000300       2.451650        3.905330        0.384090        13.559700       3.016570        8.458580        0.322812        0.056570        0.233672        0.174578        0.009947        0.009658     
131484     603266.625    3306442.000    50.671800       4.560600        19.630300       0.174573        8.903010        10.748200       4.986670        0.191368        11.686000       17.211900       11.489000       0.368502        13.061800       9.210180        4.038440        0.279999        0.023248        1.169550        0.089587        0.009947        0.017857     
131997     604857.562    3307927.000    34.108800       5.337800        7.321680        0.203129        26.159900       1.922120        2.820420        0.195601        7.381160        3.262650        8.450980        0.375250        10.144600       5.199090        6.041650        0.259527        0.046582        0.220309        0.153125        0.010093        0.012271     
132586     606607.688    3309465.000    12.864400       7.211430        6.032740        0.228454        9.969080        3.344930        16.490500       0.273258        15.921400       19.436900       49.979800       0.264889        27.221300       4.165390        6.347990        0.213272        0.075105        0.512252        0.034591        0.011240        0.010164     
132964     608516.875    3312169.500    23.702600       5.679120        18.536200       0.325757        7.921130        11.134400       5.028960        0.154883        27.959500       6.039410        9.818480        0.219491        30.385800       12.441400       10.752900       0.269559        0.031005        1.422060        0.020546        0.033349        0.017322     
133035     611062.438    3313336.250    17.394300       8.241480        11.170500       0.313318        7.143020        2.316180        19.998700       0.148756        5.311240        9.952830        26.161000       0.199257        15.535900       3.200360        9.654020        0.228688        0.118459        1.175950        0.127573        0.019384        0.010007     
133124     593667.625    3294880.750    66.996300       7.181530        11.189900       0.320042        24.171600       4.642630        3.437180        0.141119        9.518840        3.029060        23.399800       0.270957        45.456500       1.831430        11.802000       0.302535        0.150984        2.345810        0.022309        0.010399        0.009879     
133600     603956.000    3305540.500    58.587400       9.131010        8.153250        0.281237        8.293290        2.280960        7.054560        0.190563        15.300100       3.436630        33.577700       0.204357        22.953100       15.661300       13.667700       0.215596        0.099466        4.650890        0.170776        0.009161        0.022032     
136380     609365.375    3309093.750    25.166400       5.983220        9.885630        0.320737        6.491530        2.761900        3.936950        0.126689        6.271480        1.275400        23.564800       0.250764        16.639700       4.946970        14.176800       0.237509        0.065539        1.058190        0.089647        0.028727        0.023023     
136918     605494.000    3303684.250    20.803800       5.851070        16.703800       0.237881        12.792000       1.751130        6.177370        0.132090        54.573600       8.024710        5.979860        0.246086        36.816300       5.176150        9.752910        0.246327        0.110682        0.584505        0.099983        0.009773        0.017017     
138542     608251.688    3303684.250    34.257000       5.259230        11.366000       0.343798        5.525330        2.905470        12.830600       0.195522        35.192600       3.187540        5.578620        0.259831        29.366700       4.124670        5.505780        0.267081        0.043576        0.789943        0.057592        0.015473        0.010040     
138921     593667.625    3288092.500    35.674100       4.836520        18.037300       0.227680        6.099130        1.600790        17.454100       0.149714        16.757800       7.151290        3.906360        0.185337        8.768450        6.986190        5.827990        0.307392        0.031134        0.343324        0.021219        0.011761        0.010039     
138942     601728.625    3295729.250    30.868300       10.435600       36.503300       0.229792        17.098300       2.399980        17.659000       0.170388        15.728700       1.810840        12.661100       0.275215        19.275500       4.162690        2.527350        0.210228        0.025669        0.226166        0.040508        0.028658        0.023363     
140035     606819.812    3299759.750    49.767100       5.086370        26.943300       0.221071        21.690200       4.017640        6.798060        0.213912        22.106000       6.415030        3.519580        0.254066        10.182900       11.281600       7.272070        0.178448        0.139560        1.462020        0.203267        0.009739        0.008699     
140817     614880.812    3308033.000    115.831000      4.886630        11.434600       0.238590        14.885800       1.594640        15.871300       0.186876        27.715900       12.782800       5.558750        0.286524        9.544070        4.711990        9.265780        0.325533        0.038178        1.563230        0.029886        0.011127        0.057212     
142596     613608.000    3302729.750    45.112600       4.948010        10.666900       0.158366        5.655890        8.543430        5.146070        0.191266        33.435200       5.007170        1.746090        0.197326        41.315900       7.232810        10.776000       0.198791        0.195647        0.399155        0.079661        0.015558        0.008412     
142743     603849.938    3291062.500    37.222300       4.144950        32.119700       0.209779        11.572400       2.760930        2.775390        0.172176        8.986820        14.656900       7.765430        0.343906        22.828700       5.854250        9.339910        0.241832        0.030689        2.190180        0.093202        0.010203        0.009454     
116190     614456.562    3334761.750    37.444100       4.417700        4.692960        0.222716        14.118100       2.207930        4.098720        0.179077        56.860400       9.862470        4.374820        0.142457        16.983900       4.065260        9.334300        0.287493        0.019630        4.493020        0.465301        0.010105        0.008375     
122664     612547.375    3325003.500    10.428900       6.026540        9.611200        0.170886        6.745470        5.529490        9.460560        0.175071        59.858600       10.854600       20.907600       0.252659        3.468820        5.397550        7.285250        0.280686        0.055552        0.594145        0.099565        0.013830        0.009382     
122750     616577.875    3329246.250    34.168900       5.110970        4.969500        0.239788        7.958420        6.713780        2.568380        0.296663        7.031690        7.021770        10.191700       0.208825        22.702300       2.551070        16.029500       0.231559        0.278723        0.514432        0.126268        0.009865        0.012457     
130988     610001.812    3314821.250    26.357700       4.527850        13.112400       0.323137        16.607100       2.216310        14.624900       0.185127        17.872100       8.526380        20.734300       0.295813        10.844900       3.223090        29.228200       0.229003        0.155520        1.660300        0.088155        0.013439        0.088272     
131015     611486.688    3315669.750    61.523600       4.649680        8.576630        0.238774        9.534000        2.089850        12.578800       0.211404        11.971800       3.170690        5.715760        0.280028        9.220410        19.481400       22.563200       0.313367        0.039113        1.433810        0.536497        0.010098        0.011591     
136497     625063.188    3324155.000    55.689300       5.599180        6.938570        0.187552        14.954700       2.984960        3.349170        0.231715        31.120600       1.639500        17.738000       0.240929        15.383800       3.946520        6.343980        0.299397        0.037211        0.562776        0.051942        0.011821        0.008274     
141751     625487.438    3316942.500    42.531400       5.413710        9.384360        0.277952        4.940220        2.128490        7.178530        0.156982        4.994590        6.401120        42.492800       0.256477        33.582500       3.329280        23.476200       0.399428        0.268126        0.226746        0.091736        0.029922        0.017848     
