 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
34677      590273.500    3347277.500    7.983780        3.762700        6.558480        0.220964        16.173900       11.128400       9.351480        0.198247        36.804000       2.804490        9.378660        0.416028        0.994973        0.019134        0.010259        0.013027     
48643      593667.625    3346429.000    9.585670        4.102200        2.941400        0.165373        5.289020        5.766980        7.643130        0.214104        19.018700       4.876850        12.763800       0.178169        0.884915        0.052389        0.011846        0.010040     
48663      596213.188    3348762.250    3.957360        2.123330        19.942500       0.228580        21.189300       12.514100       9.369760        0.197659        25.202100       11.659600       8.349680        0.210983        1.488350        0.089647        0.022314        0.054129     
59898      595152.562    3341549.750    7.134690        2.723420        1.629230        0.321456        8.848590        4.523330        18.802400       0.217226        2.842280        17.595800       13.997100       0.274609        0.978154        0.052701        0.169537        0.045512     
1650       571605.875    3350883.750    10.068600       7.050960        5.575720        0.197813        5.991200        3.143450        11.214500       0.413706        35.523800       10.354000       9.015770        0.236636        1.951180        0.379696        0.053672        0.014930     
2628       567787.500    3343247.000    11.709200       2.810330        14.030000       0.235278        13.438700       8.405500        8.994930        0.214402        43.907600       3.639720        9.113870        0.161039        1.013360        0.057775        0.029002        0.023986     
6424       582636.750    3353429.250    11.319400       6.343610        2.467530        0.139633        9.735390        10.284500       12.625000       0.285584        19.049200       2.632970        6.653320        0.313528        1.075600        0.043758        0.010106        0.008826     
6427       585182.312    3355974.750    16.211300       2.493710        2.285820        0.162312        24.228400       2.453320        19.027800       0.173599        33.816200       7.500590        19.602300       0.274379        2.964520        0.142292        0.010540        0.009285     
8137       568211.750    3336670.750    16.034400       3.281800        17.351500       0.284065        8.390630        5.919540        3.667640        0.208916        13.233900       4.391300        13.868700       0.252144        3.213070        0.234131        0.026037        0.027660     
10866      566939.000    3334231.250    13.365400       3.296690        2.583570        0.212931        77.680500       1.357240        29.379700       0.217877        8.623090        4.039370        13.664200       0.154583        1.522150        0.158981        0.036251        0.119727     
11190      580515.438    3348338.000    16.294900       2.839790        19.932000       0.210581        3.123170        16.569800       19.513600       0.189729        7.061310        4.561670        23.343800       0.218909        0.406021        0.175243        0.010804        0.048957     
14556      574681.812    3340701.250    9.831700        0.933474        6.876170        0.275983        37.198500       3.983330        9.252190        0.226800        33.671800       6.610020        12.033000       0.172361        0.716576        0.363657        0.018286        0.032708     
14695      580091.188    3346216.750    14.106400       1.519650        5.733610        0.181468        17.899500       20.379200       19.928100       0.280184        2.371930        3.872710        3.669740        0.194849        4.210000        0.077595        0.037175        0.008319     
18059      575954.625    3340701.250    8.442430        3.591460        0.859430        0.197554        46.536400       5.249700        6.196530        0.268332        28.446500       16.191000       9.473650        0.196007        0.750460        0.993366        0.010270        0.033226     
18324      584333.812    3348762.250    22.769600       3.353730        5.418560        0.131228        3.745590        3.614530        3.958070        0.179669        11.556600       3.827260        8.564110        0.329668        1.972610        1.415610        0.037644        0.019661     
18345      588576.438    3352156.500    19.673200       6.895580        0.878306        0.214276        6.426970        14.533100       3.442700        0.206923        19.666100       3.330290        13.686600       0.228846        3.581180        1.592750        0.014530        0.008318     
21734      578606.250    3340171.000    4.003360        1.919560        11.968500       0.154008        71.487500       2.042370        4.639190        0.379814        45.116900       9.510710        6.771630        0.191981        1.083850        0.061195        0.035720        0.009538     
23859      569484.562    3329458.250    17.819500       8.057050        12.913600       0.195660        24.658000       9.630080        9.121230        0.244514        10.631500       6.632210        5.985210        0.266195        2.387870        0.027488        0.043197        0.016327     
24086      574151.500    3335292.000    11.840700       2.997370        0.678278        0.226918        21.004900       4.390130        20.926700       0.238987        21.380300       4.677300        12.806400       0.175956        0.693515        0.060307        0.011132        0.011819     
28770      578606.250    3336777.000    7.288780        3.066430        6.561060        0.223006        6.003670        11.675700       2.133230        0.426522        19.476200       4.058830        6.019460        0.215763        0.414453        0.683293        0.010330        0.032564     
29747      583909.562    3343034.750    16.152700       1.749820        3.889060        0.179010        6.206850        4.243230        16.184000       0.217310        19.108000       29.038100       19.001600       0.218338        0.715142        0.044232        0.024125        0.009943     
34198      583008.000    3339534.500    11.676900       2.833190        15.151700       0.184611        6.943070        9.174320        3.769680        0.233450        22.218900       2.431380        14.070300       0.221420        0.722000        0.104347        0.025748        0.028424     
37054      574045.438    3329882.500    9.289420        3.716700        5.008140        0.185596        10.111000       10.215000       24.222700       0.234902        9.984630        4.883550        12.394800       0.325540        0.822238        0.040962        0.011491        0.037973     
38941      585712.688    3340648.250    4.249340        4.742880        8.373950        0.124509        3.427640        1.510140        6.659470        0.304103        12.052400       4.763300        15.844400       0.242439        1.404790        0.083495        0.010543        0.038999     
43166      584758.062    3338049.750    5.450140        1.594560        6.519510        0.159428        33.330400       2.421890        4.916200        0.126925        17.378100       3.748150        8.067060        0.257804        0.376806        0.161995        0.011325        0.017187     
43992      592182.688    3346641.000    7.551180        2.500530        4.438700        0.273356        29.873300       8.569780        4.557390        0.252791        10.821500       7.454520        11.775800       0.200447        3.527070        1.132680        0.010826        0.020819     
45739      576803.125    3329246.250    7.876160        3.356160        7.557450        0.217462        40.195300       5.811190        13.404400       0.353025        19.832300       6.274560        14.284600       0.211437        2.149600        0.075511        0.010228        0.063469     
50965      583167.062    3333488.750    24.053100       5.031330        6.252930        0.217235        16.342000       6.531930        43.257400       0.279978        8.614430        2.556070        11.336200       0.308457        0.395754        0.101254        0.015978        0.013577     
