    C2D             x              y 
34677      590273.500    3347277.500 
48643      593667.625    3346429.000 
48663      596213.188    3348762.250 
59898      595152.562    3341549.750 
1650       571605.875    3350883.750 
2628       567787.500    3343247.000 
6424       582636.750    3353429.250 
6427       585182.312    3355974.750 
8137       568211.750    3336670.750 
10866      566939.000    3334231.250 
11190      580515.438    3348338.000 
14556      574681.812    3340701.250 
14695      580091.188    3346216.750 
18059      575954.625    3340701.250 
18324      584333.812    3348762.250 
18345      588576.438    3352156.500 
21734      578606.250    3340171.000 
23859      569484.562    3329458.250 
24086      574151.500    3335292.000 
28770      578606.250    3336777.000 
29747      583909.562    3343034.750 
34198      583008.000    3339534.500 
37054      574045.438    3329882.500 
38941      585712.688    3340648.250 
43166      584758.062    3338049.750 
43992      592182.688    3346641.000 
45739      576803.125    3329246.250 
50965      583167.062    3333488.750 
51628      586136.938    3336936.000 
51857      586879.375    3337996.750 
54365      579985.125    3329246.250 
55651      587993.062    3336140.500 
56037      589212.875    3338102.750 
56264      590061.375    3338474.000 
58582      586243.000    3332958.500 
58907      587356.688    3335186.000 
59770      591334.188    3339110.250 
59905      595364.688    3342610.500 
62032      584970.188    3330837.250 
74066      603425.688    3344095.500 
77022      595046.500    3333435.750 
77270      597910.250    3336670.750 
77301      600880.125    3339852.750 
79692      593773.688    3330731.250 
80237      596266.250    3332534.250 
80410      599183.062    3335822.250 
