 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
86915      592394.812    3326594.500    15.899100       6.537770        9.036490        0.254589        21.333400       1.096600        8.323800        0.204334        40.890300       4.630820        8.450930        0.222033        16.793700       8.817860        13.700800       0.247186        0.026375        2.775450        0.088322        0.025248        0.104801     
87165      594569.188    3327867.250    42.641400       6.000000        6.198880        0.186971        3.586660        3.976420        2.022760        0.268283        21.062200       8.182840        4.369200        0.197734        13.856700       15.798000       11.676700       0.308429        0.054760        0.381743        0.892508        0.018076        0.009660     
91117      593773.688    3325374.750    28.216300       5.156200        5.066880        0.324153        19.114400       5.818410        6.383020        0.209783        14.522900       11.649000       13.920800       0.230847        15.048300       1.865900        9.785270        0.256538        0.024709        0.956829        0.062042        0.009718        0.012001     
83301      594834.375    3330306.750    40.049700       5.919730        5.668180        0.206658        12.325900       1.117330        2.007620        0.183318        19.478600       4.890480        4.396970        0.396895        8.980630        2.685860        10.968000       0.224450        0.075000        0.719920        0.169289        0.010506        0.009588     
87666      596107.125    3329405.250    52.222900       12.128400       6.460060        0.253440        16.074100       2.033370        8.060300        0.248453        56.125900       9.194570        36.493700       0.318339        14.507400       4.830890        6.990720        0.218227        0.086317        1.053450        0.093374        0.010289        0.011765     
88240      600455.875    3333276.750    55.470700       4.946720        5.825380        0.326952        9.389490        4.007080        2.310810        0.204619        45.032900       17.312300       3.300270        0.226959        26.180800       13.034100       20.015100       0.242308        0.020561        1.762370        0.047237        0.011541        0.009133     
92354      598970.938    3331261.500    9.571170        9.340310        4.731720        0.187797        7.451150        3.720200        2.063490        0.169296        25.831900       2.381600        4.191040        0.254956        7.732970        9.838910        18.796000       0.210914        0.023157        0.232807        0.061984        0.025979        0.031488     
94729      594834.375    3324844.500    36.342000       5.613300        6.104050        0.305457        11.489600       2.122200        8.335860        0.176538        12.905800       17.343800       18.222500       0.301400        29.635800       4.232140        16.779300       0.183371        0.047958        1.213910        0.251463        0.011502        0.014852     
98674      598334.500    3327496.000    43.304600       5.034820        10.508400       0.266514        3.738650        6.788410        2.839300        0.226323        7.079280        9.436990        3.452190        0.207804        12.669500       7.033520        26.099100       0.293734        0.025910        0.450146        0.109665        0.009803        0.010599     
101232     597910.250    3323836.750    53.275200       7.313120        7.791720        0.263672        11.920200       2.634360        4.732410        0.225678        1.928100        19.872900       8.793460        0.246119        5.137370        3.510560        6.262780        0.425755        0.026546        0.664252        0.046031        0.011061        0.010650     
104414     601834.688    3326329.500    36.960500       5.227240        9.344940        0.366729        3.321830        2.673320        4.048680        0.252132        5.544110        17.056900       5.820950        0.172721        10.093900       2.142800        11.429800       0.250047        0.021522        2.177630        0.044515        0.018461        0.013490     
104455     601834.688    3326700.750    51.630500       11.503900       23.575600       0.246770        6.214200        3.839250        5.757620        0.211853        15.224400       18.119800       10.104300       0.213994        32.553800       5.111350        5.495440        0.260162        0.023370        0.336095        0.051718        0.063521        0.105565     
107418     600880.125    3324314.250    34.689000       4.151030        8.221440        0.309513        10.696100       2.212240        9.137140        0.200864        11.615900       8.075100        8.722750        0.197372        12.073900       13.869500       17.711600       0.362031        0.019308        0.811687        0.047947        0.025465        0.008598     
111612     600774.062    3322882.250    95.941600       15.863200       5.792350        0.230223        5.714060        7.658450        2.823860        0.195083        5.056470        7.065170        6.897220        0.263324        23.726800       2.586630        7.211300        0.250301        0.021440        0.505670        0.028423        0.028592        0.007811     
112758     605971.250    3327602.250    25.743800       5.235660        16.349200       0.225324        7.394120        2.995550        3.323760        0.258269        8.779510        17.696400       5.303230        0.295238        16.400200       7.944820        12.217400       0.191721        0.030458        1.170380        0.070376        0.011770        0.010020     
115003     602152.875    3322352.000    10.830900       5.431100        12.501900       0.224054        6.094700        6.551820        7.364280        0.267141        3.601170        7.046260        5.105050        0.202673        48.480700       8.168850        10.685900       0.269411        0.096639        1.299550        0.046919        0.019512        0.012237     
117757     603531.750    3322033.750    61.985700       5.022140        6.049190        0.252843        5.389600        4.810340        8.967860        0.161944        6.005850        4.310350        9.282520        0.298965        6.118160        2.930880        17.410600       0.279795        0.090513        0.250097        0.049023        0.009676        0.033218     
84032      604274.250    3339004.250    31.691900       6.158350        7.221200        0.348677        6.396810        3.425650        2.158730        0.182041        11.777600       5.359350        14.497700       0.222751        8.748540        3.402450        13.579900       0.184663        0.023259        2.060920        0.081448        0.010802        0.008649     
99251      605122.750    3333064.500    16.340800       4.876280        6.565150        0.290280        6.556670        5.289060        3.859630        0.254882        47.150800       2.520350        6.318310        0.248633        8.716390        2.259910        5.907990        0.213291        0.034880        0.173754        0.227536        0.033234        0.011847     
99263      607668.312    3335610.250    71.161400       5.056940        7.374220        0.245379        5.375670        2.828240        5.753740        0.194674        13.231500       2.876380        10.243400       0.284554        12.570000       6.382880        12.111000       0.372911        0.497369        0.611753        0.120635        0.010267        0.009420     
104919     607244.062    3331579.750    41.329500       6.779840        27.211800       0.195542        9.592130        3.126270        7.706550        0.195530        16.047000       6.976180        1.520240        0.200976        12.758100       13.458600       22.990200       0.250956        0.019217        2.168100        0.102044        0.011894        0.008456     
115669     607244.062    3326753.750    92.011600       5.115280        10.775200       0.256924        19.650500       4.055960        5.797290        0.179015        30.261800       6.325150        3.531980        0.236434        32.531000       1.583390        6.052160        0.207252        0.018913        2.073300        0.192180        0.036089        0.189832     
116149     611911.000    3331155.500    24.274500       5.729880        7.921110        0.311877        8.650440        3.178180        2.874760        0.166112        35.779000       11.367000       3.758110        0.289655        6.516630        12.612300       11.233000       0.263397        0.022780        0.967372        0.104113        0.028257        0.009541     
118305     609365.375    3327655.250    60.152800       6.380870        28.295800       0.177725        24.710700       3.346410        10.469500       0.235891        31.526400       6.918430        8.045560        0.264143        12.468300       6.941600        8.077390        0.195662        0.065038        0.649028        0.107246        0.008738        0.009617     
118340     610001.812    3327655.250    32.500600       5.464120        17.440500       0.318698        7.576050        2.586240        2.632930        0.160202        18.351700       20.310800       5.353440        0.291710        16.153700       4.503380        9.389220        0.217110        0.136008        1.086660        0.052831        0.011284        0.019874     
119785     605759.125    3321609.500    45.063200       5.342710        13.827100       0.220353        5.851870        3.973050        4.804990        0.113062        7.191020        4.210680        2.868220        0.214324        16.824000       1.205820        12.292400       0.300181        0.019328        0.747572        0.206010        0.010249        0.011448     
119819     607668.312    3323943.000    16.851200       10.355200       4.673320        0.215787        10.112800       1.452500        2.569790        0.182199        19.458400       1.655020        4.036660        0.193870        38.928900       3.918630        5.129180        0.189888        0.094637        0.688122        0.168806        0.011912        0.021632     
121183     606607.688    3321609.500    49.283400       25.497800       9.134190        0.214940        11.422100       2.054600        9.908770        0.217911        4.464630        4.953200        2.060830        0.183980        27.212000       3.892760        22.120100       0.295499        0.042415        0.277992        0.125054        0.009898        0.028906     
123946     609365.375    3321185.250    12.118900       4.806400        7.746700        0.288786        21.141400       2.112100        18.199100       0.212359        24.939900       2.927340        21.161800       0.268377        11.777200       2.635690        6.546000        0.233970        0.043602        1.093220        0.102159        0.022486        0.093235     
84056      609365.375    3344095.500    28.145100       8.850710        8.091590        0.166155        9.514320        3.848060        10.899100       0.223692        15.904500       2.431830        7.821070        0.280543        38.715200       2.030660        8.170860        0.188053        0.024565        0.635937        0.175025        0.011214        0.009509     
96101      610638.188    3340277.000    47.377100       5.018280        13.014200       0.221620        8.808160        3.534850        9.051910        0.240106        27.506300       10.184800       11.749000       0.272636        13.778300       21.940900       22.265300       0.334015        0.026947        0.521409        0.053428        0.058887        0.009036     
104952     612759.500    3338155.750    35.694500       5.828150        8.787120        0.271825        6.585760        3.160940        12.737300       0.177346        7.430630        7.396810        13.120700       0.288057        10.959700       7.249140        5.408510        0.209108        0.064054        0.695945        0.060884        0.034775        0.017975     
113183     612335.250    3334337.500    106.136000      5.525580        5.277150        0.251425        6.392880        3.170310        4.465570        0.212860        31.975100       0.971794        7.100530        0.213366        26.024700       4.205290        4.273160        0.205822        0.024091        1.877370        0.617284        0.009117        0.008119     
113205     614880.812    3336034.500    42.480700       5.177010        19.347300       0.221897        14.380300       2.046420        13.136400       0.163617        12.914800       3.830920        23.779600       0.257493        10.563500       13.873900       5.835470        0.315012        0.037028        1.673370        0.044192        0.010605        0.012340     
