 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
406        522391.250    3316942.500    7.231240        7.504910        2.888520        0.153883        7.458790        6.884720        14.992300       0.273886        9.599340        30.050800       5.920000        0.385705        1.641640        0.015343     
714        528330.938    3316094.000    11.737100       5.690030        3.124730        0.187624        14.517700       7.520140        3.493270        0.325416        5.325160        9.258260        16.243400       0.253332        2.249920        0.009114     
1396       536816.250    3316094.000    6.418610        21.127400       11.284900       0.242120        3.448290        3.155140        37.753100       0.208427        26.809400       20.538100       10.655100       0.276299        1.506700        0.051447     
2689       543604.438    3318215.250    4.970020        16.189800       2.217050        0.170018        7.268730        27.528200       12.680000       0.317455        6.360660        9.656250        10.641000       0.221583        5.465340        0.009545     
2772       551029.062    3325427.750    9.913840        6.650820        6.232190        0.222853        54.111100       8.435270        11.959600       0.177860        5.792550        13.068100       6.366670        0.246148        1.273450        0.010873     
2836       553574.688    3328079.500    4.908180        3.681010        3.231360        0.219240        16.636400       7.013300        41.444600       0.194303        13.401100       6.093950        8.259630        0.258855        1.927390        0.021402     
6454       546574.312    3315245.500    4.491570        2.728280        8.170160        0.185302        7.288700        6.893250        13.629200       0.253751        11.871100       3.721300        9.854620        0.299765        0.953172        0.007982     
6976       556438.438    3325056.500    2.929930        3.475930        2.094020        0.199063        5.472250        8.100080        7.459370        0.226897        9.413690        30.531600       21.821900       0.203062        2.726040        0.020739     
8274       542755.938    3310154.250    3.152410        4.429940        2.532170        0.215697        14.916900       8.788990        7.947470        0.236960        21.739100       5.539070        4.117070        0.172768        1.261620        0.010429     
9739       560203.812    3328185.500    9.600700        2.818130        5.564630        0.248839        4.419060        5.639000        6.489830        0.234354        12.288400       6.480780        3.892880        0.276822        0.811034        0.009771     
11456      554635.312    3319806.250    10.324200       7.774920        20.000000       0.199299        5.585090        2.201210        35.240000       0.215447        32.820200       3.561080        22.088400       0.333437        1.698220        0.017241     
12026      557711.250    3323253.500    3.352880        4.584810        6.324780        0.147246        16.308800       18.745500       13.838500       0.168965        8.371050        31.607800       14.143600       0.229200        1.940220        0.017569     
18540      556332.375    3319170.000    3.556310        5.447850        4.409920        0.178079        18.491000       14.486900       4.580710        0.271422        16.839900       10.099800       26.187000       0.264170        3.007380        0.017408     
18692      557233.938    3319170.000    10.792100       5.273360        9.261180        0.210254        6.891020        13.680500       26.573100       0.324089        10.774200       3.676080        14.520500       0.248332        2.292440        0.017936     
29908      556756.625    3314609.000    9.709560        6.669440        2.452600        0.291179        28.307500       10.557300       25.790800       0.326432        19.510600       17.409800       9.285110        0.294233        1.677570        0.009908     
48682      554635.312    3305063.250    6.805050        12.734400       17.603900       0.176160        3.767440        6.913420        9.348050        0.274458        11.367000       4.686860        24.169900       0.232008        1.506120        0.013618     
51         518997.156    3332216.000    1.890600        4.707920        11.863400       0.176074        4.373820        12.646800       3.207520        0.212262        11.901000       15.538600       16.219300       0.208094        0.404962        0.009191     
76         526633.875    3338155.750    6.438600        3.511050        1.750760        0.218735        4.944950        9.202920        12.544700       0.224139        11.054600       9.081490        10.397600       0.322058        1.599680        0.102196     
198        527482.438    3330519.000    8.181270        7.720140        7.646010        0.166703        4.327230        4.479560        14.238700       0.242787        7.946500        5.682710        3.419800        0.235405        0.368837        0.011891     
271        524936.812    3324579.250    5.015340        3.336160        14.548300       0.285763        12.966400       16.680400       3.358960        0.302216        8.497140        25.284000       6.359760        0.350531        5.127800        0.010513     
332        541907.375    3339852.750    6.729800        14.009400       7.400510        0.151515        6.002150        17.308300       30.724500       0.214897        8.884920        5.864050        24.514500       0.366565        1.450630        0.067409     
391        547847.125    3344095.500    4.219140        9.512710        7.920090        0.252766        23.679100       17.610200       6.534750        0.189154        16.906900       6.010580        24.541500       0.250511        1.818010        0.038799     
538        558877.938    3351732.250    3.398470        8.970500        7.562330        0.182663        6.351660        4.733170        10.172100       0.197396        18.352700       5.861760        7.419690        0.315030        3.326260        0.017625     
724        536816.250    3324579.250    13.521500       7.383210        11.580000       0.199434        15.442900       5.653950        9.182580        0.328906        10.800700       3.768080        9.928400        0.431324        0.554024        0.009800     
972        546786.438    3330519.000    5.102740        19.378900       5.406190        0.178796        6.602890        36.145300       15.776000       0.284675        4.428610        25.051100       6.607310        0.248295        1.649470        0.010226     
1036       559726.500    3344095.500    9.504010        3.405550        8.700030        0.207335        12.398100       9.671470        10.373800       0.201367        8.936100        13.524000       25.970200       0.376045        4.265360        0.021833     
1347       558453.688    3339004.250    5.612020        11.037600       15.972000       0.290406        9.545040        1.319500        7.134910        0.264930        21.191400       14.898300       13.618800       0.199644        1.979110        0.029255     
2049       566090.438    3343247.000    2.648200        11.790300       13.559200       0.188689        14.977400       6.335260        12.933500       0.198172        25.054500       10.132300       17.522900       0.211165        1.424300        0.021504     
2908       554635.312    3329564.500    9.229970        3.875750        8.740610        0.236215        14.348100       11.976900       5.891490        0.209606        9.378590        6.723330        11.049600       0.272390        1.570410        0.009686     
4241       556120.250    3328769.000    1.063550        4.888360        19.584200       0.198169        25.208600       8.134270        3.991750        0.196713        11.692700       3.548830        5.553890        0.204773        0.714367        0.031327     
4822       559302.250    3332428.250    4.241430        5.388810        5.424760        0.179018        12.155700       18.653000       20.721600       0.242978        7.163390        6.952910        9.896130        0.266444        1.009650        0.009479     
