    C2D             x              y 
7931       561635.688    3329988.750 
7932       561741.750    3330094.750 
7943       561847.812    3330200.750 
7944       561953.875    3330306.750 
7947       562059.938    3330413.000 
7948       562166.000    3330519.000 
7979       562272.062    3330625.000 
7980       562378.125    3330731.250 
7983       562484.188    3330837.250 
7984       562590.250    3330943.250 
7995       562696.312    3331049.250 
9633       559832.562    3326488.500 
9636       559938.625    3326859.750 
9637       559938.625    3326753.750 
9638       559991.688    3326806.750 
9639       559885.562    3326594.500 
9640       559938.625    3326647.500 
9641       559938.625    3326541.500 
9642       559991.688    3326594.500 
9643       559991.688    3326700.750 
9644       560044.688    3326753.750 
9645       560044.688    3326647.500 
9646       560097.750    3326700.750 
9661       560044.688    3327071.750 
9662       560097.750    3327125.000 
9671       560097.750    3327231.000 
9672       560150.750    3327284.000 
9673       560150.750    3327178.000 
9674       560203.812    3327231.000 
9675       560203.812    3327337.000 
9676       560256.812    3327390.000 
9677       560256.812    3327284.000 
9678       560309.875    3327337.000 
9679       559991.688    3326912.750 
9680       560044.688    3326965.750 
9681       560044.688    3326859.750 
9682       560097.750    3326912.750 
9683       560097.750    3327018.750 
9684       560150.750    3327071.750 
9685       560150.750    3326965.750 
9686       560203.812    3327018.750 
9687       560097.750    3326806.750 
9688       560150.750    3326859.750 
9689       560150.750    3326753.750 
9690       560203.812    3326806.750 
9691       560203.812    3326912.750 
9692       560256.812    3326965.750 
9693       560256.812    3326859.750 
9694       560309.875    3326912.750 
9695       560203.812    3327125.000 
9696       560256.812    3327178.000 
9697       560256.812    3327071.750 
9698       560309.875    3327125.000 
9699       560309.875    3327231.000 
9700       560362.875    3327284.000 
9701       560362.875    3327178.000 
9702       560415.938    3327231.000 
9703       560309.875    3327018.750 
9704       560362.875    3327071.750 
9705       560362.875    3326965.750 
9706       560415.938    3327018.750 
9707       560415.938    3327125.000 
9708       560468.938    3327178.000 
9709       560468.938    3327071.750 
9710       560522.000    3327125.000 
9817       560575.000    3328026.500 
9818       560628.062    3328079.500 
9821       560681.062    3328132.500 
9822       560734.125    3328185.500 
9830       560840.188    3328503.750 
9831       560734.125    3328291.500 
9832       560787.125    3328344.750 
9833       560787.125    3328238.500 
9834       560840.188    3328291.500 
9835       560840.188    3328397.750 
9836       560893.250    3328450.750 
9837       560893.250    3328344.750 
9838       560946.250    3328397.750 
9841       560256.812    3327496.000 
9842       560309.875    3327549.250 
9845       560362.875    3327602.250 
