 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
29913      557180.938    3314609.000    3.796150        4.583260        7.364520        0.196829        5.898560        1.890000        11.270800       0.282733        13.371800       12.892500       17.702400       0.193387        1.578110        0.020789     
12125      558453.688    3323677.750    7.682950        3.297120        5.694400        0.208488        4.984740        4.354950        6.340120        0.269483        18.497900       4.747870        5.529780        0.203304        1.540440        0.010713     
18718      557393.062    3319223.000    4.548340        10.782200       1.807240        0.172108        58.436600       4.235480        11.882400       0.189422        8.035510        30.189200       13.106800       0.195102        0.948704        0.007849     
26234      560256.812    3319647.250    12.602300       3.025350        8.418660        0.167224        20.862300       8.207280        3.564780        0.180775        7.765730        3.355160        9.907630        0.290546        2.007120        0.014524     
35614      566302.562    3321450.250    3.069570        5.204170        2.556140        0.195816        11.444000       15.815100       5.926320        0.266560        8.050640        7.417070        15.712700       0.234076        1.922430        0.043293     
9640       559938.625    3326647.500    4.121590        8.898660        1.709660        0.211858        11.199500       27.011100       20.478000       0.350894        5.982140        11.735400       13.824500       0.239996        1.883330        0.008275     
10780      564181.250    3332110.000    6.138480        4.339240        17.338200       0.244725        10.889900       7.412670        10.264400       0.281699        14.403600       7.567570        24.156400       0.292671        0.980967        0.009553     
16203      563385.750    3328079.500    20.451900       14.048900       7.525420        0.124979        10.962400       31.688000       7.486220        0.331150        11.586400       23.490900       20.983700       0.271815        1.179190        0.008953     
16902      566514.750    3330413.000    9.764200        6.952990        1.811000        0.210304        5.833650        14.856300       7.314070        0.382959        4.775510        8.187020        10.095900       0.354959        1.096490        0.024653     
32156      566992.000    3324155.000    7.349550        16.872000       15.258100       0.267346        2.923680        3.426920        4.311290        0.158816        17.659000       18.034900       5.977330        0.272671        1.058770        0.008268     
36319      568901.188    3324897.500    3.700710        21.786700       4.691150        0.160119        36.176800       7.972770        7.182830        0.237529        40.311200       22.446000       3.368840        0.315144        0.427292        0.009304     
36940      572666.562    3328503.750    17.223200       5.877710        5.839630        0.257164        7.740190        15.091300       9.327980        0.234271        14.373700       10.676300       30.000000       0.216264        0.917843        0.029969     
44917      571446.812    3323200.500    13.163700       4.257520        12.628200       0.187729        19.974100       2.765570        18.233000       0.201492        14.357900       8.472610        4.638750        0.246652        1.224190        0.046348     
40649      571605.875    3326170.250    22.969900       4.485180        9.105690        0.176547        23.882400       9.252890        4.391110        0.224698        27.977800       12.892400       6.335000        0.223806        3.804600        0.009361     
45366      573409.000    3325852.000    4.221070        5.614500        4.395470        0.306967        4.492770        7.848100        12.006300       0.398042        13.452700       15.552400       17.444500       0.239979        1.357400        0.009242     
49531      573143.875    3323624.750    10.888400       9.043180        5.052840        0.229417        21.881700       4.753650        5.060500        0.210303        13.308800       22.245400       13.898500       0.289883        0.379033        0.024697     
49663      573674.188    3323306.500    6.541610        2.604720        8.731290        0.176622        5.533440        23.108000       8.093010        0.338161        7.405810        24.800400       5.253320        0.309855        3.475650        0.010850     
53362      574310.562    3323730.750    4.883310        5.097410        9.912090        0.257769        5.737360        8.125740        5.627750        0.346809        17.778700       3.104460        13.131700       0.254921        0.437177        0.016173     
53502      574946.938    3323306.500    1.901200        5.725550        8.479640        0.274646        8.055730        3.561470        13.601200       0.230698        18.256000       11.230200       27.537300       0.259829        1.311690        0.025758     
54306      579136.562    3328185.500    6.696010        24.049200       9.798720        0.184218        36.713000       16.115300       17.942700       0.282409        29.524700       12.058500       8.388950        0.269916        1.154840        0.025121     
57401      577121.312    3324526.250    16.389000       6.115720        6.393640        0.220761        1.483460        2.219680        17.539200       0.236986        5.352440        5.839170        6.495990        0.281054        2.041470        0.024995     
60520      575901.562    3320654.750    3.412860        5.159670        3.173090        0.235313        14.961600       22.057700       8.953150        0.351106        7.888990        6.933220        4.938140        0.313001        1.782600        0.011917     
61897      583167.062    3328609.750    9.766680        5.927570        11.919700       0.171439        20.063800       42.231600       9.963470        0.247976        8.410760        10.982000       8.325300        0.213511        1.495410        0.009571     
63810      576591.000    3320495.750    2.460880        23.958600       4.688550        0.199412        12.499400       8.581610        4.749330        0.294927        8.541500        19.412300       8.287740        0.286277        0.994399        0.008506     
64632      581470.000    3325693.000    10.442600       2.195220        3.912440        0.165945        13.102800       52.187400       6.738690        0.265710        10.093300       9.011670        11.942900       0.242022        0.465097        0.010368     
66755      573939.312    3316518.250    11.371200       3.885590        1.957210        0.270654        5.389710        4.274850        14.765400       0.172044        17.147000       9.200660        4.463030        0.261144        1.908100        0.009805     
67046      576378.875    3318056.250    7.022730        3.354100        10.215100       0.202893        31.084100       8.808430        23.522200       0.291391        6.689750        9.664320        8.124380        0.235254        0.776342        0.011504     
67278      576909.188    3318798.750    6.089840        2.965260        18.408300       0.184169        3.706810        10.961500       6.183380        0.320946        21.651300       3.388160        7.443510        0.280103        0.607697        0.011806     
67371      577015.250    3319223.000    2.715870        3.947510        4.022720        0.207493        5.635770        8.402800        8.485150        0.224231        17.487100       24.551400       9.576670        0.241783        0.225456        0.008497     
67616      578606.250    3320867.000    5.203310        16.773400       5.469320        0.175984        15.844800       11.535700       11.963200       0.391656        11.524700       21.411000       19.717800       0.133168        3.815270        0.009428     
67628      578394.125    3319806.250    6.951450        11.688600       5.936050        0.152198        8.371900        24.156600       14.362800       0.374389        15.594900       9.370890        10.537900       0.196523        0.336648        0.009009     
68101      581417.000    3323836.750    3.113880        4.959770        9.128160        0.262003        6.822010        21.603800       9.357930        0.211244        26.850000       7.684780        8.076610        0.224983        2.355740        0.007779     
68357      582265.500    3324685.250    4.262050        2.695300        9.422780        0.224781        12.154100       14.615900       7.118160        0.201056        35.027600       5.041910        14.697400       0.168866        0.415402        0.008775     
