 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
79513      591016.000    3327337.000    28.163700       5.060850        8.097730        0.228107        13.794700       3.999230        11.614700       0.227388        36.306300       1.651200        6.782330        0.340029        14.083200       7.259540        24.497300       0.348976        0.414790        0.019070     
81891      585182.312    3320920.000    35.344200       5.210020        11.248000       0.268406        6.366920        5.454500        12.459700       0.244344        27.219500       4.353130        4.595270        0.280824        18.442800       2.802040        21.597600       0.211212        6.226550        0.015420     
82670      588470.375    3323518.750    35.602300       4.342950        9.415210        0.254285        15.443600       4.350160        14.390900       0.254667        22.489200       3.370210        9.838890        0.289715        30.905100       3.312300        16.273000       0.260062        1.196190        0.053197     
86186      586455.125    3320708.000    22.143500       4.975530        6.991820        0.256421        6.052340        3.747790        1.782060        0.201677        16.320500       5.972600        16.195900       0.250691        15.400100       2.717540        6.311060        0.210646        0.383923        0.009371     
86204      586508.188    3320230.500    16.740900       9.318680        13.822600       0.198972        8.169980        6.454090        3.052190        0.211513        15.027900       3.343440        5.504780        0.235711        5.972290        13.906500       12.843200       0.274668        1.565770        0.029929     
86916      592394.812    3326382.500    19.054600       4.936900        6.392190        0.197300        11.807800       1.958380        19.179700       0.223557        4.910840        18.675900       7.918500        0.259240        11.335700       7.559760        9.340670        0.294158        0.910090        0.069561     
90175      587356.688    3319594.250    45.651600       5.036600        20.082800       0.262537        24.103400       2.540080        6.943650        0.216964        45.366500       8.289130        6.330560        0.206075        21.881300       1.877530        20.217800       0.227381        2.372450        0.009833     
90554      588788.562    3319753.250    53.312800       10.578800       19.137600       0.290547        24.467500       1.523520        8.807600        0.178560        7.641960        2.680550        12.265500       0.261532        22.640600       5.963720        4.774570        0.294086        0.954531        0.024063     
90889      592925.188    3323890.000    27.336800       8.801170        12.498200       0.315982        16.039600       6.380010        13.386000       0.224553        23.986700       4.810320        9.975340        0.211892        40.415500       2.803150        17.220400       0.251052        1.260570        0.020099     
91074      593720.625    3325321.750    23.668800       7.944380        6.509730        0.198571        5.796120        5.015550        6.920090        0.131296        3.274070        3.900370        8.158520        0.251213        9.876410        4.388890        6.980230        0.318943        0.850454        0.019869     
93297      586932.438    3317473.000    33.482700       5.509350        9.446930        0.259721        8.596970        1.968590        19.831100       0.246404        24.027100       11.704000       9.112100        0.345772        26.139500       7.771500        6.910860        0.238088        1.246230        0.017244     
94043      590591.688    3319912.500    13.426200       7.056960        5.084450        0.190064        7.120570        2.558470        9.424690        0.167911        7.866070        3.986550        5.340930        0.185407        8.051300        3.445370        3.235400        0.209150        0.266442        0.041019     
94713      594622.188    3324632.250    66.557200       11.128500       6.386180        0.250664        21.312300       3.871990        5.384050        0.191966        6.914870        15.669700       24.148800       0.265536        15.239900       4.069530        17.089100       0.336231        0.791232        0.008860     
96790      588788.562    3317950.250    26.123300       4.529060        6.565410        0.217348        5.423250        6.581530        17.020700       0.148253        7.191750        11.885400       3.497000        0.266433        17.943000       2.644610        8.842750        0.248062        2.902010        0.027208     
97374      592925.188    3320973.000    7.865730        6.243500        20.078100       0.208841        8.628180        2.400600        4.090140        0.229068        31.576700       5.368130        12.692300       0.292339        8.254530        2.081710        7.055340        0.170027        0.836910        0.009144     
100677     594197.938    3321609.500    22.574600       4.870360        12.765000       0.178513        6.110860        1.080610        1.049770        0.162639        21.646200       8.873490        7.056570        0.330510        9.908450        7.875070        13.221000       0.228609        0.911548        0.009836     
102353     590273.500    3314715.250    18.843000       4.677180        9.036900        0.310219        15.331300       2.758650        2.373690        0.165898        17.831400       6.402460        3.483900        0.214286        22.723600       9.603910        4.955540        0.226967        0.587554        0.033874     
102581     591281.125    3316942.500    13.377900       6.082910        9.852960        0.330865        12.765300       7.629640        7.066820        0.203118        6.112410        5.670410        17.691600       0.234796        7.977710        8.062680        18.615800       0.375781        0.692207        0.008959     
102956     593031.250    3318056.250    33.189500       5.393380        11.817800       0.320388        22.313100       1.290110        5.687900        0.271904        5.442710        4.366260        8.134190        0.350123        24.826500       4.045020        15.695400       0.290201        1.422490        0.010800     
103320     594304.000    3318957.750    16.917800       4.253620        9.235880        0.248608        10.137500       10.702200       1.603250        0.203818        11.643100       7.184540        10.188600       0.223964        19.340800       1.963660        10.630400       0.264527        0.557507        0.017847     
103440     595364.688    3319859.250    42.221000       5.417230        8.442770        0.194764        6.425930        2.659220        2.727660        0.165467        21.069000       5.631190        13.248600       0.254881        16.449300       1.500100        4.390880        0.191064        0.799778        0.013241     
103598     597167.812    3321821.500    8.857110        5.047550        8.028370        0.197974        9.929560        1.758610        4.197740        0.224994        9.893000        3.889500        5.034910        0.300069        21.212400       1.697210        13.262600       0.217316        1.145120        0.009546     
103743     598758.812    3323200.500    28.410600       5.973810        12.681900       0.247346        7.947660        6.521760        11.255600       0.180828        38.006300       9.926160        20.828000       0.216121        22.979000       6.531240        8.669020        0.253278        0.477813        0.016278     
106103     594357.062    3317791.000    41.121500       8.843800        14.211500       0.414932        16.868500       3.123540        3.217000        0.189815        10.182200       1.464200        12.355900       0.231503        8.375320        5.117030        5.270960        0.274497        1.348160        0.009440     
106281     595046.500    3317526.000    22.882000       7.626560        5.261820        0.280119        3.713950        4.368990        6.598950        0.158595        18.781000       18.611500       6.072570        0.256651        47.231500       3.463310        12.464700       0.203050        0.796954        0.008699     
